security_id,market,ticker,end_month,case_id,name
SEDOL:610841,UK,SCP,2015-09,SEDOL:B3L9RC7,Schroder UK Mid Cap Fund
SEDOL:413880,UK,PVN,2015-10,SEDOL:3612102,ProVen VCT
SEDOL:257743,UK,CRWN,2015-10,SEDOL:3612110,Albion Crown VCT
SEDOL:781606,UK,FGT,2015-10,SEDOL:B0HW611,Finsbury Growth & Income Trust
NAME:north american income|ordinary share,UK,NAIT,2015-10,SEDOL:B1FB3X8,North American Income Trust
SEDOL:3073827,UK,CTPE,2015-10,SEDOL:B29LSW5,CT Private Equity Trust
SEDOL:365602,UK,BGCG,2015-11,NAME:baronsmead vct|ordinary share,Baillie Gifford China Growth
SEDOL:341969,UK,JEDT,2015-11,SEDOL:643900,JPMorgan European Discovery
SEDOL:B01WL23,UK,GHV2,2015-11,SEDOL:B03CKY6,Gresham House Income & Growth 2 VCT
SEDOL:B0T4LH6,UK,HICL,2015-11,SEDOL:B5M3H11,HICL Infrastructure
SEDOL:B28XHD6,UK,HVPE,2015-11,SEDOL:B61M8H9,HarbourVest Global Private Equity
SEDOL:558167,UK,AATG,2015-12,SEDOL:3353820,Albion Technology & General VCT
SEDOL:B2PP3J3,UK,CMPI,2015-12,SEDOL:572316,CT Global Managed Portfolio Income
SEDOL:3051726,UK,MNKS,2015-12,SEDOL:B3SD2L6,Monks Investment Trust
SEDOL:645070,UK,NVT,2016-01,SEDOL:B13YXH3,Northern Venture Trust
SEDOL:B09G3N2,UK,STS,2016-01,SEDOL:BVG6X65,STS Global Income & Growth Trust
SEDOL:205753,UK,MIG5,2016-02,SEDOL:3109528,Maven Income and Growth VCT 5
NAME:unicorn aim vct following conversion of unicorn aim vct ords and series 2 and merger with unicorn aim vct ii|ordinary share,UK,UAV,2016-02,SEDOL:3228702,Unicorn AIM VCT
SEDOL:B01WL23,UK,GHV2,2016-02,SEDOL:BV7L905,Gresham House Income & Growth 2 VCT
NAME:cqs natural resources growth and income|ordinary share,UK,CYN,2016-03,SEDOL:318402,CQS Natural Resources Growth & Income
SEDOL:741600,UK,JUGI,2016-03,SEDOL:B4T5WS5,JPMorgan UK Small Cap Growth & Income
SEDOL:B043QW8,UK,MAV4,2016-04,SEDOL:739229,Maven Income and Growth VCT 4
SEDOL:3197794,UK,LTI,2016-04,SEDOL:B132SB6,Lindsell Train Investment Trust
SEDOL:B15FW33,UK,GCL,2016-05,SEDOL:721163,Geiger Counter
