ticker,label,unit,months_supporting,months_clean,first_month,last_month,has_nav_vocab,is_rule
MFF,monthly nta per share as at was,dollars,9,9,2024-07,2025-11,True,True
MFF,nta per share nta per share,dollars,3,3,2026-03,2026-06,True,True
MFF,weekly nta per share as at was,dollars,3,3,2024-08,2025-12,True,True
MFF,platforms allianz home depot dicks sporting goods microsoft,dollars,1,1,2026-06,2026-06,False,False
MFF,capital investments limited weekly nta mffadvisesthatitsapproximateweeklyntapershareasatfriday was,dollars,1,1,2025-06,2025-06,True,False
MFF,a percentage of investment assets was approximately at,dollars,1,1,2026-06,2026-06,False,False
MFF,coinbase followed enron and worldcom into the s p,cents,1,1,2025-06,2025-06,False,False
MFF,prosus home depot rb global alphabet class c,dollars,1,1,2025-06,2025-06,False,False
MIR,pre tax nta per share,dollars,6,6,2024-09,2026-06,True,True
MIR,share as at pre tax nta per share,dollars,6,6,2024-09,2026-06,True,True
MIR,at before tax after tax,dollars,2,2,2025-01,2025-04,False,False
MIR,mir share price asx closing price on,dollars,1,1,2026-03,2026-03,False,False
MIR,as at before tax after tax,dollars,1,1,2025-04,2025-04,False,False
MOT,is as follows value date nta per unit,dollars,23,23,2024-07,2026-05,True,True
MOT,trust as at value date nta per unit,dollars,1,1,2026-03,2026-03,True,False
MXT,is as follows value date nta per unit,dollars,24,24,2024-07,2026-06,True,True
MXT,limited level exchange centre bridge street sydney nsw,dollars,15,15,2024-07,2026-06,False,False
OPH,prior value date nav per unit month end,dollars,18,18,2024-07,2026-05,True,True
OPH,is as follows value date nav per unit,dollars,7,7,2024-09,2026-06,True,True
OPH,vs prior value date cum month end distribution,dollars,2,2,2025-06,2026-06,False,False
OPH,the worst performing sectors inflation fell from to,dollars,1,1,2026-01,2026-01,False,False
PAI,pre tax nta per share as at was,dollars,3,3,2024-10,2025-02,True,True
PCX,nav as at cents per unit nav,cents,11,5,2024-07,2026-06,True,True
PCX,net asset value,cents,11,5,2024-07,2026-06,True,True
PCX,visit our website pengana com pcx client service t,dollars,8,2,2024-07,2026-03,False,False
PCX,nav as at cents per unit nav,dollars,1,1,2025-04,2025-04,True,False
PCX,net asset value,dollars,1,1,2025-04,2025-04,True,False
PE1,net asset value,cents,2,2,2025-11,2025-12,True,False
PE1,nav as at cents per unit nav,cents,2,2,2025-11,2025-12,True,False
PGF,share gross dividend yield nta before tax accruals,dollars,11,11,2024-07,2026-05,True,True
PGF,nta before tax accruals,dollars,11,11,2024-07,2026-05,True,True
PIC,was nta per ordinary share nta before tax,dollars,22,22,2024-07,2026-06,True,True
PIC,nta before tax,dollars,22,22,2024-07,2026-06,True,True
PIC,nta after tax,dollars,6,6,2024-10,2026-06,True,True
PIC,ordinary share nta before tax nta after tax,dollars,6,6,2024-10,2026-06,True,True
PIC,before tax paid s p asx acc index excess returns,dollars,2,2,2025-07,2026-05,False,False
PIC,after tax capitalisation million nta before tax,dollars,2,2,2025-02,2025-10,True,False
PIC,investment company listing date nta after tax,dollars,1,1,2024-12,2024-12,True,False
PL8,as at nta per share pre tax nta,dollars,6,6,2024-09,2026-06,True,True
PL8,p a p a total return pre tax nta,dollars,2,2,2025-06,2026-06,True,False
PL8,a reliable indicator of future performance pre tax nta,dollars,2,2,2025-06,2026-06,True,False
PMC,pre tax nta per share as at was,dollars,6,6,2024-09,2025-09,True,True
PMC,an insurance group china financials finland total italy,dollars,1,1,2025-05,2025-05,False,False
REV,is as follows value date nta per unit,dollars,10,10,2025-09,2026-06,True,True
REV,please contact revolution private credit income trust on,dollars,4,4,2025-11,2026-06,False,False
RF1,nav per unit of regal investment fund was,dollars,9,9,2024-08,2026-05,True,True
RG1,share for regal partners global investments limited was,dollars,4,4,2026-01,2026-05,False,False
RG1,applicable fees and charges the nta value of,dollars,1,1,2026-02,2026-02,True,False
RG1,vgi partners global investments limited asx vg was,dollars,1,1,2025-11,2025-11,False,False
RG8,ordinary share for regal asian investments limited was,dollars,13,13,2024-08,2026-05,False,False
RG8,all applicable fees and charges the nta of,dollars,2,2,2024-08,2024-09,True,False
RG8,applicable fees and charges the nta value of,dollars,1,1,2026-02,2026-02,True,False
SB2,post tax nta share price discount to nta,dollars,2,2,2024-10,2024-12,True,False
SB2,pre tax post tax dividends sb investment report,dollars,1,1,2025-08,2025-08,False,False
SB2,tax nta share price discount premium to nta,dollars,1,1,2025-01,2025-01,True,False
SB2,recent addition to the portfolio monthly return of,dollars,1,1,2024-07,2024-07,False,False
SB2,year p a p a p a sb,dollars,1,1,2024-07,2024-07,False,False
SET,at estimated nta per share pre tax nta,dollars,3,3,2026-04,2026-06,True,True
SNC,investments limited nta before tax nta after tax,dollars,2,2,2024-12,2025-08,True,False
TCF,as follows value date nav per unit,dollars,18,18,2024-11,2026-06,True,True
TCF,price unit nav commercial unit price unit nav,dollars,9,9,2024-12,2026-06,True,True
TCF,unit price unit nav unit price unit nav,dollars,7,7,2025-01,2025-07,True,True
TCF,at is as follows nav per unit,dollars,2,2,2024-07,2024-09,True,False
TCF,net asset value per unit,dollars,2,2,2024-07,2024-09,True,False
TCF,sector unit price unit nav commercial unit price,dollars,1,1,2024-12,2024-12,True,False
TCF,unit nav,dollars,1,1,2026-05,2026-05,True,False
TCF,unit nav commercial industrial unit price unit nav,dollars,1,1,2025-12,2025-12,True,False
TVL,nta a m a m nta per share,dollars,5,5,2025-02,2025-11,True,True
TVL,m total nav nta per share a m,dollars,4,4,2025-02,2025-11,True,True
TVL,prior month nta m m nta per share,dollars,1,1,2026-04,2026-04,True,False
VG1,share for vgi partners global investments limited was,dollars,8,8,2024-08,2025-08,False,False
VG1,all applicable fees and charges the nta of,dollars,2,2,2024-08,2025-08,True,False
WAX,cents cents cents cents cents cents m,dollars,1,1,2024-12,2024-12,False,False
WAX,the australian nta nta tax paid cents,cents,1,1,2025-07,2025-07,True,False
WHI,investment returns per share prior month nta,dollars,3,3,2025-11,2026-02,True,True
WHI,portfolio portfolio return gross of franking credits nta,dollars,1,1,2025-01,2025-01,True,False
WHI,nta gross assets m shares on issue nta,dollars,1,1,2025-11,2025-11,True,False
WHI,returns per share prior month strategy nta,dollars,1,1,2026-04,2026-04,True,False
WHI,mth since strategy to listing inception nta,dollars,1,1,2025-08,2025-08,True,False
WMA,wma unique opportunities beyond traditional assets cents,cents,3,3,2024-12,2025-03,False,False
WMA,asx wma unique opportunities beyond traditional assets,cents,2,2,2024-12,2026-01,False,False
WMA,assets nta nta fully franked dividend paid cents,cents,1,1,2024-11,2024-11,True,False
WMA,beyond traditional assets nta nta dividend paid cents,cents,1,1,2026-05,2026-05,True,False
WMA,dividend of cents per share payable on,cents,1,1,2025-04,2025-04,False,False
WMA,beyond traditional assets the nta figure is,cents,1,1,2025-04,2025-04,True,False
WMA,traditional assets the nta figure is before,cents,1,1,2026-04,2026-04,True,False
WMI,ex dividend on nta nta tax paid cents,cents,1,1,2025-10,2025-10,True,False
WMI,esu lanosrep rof interim result interim financial report,dollars,1,1,2025-03,2025-03,False,False
WMI,nta nta fully franked dividend paid cents,cents,1,1,2024-11,2024-11,True,False
WMX,share before tax s p asx accumulation index and benchmark,dollars,1,1,2025-12,2025-12,False,False
WMX,dividend frequency fully franked dividend payable on,dollars,1,1,2025-10,2025-10,False,False
WQG,below net tangible assets nta before tax,dollars,5,5,2024-09,2026-05,True,True
WQG,nta before tax,dollars,5,5,2024-09,2026-05,True,True
WQG,after tax on unrealised gains dividend a a,dollars,2,2,2025-11,2025-12,False,False
WQG,management tax share price inception date a,dollars,1,1,2025-08,2025-08,False,False
