ticker,month,label,unit,truth,n_matching_labels,matched,split,announcement_id,nearest_label,nearest_value,nearest_unit,nearest_ratio
RYD,2026-04,price nta return pre tax nta return nta pre tax,dollars,1.9732,3,True,holdout,03081932,,,,
RYD,2026-04,nta pre tax,dollars,1.9732,3,True,holdout,03081932,,,,
RYD,2026-04,by cents during or to close at,dollars,1.9732,3,True,holdout,03081932,,,,
NGE,2026-04,listed david lamm adam saunders danakali nsx dnk,dollars,1.599,1,True,holdout,03081911,,,,
DJW,2026-04,,,3.2,0,False,learn,03081856,pre tax nta per share,3.26,dollars,1.0187499999999998
RG1,2026-04,,,2.57,0,False,learn,03081823,share for regal partners global investments limited was,2.54,dollars,0.9883268482490273
MIR,2026-04,,,2.78,0,False,learn,03081875,pre tax nta per share,2.81,dollars,1.010791366906475
WMI,2026-04,,,1.2899,0,False,learn,03081359,events zenith disclaimer the zenith investment partners abn,1.32,cents,1.02333514225909
SEC,2026-04,,,2.263,0,False,holdout,03081598,at estimated nta per share pre tax nta,2.326,dollars,1.0278391515687142
PCX,2026-04,,,1.9895,0,False,learn,03081295,visit our website pengana com pcx client service t,2.0,dollars,1.0052777079668258
SEC,2026-04,,,2.263,0,False,holdout,03081139,at estimated nta per share pre tax nta,2.319,dollars,1.0247459125055236
BTI,2026-04,,,1.67,0,False,holdout,03080653,net asset value net asset value per share o,1.66,dollars,0.9940119760479041
MRE,2026-04,,,2.4775,0,False,learn,03080529,nta per unit set value date post tax,2.4583,dollars,0.9922502522704338
GCI,2026-04,on nta per unit as at,dollars,2.0064,1,True,learn,03080404,,,,
CIN,2026-04,,,44.35,0,False,learn,03079801,,,,
AMH,2026-04,,,1.04,0,False,learn,03079793,pre tax nta per share,1.02,dollars,0.9807692307692307
MIR,2026-04,,,2.78,0,False,learn,03079256,at before tax after tax,2.81,dollars,1.010791366906475
KKC,2026-03,,,2.31,0,False,learn,03078909,current nta estimate,2.2996,dollars,0.9954978354978354
ALI,2026-03,,,2.71,0,False,learn,03077812,unaudited and approximate pre tax nta per share,2.73,dollars,1.007380073800738
ARG,2026-03,and approximate pre tax nta per share,dollars,10.24,1,True,learn,03077354,,,,
AFI,2026-03,,,7.54,0,False,learn,03077207,pre tax nta per share,7.59,dollars,1.006631299734748
SEC,2026-03,,,2.271,0,False,holdout,03075462,at estimated nta per share pre tax nta,2.252,dollars,0.9916336415675913
ARG,2026-03,and approximate pre tax nta per share,dollars,10.24,1,True,learn,03074887,,,,
ALI,2026-03,,,2.71,0,False,learn,03075261,unaudited and approximate pre tax nta per share,2.64,dollars,0.974169741697417
AFI,2026-03,share as at pre tax nta per share,dollars,7.54,2,True,learn,03074795,,,,
AFI,2026-03,pre tax nta per share,dollars,7.54,2,True,learn,03074795,,,,
GCI,2026-03,,,2.0068,0,False,learn,03074439,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9966115208291807
MXT,2026-03,,,2.0133,0,False,learn,03074405,is as follows value date nta per unit,2.0082,dollars,0.997466845477574
SEC,2026-03,,,2.271,0,False,holdout,03074109,at estimated nta per share pre tax nta,2.334,dollars,1.0277410832232496
GLS,2026-03,,,1.5207,0,False,learn,03073415,ordinary share nta before tax nta after tax,1.5467,dollars,1.0170973893601631
PIA,2026-03,,,1.2617,0,False,holdout,03073379,pia pengana international equities limited pengana com pia acn,1.07,cents,0.848062138384719
SEC,2026-03,,,2.271,0,False,holdout,03073216,at estimated nta per share pre tax nta,2.307,dollars,1.0158520475561428
GCI,2026-03,,,2.0068,0,False,learn,03072582,on nta per unit as at,2.0135,dollars,1.0033386485947777
PCI,2026-03,,,1.094,0,False,holdout,03072516,at close of business on nta per unit,1.101,dollars,1.006398537477148
RF1,2026-03,,,3.55,0,False,learn,03072407,nav per unit of regal investment fund was,3.6,dollars,1.0140845070422535
CD3,2026-03,,,1.62,0,False,learn,03071833,tax at of per unit of,1.61,dollars,0.9938271604938271
FGG,2026-03,,,1.6114,0,False,holdout,03072137,month end share price research ratings portfolio performance m,1.64,dollars,1.0177485416408092
GC1,2026-03,,,0.66,0,False,holdout,03072064,fy fy fy fy fy fy fy fy,0.63,dollars,0.9545454545454545
LSF,2026-03,,,3.8617,0,False,learn,03071607,nta before tax f f nta after tax,3.7387,dollars,0.9681487427816765
TEK,2026-03,,,0.224,0,False,holdout,03071431,tax asx code tek structure listed investment,0.243,cents,1.0848214285714286
PCI,2026-03,,,1.094,0,False,holdout,03071300,at close of business on nta per unit,1.101,dollars,1.006398537477148
MXT,2026-03,,,2.0133,0,False,learn,03070907,is as follows value date nta per unit,2.0044,dollars,0.9955793970098842
GCI,2026-03,,,2.0068,0,False,learn,03070868,on nta per unit as at,2.0121,dollars,1.0026410205301974
WGB,2026-03,,,2.1393,0,False,holdout,03070765,the world s most compelling undervalued growth companies,2.1978999999999997,cents,1.0273921376151076
MOT,2026-03,is as follows value date nta per unit,dollars,2.1581,1,True,learn,03070325,,,,
ARG,2026-03,,,10.24,0,False,learn,03070319,and approximate pre tax nta per share,10.46,dollars,1.021484375
RYD,2026-03,,,1.9744,0,False,holdout,03070107,pre tax return hurdle rba cash rate nta post tax,1.9856,dollars,1.005672609400324
SEC,2026-03,,,2.271,0,False,holdout,03069822,at estimated nta per share pre tax nta,2.443,dollars,1.075737560546015
SNC,2026-03,,,0.7672,0,False,learn,03069772,counts as capitalisation m disappointment share price,0.795,dollars,1.036235662148071
RG8,2026-03,,,3.07,0,False,learn,03069668,ordinary share for regal asian investments limited was,3.31,dollars,1.0781758957654723
PCI,2026-03,,,1.094,0,False,holdout,03069256,at close of business on nta per unit,1.1,dollars,1.0054844606946984
PCI,2026-03,,,1.094,0,False,holdout,03068774,at close of business on nta per unit,1.1,dollars,1.0054844606946984
PIA,2026-03,,,1.2617,0,False,holdout,03068665,tax on unrealised gains losses nta value after tax,1.3063,cents,1.0353491321233257
LSF,2026-03,,,3.8617,0,False,learn,03068561,ordinary share nta before tax nta after tax,3.8276,dollars,0.9911696921045136
MXT,2026-03,,,2.0133,0,False,learn,03068093,trust as at value date nta per unit,2.0,dollars,0.9933939303630854
GLS,2026-03,,,1.5207,0,False,learn,03068079,ordinary share nta before tax nta after tax,1.7612,dollars,1.1581508515815087
