name,months,start,end,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,best_month,worst_month,pct_positive_months,t_stat_mean,alpha_annual_vs_benchmark,beta_vs_benchmark,alpha_t_stat,information_ratio,overlap_months,strategy,period,basis
C_discount_zscore|full,90,2019-01-31 00:00:00,2026-06-30 00:00:00,2.68310876962439,0.18985837724415422,0.164738152388292,1.1440456669187833,2.0615240144146605,-0.27538068296490326,0.6894397065183809,0.1827527925,-0.17848507624999999,0.6777777777777778,3.133098092937298,0.08506366016648582,1.1064525847972433,2.4276147452236496,1.0098488270928945,90.0,C_discount_zscore,full,gross_TR
C_discount_zscore|net,90,2019-01-31 00:00:00,2026-06-30 00:00:00,1.24579378811322,0.11390798411228942,0.16556716993450937,0.7363391982367907,1.235803362510811,-0.29170991426714077,0.39048375986280426,0.1803777271461719,-0.18379751815004539,0.6,2.016547944247793,0.018776750574080788,1.1035906658566614,0.5248225296686532,0.2964969875118497,90.0,C_discount_zscore,full,net_TR
C_discount_zscore|development,36,2019-01-31 00:00:00,2021-12-31 00:00:00,0.8720157384738003,0.2324514833953677,0.205946468119259,1.124888621812449,1.8794553351231598,-0.27538068296490326,0.8441096190650134,0.1827527925,-0.17848507624999999,0.7222222222222222,1.9483642458352937,0.0748999724825698,1.0784704519644257,1.1378103223339469,0.7886156648833326,36.0,C_discount_zscore,development,gross_TR
C_discount_zscore|validation,24,2022-01-31 00:00:00,2023-12-31 00:00:00,0.25250512469257935,0.11915375382142179,0.15610579945953887,0.7969080389236183,1.7377991490258138,-0.1233440253419833,0.9660277706281795,0.13322394662499998,-0.055775639625,0.5416666666666666,1.1269981566099272,0.10174242894719347,1.1211098468890939,1.3550773065618023,0.9975855270514218,24.0,C_discount_zscore,validation,gross_TR
C_discount_zscore|holdout,30,2024-01-31 00:00:00,2026-06-30 00:00:00,0.5708168003121266,0.19798178565889235,0.11088310130654087,1.694416249157622,3.5882024802661796,-0.07705779285714287,2.56926364379434,0.084229010375,-0.07705779285714286,0.7333333333333333,2.6791073258687237,0.07280656073632788,1.28196027317428,1.7657170485153235,1.5425729965505048,30.0,C_discount_zscore,holdout,gross_TR
D_sector_neutral_zscore|full,90,2019-01-31 00:00:00,2026-06-30 00:00:00,1.7795485541727474,0.1460315363272191,0.15222780002325287,0.9764040993960532,1.6105833851828795,-0.2838422032763087,0.5144814077738236,0.14960651421505375,-0.168435102008547,0.6333333333333333,2.6739927523986733,0.05252399935512927,1.0284213889891496,1.6428260514719968,0.6485210169349933,90.0,D_sector_neutral_zscore,full,gross_TR
D_sector_neutral_zscore|net,90,2019-01-31 00:00:00,2026-06-30 00:00:00,0.7027874842625679,0.07354781723503034,0.15182795486157516,0.5447672566196535,0.8384668083441954,-0.3391693143372355,0.21684690839072152,0.14454493687682848,-0.17164591195502285,0.5888888888888889,1.4919065752039489,-0.01224250394526061,1.0160257176506617,-0.37619679808788814,-0.12413788557078578,90.0,D_sector_neutral_zscore,full,net_TR
D_sector_neutral_zscore|development,36,2019-01-31 00:00:00,2021-12-31 00:00:00,0.4304165115808789,0.1267325433733577,0.19191858543947207,0.7202028803410495,1.0821390091585101,-0.2838422032763087,0.44648942937491504,0.14960651421505375,-0.168435102008547,0.6666666666666666,1.2474279805081463,-0.007445751917773623,1.0021030341885593,-0.12047812903673179,-0.06996640808966605,36.0,D_sector_neutral_zscore,development,gross_TR
D_sector_neutral_zscore|validation,24,2022-01-31 00:00:00,2023-12-31 00:00:00,0.12921563570589334,0.06264558329948056,0.10792939488984035,0.615676933236405,1.1091757224211267,-0.0871476955528151,0.7188438306038138,0.06287669107142857,-0.04658791009638555,0.4583333333333333,0.8706986690231986,0.048900594494077264,0.8682616040505051,1.1447142231456697,0.7634840712150031,24.0,D_sector_neutral_zscore,validation,gross_TR
D_sector_neutral_zscore|holdout,30,2024-01-31 00:00:00,2026-06-30 00:00:00,0.7208177109867124,0.24249298921103613,0.1281452964209409,1.7705171986812664,4.073763870685385,-0.08278284107142864,2.929266331917778,0.10530970672000002,-0.08278284107142858,0.7333333333333333,2.799433492166835,0.09123850150701523,1.5111064844663071,2.0141815993946492,1.807556917835819,30.0,D_sector_neutral_zscore,holdout,gross_TR
E_discount_overshoot|full,90,2019-01-31 00:00:00,2026-06-30 00:00:00,2.436983830577152,0.1789362778215433,0.17811052121503065,1.019936133037039,1.7135342846840038,-0.32504044059062875,0.5505046618088488,0.14099143142857143,-0.20034495125,0.6111111111111112,2.7932101363948814,0.07007942921260459,1.19395518905993,1.8422786212092506,0.8488256173796022,90.0,E_discount_overshoot,full,gross_TR
E_discount_overshoot|net,90,2019-01-31 00:00:00,2026-06-30 00:00:00,0.9951788848754028,0.09647208293288623,0.1777690423248827,0.6097968435708491,0.9506796396652472,-0.3379368337670152,0.28547371370413344,0.1333916034322526,-0.20690052887739668,0.5,1.669997433596016,-0.0028941800468316797,1.1909083328026904,-0.07612802682873887,0.14403954816576672,90.0,E_discount_overshoot,full,net_TR
E_discount_overshoot|development,36,2019-01-31 00:00:00,2021-12-31 00:00:00,0.7751010342778359,0.21080542743570985,0.21300647116624935,1.0140726207598458,1.4720322970080955,-0.32504044059062875,0.6485513834914103,0.14099143142857143,-0.20034495125,0.7222222222222222,1.756425301720579,0.04631010966416417,1.1674015299143976,0.7837875202307945,0.6975696993054801,36.0,E_discount_overshoot,development,gross_TR
E_discount_overshoot|validation,24,2022-01-31 00:00:00,2023-12-31 00:00:00,0.2108013890895455,0.10036420747384622,0.16610360513755187,0.6551783110134237,1.3960167010678672,-0.118312752392281,0.8482957706966017,0.13326839275,-0.053177976249999995,0.4583333333333333,0.9265620532078815,0.08621186588522585,1.1189366511938548,1.0052909781293518,0.7442577403820791,24.0,E_discount_overshoot,validation,gross_TR
E_discount_overshoot|holdout,30,2024-01-31 00:00:00,2026-06-30 00:00:00,0.599121643829797,0.20657021585077784,0.14214040112716675,1.3980349505766367,3.617488097493291,-0.08713023712732904,2.3708212287876993,0.12003832037500001,-0.04804443428571428,0.6,2.2104873461715515,0.06232469356307395,1.5194349280799475,1.0160015924474999,1.1208185503144132,30.0,E_discount_overshoot,holdout,gross_TR
BM_equal_weight_universe|full,113,2017-02-28 00:00:00,2026-06-30 00:00:00,0.9005022515492256,0.07056820768348326,0.11301242762347405,0.6631043791937231,0.9213515236607228,-0.24827128600899384,0.2842382976214449,0.11137650438834946,-0.17991365895327102,0.6460176991150443,2.0348410707957414,,,,,,BM_equal_weight_universe,full,gross_TR
BM_equal_weight_universe|net,113,2017-02-28 00:00:00,2026-06-30 00:00:00,0.8223824166220053,0.06580691275205885,0.11292303896604827,0.623868309292364,0.8625889725532812,-0.24877225113506796,0.26452674063044823,0.11087351085113842,-0.18027010425296536,0.6371681415929203,1.914438960664942,,,,,,BM_equal_weight_universe,full,net_TR
BM_equal_weight_universe|development,59,2017-02-28 00:00:00,2021-12-31 00:00:00,0.48445640326586314,0.08366506789987094,0.13265448685767955,0.6759079023053317,0.9308567199137867,-0.24827128600899384,0.3369905124543484,0.11137650438834946,-0.17991365895327102,0.6949152542372882,1.4987282956874035,,,,,,BM_equal_weight_universe,development,gross_TR
BM_equal_weight_universe|validation,24,2022-01-31 00:00:00,2023-12-31 00:00:00,0.030327498617815474,0.015050490674141548,0.10409651571190202,0.1941630932933742,0.2651975178475026,-0.1305628471445145,0.11527391599757929,0.050583680098901095,-0.07622113272826089,0.5416666666666666,0.2745880798478023,,,,,,BM_equal_weight_universe,validation,gross_TR
BM_equal_weight_universe|holdout,30,2024-01-31 00:00:00,2026-06-30 00:00:00,0.24258369365966193,0.09076265419067653,0.07262772059760354,1.2359649231322831,1.9947713160579237,-0.07611013310556547,1.192517349362507,0.03827188371604939,-0.0635199206904762,0.6333333333333333,1.9542321325864738,,,,,,BM_equal_weight_universe,holdout,gross_TR
