ticker,month,label,unit,truth,n_matching_labels,matched,nearest_label,nearest_value,nearest_unit,nearest_ratio,split,announcement_id
MXT,2025-09,,,2.0002,0,False,is as follows value date nta per unit,2.0095,dollars,1.0046495350464955,learn,02998947
WQG,2025-09,,,2.225,0,False,nta before tax,2.159,dollars,0.9703370786516853,learn,02998655
ARG,2025-09,and approximate pre tax nta per share,dollars,10.65,1,True,,,,,learn,02998257
DJW,2025-09,share as at pre tax nta per share,dollars,3.36,2,True,,,,,learn,02998153
DJW,2025-09,pre tax nta per share,dollars,3.36,2,True,,,,,learn,02998153
AMH,2025-09,,,1.2,0,False,pre tax nta per share,1.22,dollars,1.0166666666666666,learn,02998132
HM1,2025-09,,,3.82,0,False,pre tax nta post current tax nta,3.83,dollars,1.0026178010471205,learn,02997927
FPC,2025-09,,,1.8874,0,False,estimated pre tax nta lifting to a record of,1.786,dollars,0.9462752993536082,learn,02997483
GCI,2025-09,,,2.0105,0,False,on nta per unit as at,2.0179,dollars,1.0036806764486446,learn,02997441
MXT,2025-09,,,2.0002,0,False,is as follows value date nta per unit,2.0074,dollars,1.0035996400359966,learn,02996977
KKC,2025-09,,,2.4408,0,False,current nta estimate,2.4332,dollars,0.9968862667977711,learn,02996795
MEC,2025-09,,,1.3737,0,False,noted below dollars per share estimated nta pre tax,1.3159,dollars,0.957923855281357,learn,02995955
MXT,2025-09,,,2.0002,0,False,is as follows value date nta per unit,2.0067,dollars,1.0032496750324966,learn,02995920
LSF,2025-09,,,3.5881,0,False,were nta per ordinary share nta before tax,3.604,dollars,1.0044313146233383,learn,02995012
KKC,2025-09,,,2.4408,0,False,current nta estimate,2.4277,dollars,0.9946329072435268,learn,02995067
VG1,2025-09,,,2.23,0,False,share for vgi partners global investments limited was,2.15,dollars,0.9641255605381166,learn,02995078
PGF,2025-09,,,2.6479,0,False,nta before tax accruals,2.61,dollars,0.9856867706484383,learn,02995092
FGX,2025-09,,,1.5189,0,False,yrs yrs pa firetrail investments eley griffiths group,1.5,dollars,0.9875567845151096,learn,02994894
CD3,2025-09,,,1.73,0,False,inception year nta return last months since inception,1.83,dollars,1.0578034682080926,learn,02994725
MOT,2025-09,is as follows value date nta per unit,dollars,2.1485,1,True,,,,,learn,02994719
PIC,2025-09,,,1.276,0,False,as at the nta after tax was,1.263,dollars,0.9898119122257052,learn,02994712
GCI,2025-09,rate distribution cap unit m distribution nta unit m,dollars,2.0105,1,True,,,,,learn,02994634
CDO,2025-09,,,2.201,0,False,franking credits based on the pre tax nta of,2.03,dollars,0.922308041799182,learn,02994049
MOT,2025-09,is as follows value date nta per unit,dollars,2.1485,1,True,,,,,learn,02994139
PIC,2025-09,,,1.276,0,False,nta after tax,1.292,dollars,1.0125391849529781,learn,02993693
SEC,2025-09,at estimated nta per share pre tax nta,dollars,2.63,1,True,,,,,holdout,02993777
HM1,2025-09,,,3.82,0,False,investment update at investment objective pre tax nta,3.89,dollars,1.018324607329843,learn,02992821
LSF,2025-09,,,3.5881,0,False,were nta per ordinary share nta before tax,3.5006,dollars,0.9756138346199938,learn,02992765
MFF,2025-09,,,5.231,0,False,chapter pre tax nta after accounting provision for dividend,5.196,dollars,0.9933091187153508,learn,02992601
OPH,2025-09,,,3.7412,0,False,reserve bank of australia cut interest rates from,3.85,dollars,1.0290815781032823,learn,02992511
CIN,2025-09,,,44.88,0,False,,,,,learn,02992475
OPH,2025-09,,,3.7412,0,False,is as follows value date nav per unit,3.5868,dollars,0.9587298193093126,learn,02992331
KKC,2025-09,,,2.4408,0,False,previous nta estimate,2.4249,dollars,0.9934857423795478,learn,02992203
BKI,2025-09,,,1.96,0,False,per share as at below pre tax nta,2.01,dollars,1.0255102040816326,holdout,02992198
SEC,2025-09,,,2.63,0,False,spheria emerging companies limited level,2.64,cents,1.0038022813688214,holdout,02991351
PIA,2025-09,,,1.4106,0,False,pia pengana international equities limited pengana com pia acn,1.07,cents,0.7585424641996313,holdout,02991017
LSF,2025-09,,,3.5881,0,False,were nta per ordinary share nta before tax,3.5263,dollars,0.9827763997658928,learn,02990348
ALI,2025-09,,,2.65,0,False,and approximate pre tax nta per share share price,2.46,dollars,0.9283018867924528,learn,02989983
TGF,2025-08,estimated nta pre tax,dollars,2.1972,2,True,,,,,holdout,02989459
TGF,2025-08,backing per ordinary share dividend estimated nta pre tax,dollars,2.1972,2,True,,,,,holdout,02989459
OPH,2025-08,prior value date nav per unit month end,dollars,3.634,1,True,,,,,learn,02989389
BKI,2025-08,per share as at below pre tax nta,dollars,2.02,1,True,,,,,holdout,02989377
LSF,2025-08,,,3.5263,0,False,were nta per ordinary share nta before tax,3.5081,dollars,0.9948387828602219,learn,02989812
PCI,2025-08,,,1.096,0,False,at close of business on nta per unit,1.101,dollars,1.0045620437956204,holdout,02987455
MOT,2025-08,,,2.1467,0,False,is as follows value date nta per unit,2.1565,dollars,1.0045651465039362,learn,02986633
PIA,2025-08,,,1.4004,0,False,pia pengana international equities limited pengana com pia acn,1.07,cents,0.7640674093116252,holdout,02986135
AUI,2025-08,,,13.48,0,False,is as below weekly pre tax nta per share,13.75,dollars,1.0200296735905043,holdout,02985108
PCI,2025-08,,,1.096,0,False,at close of business on nta per unit,1.101,dollars,1.0045620437956204,holdout,02984814
BKI,2025-08,payment of the fy interim dividend pre tax nta,dollars,2.02,1,True,,,,,holdout,02984792
MOT,2025-08,,,2.1467,0,False,is as follows value date nta per unit,2.1544,dollars,1.0035869008245213,learn,02983517
GCI,2025-08,,,2.0095,0,False,on nta per unit as at,2.0175,dollars,1.0039810898233392,learn,02982727
ARG,2025-08,,,10.81,0,False,and approximate pre tax nta per share,10.77,dollars,0.9962997224791859,learn,02981527
