file,rows,n_price,n_nav,n_both,n_ord_conv,error
2024-07_mir_MIR2407.csv,348,165,165,165,157,
2024-08_mir_MIR2408.csv,348,165,165,165,157,
2024-09_mir_MIR2409.csv,347,161,161,161,153,
2024-10_mir_MIR2410.csv,340,159,159,159,152,
2024-11_mir_MIR2411.csv,331,160,160,160,153,
2024-12_mir_MIR2412.csv,326,156,156,156,149,
2025-01_mir_MIR2501.csv,326,159,159,159,152,
2025-02_mir_MIR2502.csv,323,156,156,156,149,
2025-03_mir_MIR2503.csv,318,149,149,149,142,
2025-04_mir_MIR2504.csv,318,151,151,151,145,
2025-05_mir_MIR2505.csv,315,149,149,149,143,
2025-06_mir_MIR2506.csv,312,146,146,146,140,
2025-07_mir_MIR2507.csv,310,148,148,148,142,
2025-08_mir_MIR2508.csv,311,148,148,148,142,
2025-09_mir_MIR2509.csv,308,142,142,142,136,
2025-10_mir_MIR2510.csv,301,144,144,144,138,
2025-11_mir_MIR2511.csv,295,141,141,141,135,
2025-12_mir_MIR2512.csv,291,136,136,136,131,
2026-01_mir_MIR2601.csv,290,141,141,141,136,
2026-02_mir_MIR2602.csv,289,140,140,140,135,
2026-03_mir_MIR2603.csv,288,136,136,136,131,
2026-04_mir_MIR2604.csv,284,135,135,135,130,
2026-05_mir_MIR2605.csv,282,137,137,137,132,
2026-06_mir_MIR2606.csv,281,134,134,134,129,
2026-07_mir_MIR2607.csv,282,137,137,137,132,
