period,horizon_months,feature,value,is_silent,n,resolved,rate,base_rate,lift,z_vs_rest,universe
holdout_2022+,6,winddown_path,none,True,175,36,0.2057142857142857,0.3754646840148699,0.5478925035360679,-7.844747903182,documented
holdout_2022+,6,winddown_path,proposal_announced,False,62,45,0.7258064516129032,0.3754646840148699,1.9330884701373365,6.494050792352134,documented
holdout_2022+,6,winddown_path,shareholder_approved,False,5,4,0.8,0.3754646840148699,2.130693069306931,1.9788366935710298,documented
holdout_2022+,6,winddown_path,strategic_review,False,11,9,0.8181818181818182,0.3754646840148699,2.179117911791179,3.0961779424080604,documented
holdout_2022+,6,activist_presence,named_holder,False,13,6,0.46153846153846156,0.3754646840148699,1.2292460015232294,0.6569550403705173,documented
holdout_2022+,6,activist_presence,none,True,253,92,0.36363636363636365,0.3754646840148699,0.9684968496849685,-1.5930758010216524,documented
holdout_2022+,6,activist_presence,requisition,False,3,3,1.0,0.3754646840148699,2.6633663366336635,2.246414548128357,documented
holdout_2022+,6,manager_status,change_announced,False,14,7,0.5,0.3754646840148699,1.3316831683168318,0.9883244669917955,documented
holdout_2022+,6,manager_status,changed,False,31,9,0.2903225806451613,0.3754646840148699,0.7732353880549346,-1.0407581860958248,documented
holdout_2022+,6,manager_status,stable,True,219,82,0.3744292237442922,0.3754646840148699,0.9972421899724219,-0.07339789209907081,documented
holdout_2022+,6,manager_status,under_review,False,5,3,0.6,0.3754646840148699,1.598019801980198,1.0466001426592835,documented
holdout_2022+,6,fee_direction,cut,False,83,39,0.46987951807228917,0.3754646840148699,1.251461290707384,2.136170437143828,documented
holdout_2022+,6,fee_direction,increase,False,6,2,0.3333333333333333,0.3754646840148699,0.8877887788778878,-0.2155342167008319,documented
holdout_2022+,6,fee_direction,none,True,180,60,0.3333333333333333,0.3754646840148699,0.8877887788778878,-2.029362934043385,documented
holdout_2022+,6,nav_marking,board_marked,False,119,47,0.3949579831932773,0.3754646840148699,1.051917796821699,0.5880662992837608,documented
holdout_2022+,6,nav_marking,independent_valuation,False,98,38,0.3877551020408163,0.3754646840148699,1.0327338856334614,0.3151336135422924,documented
holdout_2022+,6,nav_marking,not_stated,True,52,16,0.3076923076923077,0.3754646840148699,0.8194973343488196,-1.1236669591446933,documented
holdout_2022+,6,going_concern_language,emphasis_of_matter,False,4,2,0.5,0.3754646840148699,1.3316831683168318,0.5182182196781495,documented
holdout_2022+,6,going_concern_language,material_uncertainty,False,29,17,0.5862068965517241,0.3754646840148699,1.5612837145783542,2.4811784794391896,documented
holdout_2022+,6,going_concern_language,none,True,236,82,0.3474576271186441,0.3754646840148699,0.9254069474744085,-2.536761264030639,documented
holdout_2022+,6,distribution_stance,cut,False,21,11,0.5238095238095238,0.3754646840148699,1.3950966525223951,1.4620739628264838,documented
holdout_2022+,6,distribution_stance,increased,False,22,10,0.45454545454545453,0.3754646840148699,1.2106210621062106,0.799368164775193,documented
holdout_2022+,6,distribution_stance,maintained,False,140,55,0.39285714285714285,0.3754646840148699,1.0463224893917964,0.6136817938871558,documented
holdout_2022+,6,distribution_stance,none,True,73,18,0.2465753424657534,0.3754646840148699,0.6567204665672046,-2.6641795579358614,documented
holdout_2022+,6,distribution_stance,suspended,False,13,7,0.5384615384615384,0.3754646840148699,1.4341203351104341,1.244067684422574,documented
holdout_2022+,12,discount_stance,acknowledged,False,74,62,0.8378378378378378,0.6840148698884758,1.224882491186839,3.342949272522726,documented
holdout_2022+,12,discount_stance,action_promised,False,28,23,0.8214285714285714,0.6840148698884758,1.2008928571428572,1.6523824682567958,documented
holdout_2022+,12,discount_stance,action_taken,False,94,61,0.648936170212766,0.6840148698884758,0.9487164662349676,-0.9069815117472326,documented
holdout_2022+,12,discount_stance,not_mentioned,True,73,38,0.5205479452054794,0.6840148698884758,0.7610184633710542,-3.519438108798673,documented
holdout_2022+,12,buyback_commitment,active_programme,False,111,84,0.7567567567567568,0.6840148698884758,1.1063454759106934,2.150936323491063,documented
holdout_2022+,12,buyback_commitment,authority_only,False,76,58,0.7631578947368421,0.6840148698884758,1.1157036613272313,1.7520674940513785,documented
holdout_2022+,12,buyback_commitment,none,True,72,42,0.5833333333333334,0.6840148698884758,0.8528079710144928,-2.147301441785936,documented
holdout_2022+,12,buyback_commitment,specific_target,False,10,0,0.0,0.6840148698884758,0.0,-4.741608651133037,documented
holdout_2022+,12,continuation_vote,contingent_trigger,False,10,9,0.9,0.6840148698884758,1.3157608695652174,1.4972144708197255,documented
holdout_2022+,12,continuation_vote,failed,False,1,0,0.0,0.6840148698884758,0.0,-1.4740363438897934,documented
holdout_2022+,12,continuation_vote,none,True,176,122,0.6931818181818182,0.6840148698884758,1.0134016798418974,0.4448869708165158,documented
holdout_2022+,12,continuation_vote,passed,False,24,15,0.625,0.6840148698884758,0.9137228260869565,-0.6516195089913652,documented
holdout_2022+,12,continuation_vote,scheduled,False,58,38,0.6551724137931034,0.6840148698884758,0.9578335832083958,-0.5334762073613681,documented
holdout_2022+,12,winddown_path,in_progress,False,16,13,0.8125,0.6840148698884758,1.1878396739130435,1.1398892160605245,documented
holdout_2022+,12,winddown_path,none,True,175,108,0.6171428571428571,0.6840148698884758,0.9022360248447204,-3.218915218692546,documented
holdout_2022+,12,winddown_path,proposal_announced,False,62,48,0.7741935483870968,0.6840148698884758,1.1318373071528751,1.7411034834490802,documented
holdout_2022+,12,winddown_path,shareholder_approved,False,5,4,0.8,0.6840148698884758,1.1695652173913045,0.5631127988071517,documented
holdout_2022+,12,winddown_path,strategic_review,False,11,11,1.0,0.6840148698884758,1.4619565217391304,2.301776654405848,documented
holdout_2022+,12,activist_presence,named_holder,False,13,12,0.9230769230769231,0.6840148698884758,1.3494983277591974,1.900519737589884,documented
holdout_2022+,12,activist_presence,none,True,253,169,0.6679841897233202,0.6840148698884758,0.9765638425846366,-2.2488591947957177,documented
holdout_2022+,12,activist_presence,requisition,False,3,3,1.0,0.6840148698884758,1.4619565217391304,1.1838495145481047,documented
holdout_2022+,12,manager_status,change_announced,False,14,7,0.5,0.6840148698884758,0.7309782608695652,-1.5210969383615507,documented
holdout_2022+,12,manager_status,changed,False,31,23,0.7419354838709677,0.6840148698884758,1.0846774193548387,0.7374550788372288,documented
holdout_2022+,12,manager_status,stable,True,219,149,0.680365296803653,0.6840148698884758,0.9946644828270796,-0.2694568112052571,documented
