AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Asia Pacific - Excluding Japan,Henderson Far East Income,Ordinary Share,31/01/2007,B1GXH75,184775000,0,0,0,0,0,0,0,0,231.5,1622535,,,77622621,0,0,0,N/A,4,100,,,N,184775000,238.04,,,,,240.13,,,,,238.04,,,,,240.13,,,,,0,4,17,6,18,11,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Asia Pacific - Excluding Japan,Henderson TR Pacific,Ordinary Share,31/01/2007,871079,269745000,25718503,25718503,25718503,25718503,0,0,0,25718503,124.25,0,,,183168359,0,550000,0,N/A,-2,111,,,Y,244026497,133.23,,,,,,,,,,133.23,,,,,,,,,,1.9,-2,21,11,17,15,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,,"09/01/07 Buy Back 550,000 @ ú0.674m."
Asia Pacific - Excluding Japan,INVESCO Asia,Ordinary Share,31/01/2007,453530,119087795,10350000,10350000,10350000,10350000,0,0,0,10350000,94.5,0,,,105962425,0,0,0,N/A,0,110,0,,N,108737795,102.62,,,,,,,,,,102.62,,,,,,,,,,2.1,0,22,14,14,12,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,par value of o/draft used as not materially different to fair value,
Asia Pacific - Excluding Japan,JPMorgan Asian,Ordinary Share,31/01/2007,132077,285086178,15485927,15485927,15485927,15485927,0,0,0,15485927,153.25,0,,,161457154,0,0,0,N/A,0,106,,,Y,269600251,166.98,,,,,,,,,,166.98,,,,,,,,,,1.43,0,18,12,21,15,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Asia Pacific - Excluding Japan,Pacific Assets,Ordinary Share,31/01/2007,667438,133636897,10217636,10217636,10217636,10217636,0,0,0,10217636,93.5,0,,,118848386,0,0,0,N/A,1,108,0,,N,123419261,103.85,,,,,,,,,,103.85,,,,,,,,,,1.1,1,21,15,19,16,10,18,0,0,0,0,0,0,0,122,-152,28,26,0,76,122,-152,28,26,0,76,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Asia Pacific - Excluding Japan,Pacific Horizon,Ordinary Share,31/01/2007,666747,95952271,0,0,0,0,0,0,0,0,128.25,0,,,77937002,400000,0,0,N/A,1,100,1,,N,95952271,123.12,,,,,,,,,,123.12,,,,,,,,,,2.7,1,33,13,14,14,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"On 26 January 2007, 400,000 shares issued at a price of 130p for ú518,000"
Asia Pacific - Excluding Japan,Schroder AsiaPacific,Ordinary Share,31/01/2007,791887,282717193,28098947,28098947,28098947,28098947,0,0,0,28098947,138,699135,,,167189762,0,0,0,N/A,3,111,,,,254618246,152.29,,,,,152.71,,,,,152.29,,,,,152.71,,,,,0.8,3,23,13,20,12,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Asia Pacific - Excluding Japan,Scottish Oriental Smaller Companies,Ordinary Share,31/01/2007,783613,85221820,0,0,0,0,0,0,0,0,279.25,663561,,,26235601,0,0,0,N/A,3,100,,,,85221820,324.83,295.23,,,,327.36,297.43,,,,324.83,295.23,,,,327.36,297.43,,,,3.19,3,14,18,10,9,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,10,9,6,43,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Country Specialists: Europe,Gartmore Irish Growth,Ordinary Share,31/01/2007,615200,133076448,0,0,0,0,0,0,0,0,935,-650243,,,14252042,0,0,760000,No,8,100,,,N,133076448,933.74,,,,933.74,929.17,,,,929.17,933.74,,,,933.74,929.17,,,,929.17,0,8,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Country Specialists: Europe,JPMorgan Russian Securities,Ordinary Share,31/01/2007,3216473,307970207,8314169,8314169,8314169,8314169,0,0,0,8314169,478,-213570,,,56012812,0,0,0,N/A,0,103,,Y,N,299656038,,,,,,534.6,,,,,,,,,,534.6,,,,,1.62,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Country Specialists: Europe,Ukraine Opportunity,Ordinary Share,31/01/2007,B0HW611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Country Specialists: Asia Pacific,Aberdeen New Thai,Ordinary Share,31/01/2007,5997,29781971,1440687,1440687,1440687,1440687,0,0,0,1440687,151,578791,,,18095420,0,0,0,N/A,-3,105,,,N,28341284,156.62,,,,,159.82,,,,,156.62,,,,,159.82,,,,,0,-3,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair and par value are not materially different,
Country Specialists: Asia Pacific,JPMorgan Chinese,Ordinary Share,31/01/2007,343501,78569518,5453134,5453134,5453134,5453134,0,0,0,5453134,94.75,139920,,,75462001,1475000,0,0,N/A,0,107,,,Y,73116384,96.89,,,,,97.08,,,,,96.89,,,,,97.08,,,,,2.14,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Country Specialists: Asia Pacific,JPMorgan Indian,Ordinary Share,31/01/2007,345035,339745113,0,0,0,0,0,0,0,0,309.75,-938595,,,104806662,0,0,0,N/A,1,100,,Y,N,339745113,,,,,,323.27,,,,,,,,,,323.27,,,,,0.03,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Country Specialists: Asia Pacific,New India,Ordinary Share,31/01/2007,604877,77383701,0,0,0,0,0,0,0,0,140.5,-181883,,,47839850,0,0,0,N/A,0,100,,Y,Y,77383701,,,,,,161.38,148.42,,,,,,,,,161.38,148.42,,,,1.3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,87,0,13,0,0,0,87,0,13,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Country Specialists: Asia Pacific,New Zealand,Ordinary Share,31/01/2007,634874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Specialists: Asia Pacific,Vietnam Opportunity,Ordinary Share,31/01/2007,3351642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Country Specialists: Other,Old Mutual South Africa,Ordinary Share,31/01/2007,659941,95623021,0,0,0,0,0,0,0,0,187.75,529561,,,49801063,0,0,0,N/A,100,100,,,N,95623021,192.01,,,,,193.07,,,,,192.01,,,,,193.07,,,,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,72,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Short term loans,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other , , , , , , , ,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other ,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
European Emerging Markets,Baring Emerging Europe,Ordinary Share,31/01/2007,3227334,336385914,0,0,0,0,0,0,0,0,700,0,,,43259906,0,0,1100000,No,3,100,0,,Y,336385914,777.59,,,,777.59,,,,,,777.59,,,,777.59,,,,,,0.35,3,6,12,12,57,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
European Emerging Markets,Eastern European,Ordinary Share,31/01/2007,B0BN1P9,230938152,24624439,24624439,24624439,24624439,0,0,0,24624439,310.5,-1055206,,,58983270,0,0,200000,N/A,-8,112,3.3,,Y,206313713,349.78,,,,349.65,347.99,,,,347.87,349.78,,,,349.65,347.99,,,,347.87,0,-8,3,6,7,59,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Sector Specialist: Environmental,Impax Environmental Markets,Ordinary Share,31/01/2007,3123249,229292147,0,0,0,0,0,0,0,0,116.25,0,,,200356027,0,0,0,N/A,1,100,4,,N,229292147,114.44,112.78,,,,,,,,,114.44,112.78,,,,,,,,,0.6,1,21,27,42,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Sector Specialist: Environmental,Merrill Lynch New Energy Technology,Ordinary Share,31/01/2007,973793,116896970,0,0,0,0,0,0,0,0,55.25,-325437,,,218750000,2600000,0,0,N/A,6,100,4,Y,Y,116896970,,,,,,53.29,,,,,,,,,,53.29,,,,,0.5,6,13,31,40,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,"On 08/01/2007, 2,600,000 shares issued at 50.625p, ú1,316,250.",,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,France ,Germany ,Nether lands,Switzer land,Other , , , , , , , ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
European Smaller Companies,European Assets,Ordinary Share,31/01/2007,322566,179127469,6638519,6638519,6638519,6638519,0,0,0,6638519,977.75,0,,,17240858,707383,0,1245000,Yes,4,104,,,N,172488950,1000.47,,,,998.94,,,,,,1000.47,,,,998.94,,,,,,0,4,0,12,5,2,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,The par and fair value are not materially different.,"2 JAN 2007 ISSUED 225,000 ORD SHARES AT ú9.79 PER SHARE. 
9 JAN 2007 ISSUED 175,000 ORD SHARES AT ú9.80 PER SHARE. 
24 JAN 2007 ISSUED 100,000 ORD SHARES AT ú9.63 PER SHARE. 
24 JAN 2007 ISSUED 7,383 ORD SHARES AT ú10.61 PER SHARE. 
25 JAN 2007 ISSUED 50,000 ORD SHARES AT ú9.705 PER SHARE. 
30 JAN 2007 ISSUED 150,000 ORD SHARES AT ú9.73 PER SHARE. 
"
European Smaller Companies,JPMorgan European Fledgeling,Ordinary Share,31/01/2007,341969,479210193,48340842,48340842,48340842,48340842,0,0,0,48340842,763,0,,,50900198,0,0,1881319,Yes,0,111,,,N,430869351,846.5,,,,843.52,,,,,,846.5,,,,843.52,,,,,,1.19,0,0,13,8,14,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
European Smaller Companies,Montanaro European Smaller Companies,Ordinary Share,31/01/2007,454351,80462061,9853620,9853620,9853620,9853620,0,0,0,9853620,387,261724,,,17448260,0,0,0,N/A,8,114,0,,Y,70608441,404.67,,,,,406.17,,,,,404.67,,,,,406.17,,,,,1.1,8,24,4,6,2,3,53,0,0,0,0,0,0,0,-7,0,0,0,0,107,-7,0,0,0,0,107,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
European Smaller Companies,TR European Growth,Ordinary Share,31/01/2007,906692,431904000,13538176,13538176,13538176,13538176,0,0,0,13538176,440,0,,,86014355,0,611000,0,N/A,0,103,2,,Y,418365824,486.39,,,,,,,,,,486.39,,,,,,,,,,0,0,6,12,11,11,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,par and fair value are not materially different,"611,000 shares were bought back for a total consideration of ú2,663,000."
