FundName,SEDOL(conv),Prior Charge,PCType,RepayType,Coupon,Fixed,% to Cap,CCY,Issued,IssuedValue,IssuedValGBP,CurrentValue,FairValue,RedValue,Notes,RedeemedFlag NIL
Electric & General,309019,Debenture,D,N,10.75,,75,GBP,01/01/1991,7000000,7000000,7000000,8364090,0,,F
Establishment Investment Trust,3133691,Bank of Scotland Loan Facility,L,N,,,,USD,,5000000,2554409,2554409,2554409,2554409,,F
Establishment Investment Trust,3133691,Bank of Scotland Loan Facility,L,N,,,,JPY,,215000000,908066,908066,908066,908066,,F
European Assets,322566,Royal Bank of Scotland,L,N,4.33,,,EUR,31/01/2007,0,0,6638519,6638519,0,,F
European Utilities,476117,Euro Business Loan,L,R,5.015,,50,EUR,06/07/2004,5205000,3444547,3438483,3415221,0,,F
F&C Capital & Income,346328,Unsecured loan,L,N,5.53,,50,GBP,08/09/2006,8000000,8000000,8000000,8000000,0,,F
F&C Global Smaller Companies,17505,11.5% Debenture,D,N,11.5,,70,GBP,,10000000,10000000,10000000,13387900,10000000,,F
F&C UK Select,156828,Fixed Rate Bank Loan,L,N,6.625,,85,GBP,,0,0,9000000,9024874,9000000,,F
Fidelity Asian Values,332231,Fixed rate unsecured loan,L,N,5.6,Y,0,USD,27/09/2006,18000000,9541226,9177820,9799644,0,repayable 25/09/2009,F
Fidelity European Values,337582,Fixed rate unsecured loan,L,N,3.23,Y,0,EUR,22/06/2005,40000000,26625302,26510643,25604693,0,,F
Fidelity European Values,337582,Fixed rate unsecured loan,L,N,3.54,Y,0,EUR,22/11/2005,35000000,23919017,23196813,22759627,0,,F
Fidelity European Values,337582,Fixed rate unsecured loan,L,N,4.38,Y,,EUR,29/12/2006,65000000,43782959,43079796,43128241,0,,F
Fidelity European Values,337582,Revolving credit facility,L,N,4.147,Y,,EUR,29/12/2006,15000000,10103760,9941491,9941491,0,,F
Fidelity Japanese Values,332855,Fixed rate unsecured loan,L,N,1.565,Y,,JPY,13/08/2004,1499040000,7371237,6314941,6387908,0,,F
Fidelity Japanese Values,332855,Fixed rate unsecured loan,L,N,1.34,Y,,JPY,25/11/2004,1680000000,8678394,7077263,7123400,0,,F
Fidelity Special Values,332510,Fixed rate unsecured loan,L,N,4.91,,0,GBP,07/02/2003,5000000,5000000,5000000,4880924,5000000,repayable 07/02/08,F
Fidelity Special Values,332510,Fixed rate unsecured loan,L,N,5.655,,0,GBP,16/01/2004,8000000,8000000,8000000,7958301,8000000,repayble 16/01/09,F
Fidelity Special Values,332510,Fixed rate unsecured loan,L,N,5.435,,0,GBP,25/10/2004,7000000,7000000,7000000,6930172,7000000,repayable 26/01/10,F
Fidelity Special Values,332510,Fixed rate unsecured loan,L,N,5.435,,0,GBP,26/01/2005,20000000,20000000,20000000,19800492,20000000,repayable 26/01/10,F
Finsbury Growth & Income,781606,AIB Loan,L,N,5.76,,75,GBP,22/12/2006,22350000,22350000,0,0,22350000,,T
Finsbury Growth & Income,781606,ING BANK LOAN,L,N,5.915,,,GBP,30/01/2007,2350000,2350000,2350000,2350000,2350000,,F
Finsbury Growth & Income,781606,ING BANK LOAN,L,N,5.965,,,GBP,30/01/2007,20000000,20000000,20000000,20000000,20000000,,F
Finsbury Worldwide Pharmaceutical,338530,bank loan,L,N,5.9,,100,USD,27/12/2006,8000000,4091758,0,0,4097416,0,T
Finsbury Worldwide Pharmaceutical,338530,bank loan,L,N,5.9,,100,USD,27/12/2006,24200000,12377567,0,0,12337811,,T
Finsbury Worldwide Pharmaceutical,338530,BANK LOAN,L,N,5.838,,100,USD,30/01/2007,24200000,12337811,12363339,12363339,0,,F
Foreign & Colonial,346607,Debenture stock,D,N,11.25,,50,GBP,,110000000,110000000,110000000,148852000,110000000,,F
