Fund,Country,Percent,Date,SEDOL
Scottish Investment Trust,Hong Kong,3,31/01/2007,782609
Scottish Investment Trust,Japan,3,31/01/2007,782609
Scottish Investment Trust,Singapore,2,31/01/2007,782609
Scottish Investment Trust,Taiwan,2,31/01/2007,782609
Scottish Investment Trust,Canada,1,31/01/2007,782609
Scottish Investment Trust,USA,20,31/01/2007,782609
Scottish Investment Trust,Cash & Fixed Interest,9,31/01/2007,782609
Scottish Mortgage,India,1,31/01/2007,783884
Scottish Mortgage,Russia,4,31/01/2007,783884
Scottish Mortgage,France,1,31/01/2007,783884
Scottish Mortgage,Germany,4,31/01/2007,783884
Scottish Mortgage,Sweden,6,31/01/2007,783884
Scottish Mortgage,Switzerland,1,31/01/2007,783884
Scottish Mortgage,UK,35,31/01/2007,783884
Scottish Mortgage,Australia,1,31/01/2007,783884
Scottish Mortgage,China,2,31/01/2007,783884
Scottish Mortgage,Japan,3,31/01/2007,783884
Scottish Mortgage,Singapore,1,31/01/2007,783884
Scottish Mortgage,South Korea,3,31/01/2007,783884
Scottish Mortgage,Taiwan,1,31/01/2007,783884
Scottish Mortgage,Brazil,6,31/01/2007,783884
Scottish Mortgage,Israel,1,31/01/2007,783884
Scottish Mortgage,Canada,1,31/01/2007,783884
Scottish Mortgage,Netherlands Antilles,24,31/01/2007,783884
Scottish Mortgage,Cash & Fixed Interest,5,31/01/2007,783884
Scottish Oriental Smaller Companies,India,4,31/01/2007,783613
Scottish Oriental Smaller Companies,Sri Lanka,3,31/01/2007,783613
Scottish Oriental Smaller Companies,China,6,31/01/2007,783613
Scottish Oriental Smaller Companies,Hong Kong,14,31/01/2007,783613
Scottish Oriental Smaller Companies,Indonesia,3,31/01/2007,783613
Scottish Oriental Smaller Companies,Malaysia,12,31/01/2007,783613
Scottish Oriental Smaller Companies,Philippines,4,31/01/2007,783613
Scottish Oriental Smaller Companies,Singapore,18,31/01/2007,783613
Scottish Oriental Smaller Companies,South Korea,10,31/01/2007,783613
Scottish Oriental Smaller Companies,Taiwan,9,31/01/2007,783613
Scottish Oriental Smaller Companies,Thailand,10,31/01/2007,783613
Scottish Oriental Smaller Companies,Vietnam,4,31/01/2007,783613
Scottish Oriental Smaller Companies,Cash & Fixed Interest,3,31/01/2007,783613
Securities Trust of Scotland,UK,98,31/01/2007,B09G3N2
Securities Trust of Scotland,Cash & Fixed Interest,2,31/01/2007,B09G3N2
Shires Income,UK,74,31/01/2007,805250
Shires Income,USA,1,31/01/2007,805250
Shires Income,Cash & Fixed Interest,25,31/01/2007,805250
Shires Smaller Companies,UK,69,31/01/2007,806372
Shires Smaller Companies,Cash & Fixed Interest,31,31/01/2007,806372
Sitka Health Fund VCT,Not reported,,,
Small Companies Dividend,UK,101,31/01/2007,661582
Small Companies Dividend,Cash & Fixed Interest,-1,31/01/2007,661582
Smaller Companies Value Trust,UK,101,31/01/2007,3152856
Smaller Companies Value Trust,Cash & Fixed Interest,-1,31/01/2007,3152856
Smaller Companies Value Unit,Not reported,,,
SR Europe,Russia,2,31/01/2007,3066894
SR Europe,Finland,2,31/01/2007,3066894
SR Europe,France,8,31/01/2007,3066894
SR Europe,Germany,23,31/01/2007,3066894
SR Europe,Greece,1,31/01/2007,3066894
SR Europe,Italy,5,31/01/2007,3066894
SR Europe,Netherlands,13,31/01/2007,3066894
SR Europe,Norway,6,31/01/2007,3066894
SR Europe,Spain,3,31/01/2007,3066894
SR Europe,Sweden,4,31/01/2007,3066894
SR Europe,Switzerland,7,31/01/2007,3066894
SR Europe,UK,27,31/01/2007,3066894
SR Europe,Cash & Fixed Interest,-1,31/01/2007,3066894
Standard Life Equity Income,UK,99,31/01/2007,603959
Standard Life Equity Income,Cash & Fixed Interest,1,31/01/2007,603959
Standard Life European Private Equity,Not reported,,,
Standard Life Investments Property Income,Not reported,,,
Strategic Equity Capital,Not reported,,,
SVG Capital,Not reported,,,
SVM UK Active,Not reported,,,
Tapestry,Not reported,,,
Temple Bar,UK,93,31/01/2007,882532
Temple Bar,Cash & Fixed Interest,7,31/01/2007,882532
Templeton Emerging Markets,South Africa,3,31/01/2007,882929
Templeton Emerging Markets,India,3,31/01/2007,882929
Templeton Emerging Markets,Pakistan,1,31/01/2007,882929
Templeton Emerging Markets,Hungary,5,31/01/2007,882929
Templeton Emerging Markets,Poland,3,31/01/2007,882929
Templeton Emerging Markets,Russia,9,31/01/2007,882929
Templeton Emerging Markets,Turkey,8,31/01/2007,882929
Templeton Emerging Markets,Austria,1,31/01/2007,882929
Templeton Emerging Markets,China,2,31/01/2007,882929
Templeton Emerging Markets,Hong Kong,15,31/01/2007,882929
Templeton Emerging Markets,Indonesia,1,31/01/2007,882929
Templeton Emerging Markets,Malaysia,2,31/01/2007,882929
Templeton Emerging Markets,South Korea,14,31/01/2007,882929
Templeton Emerging Markets,Taiwan,3,31/01/2007,882929
Templeton Emerging Markets,Thailand,7,31/01/2007,882929
Templeton Emerging Markets,Brazil,20,31/01/2007,882929
Templeton Emerging Markets,Mexico,1,31/01/2007,882929
Templeton Emerging Markets,Cash & Fixed Interest,2,31/01/2007,882929
Throgmorton Trust,Netherlands,1,31/01/2007,891055
Throgmorton Trust,UK,85,31/01/2007,891055
Throgmorton Trust,Australia,3,31/01/2007,891055
Throgmorton Trust,Israel,1,31/01/2007,891055
Throgmorton Trust,Bermuda,1,31/01/2007,891055
Throgmorton Trust,Canada,1,31/01/2007,891055
Throgmorton Trust,USA,1,31/01/2007,891055
Throgmorton Trust,Cash & Fixed Interest,7,31/01/2007,891055
TR European Growth,Bulgaria,1,31/01/2007,906692
TR European Growth,Russia,1,31/01/2007,906692
TR European Growth,Turkey,2,31/01/2007,906692
TR European Growth,Austria,11,31/01/2007,906692
TR European Growth,Belgium,2,31/01/2007,906692
TR European Growth,Cyprus,1,31/01/2007,906692
TR European Growth,Denmark,2,31/01/2007,906692
TR European Growth,European Developed,2,31/01/2007,906692
TR European Growth,Finland,2,31/01/2007,906692
TR European Growth,France,12,31/01/2007,906692
TR European Growth,Germany,11,31/01/2007,906692
TR European Growth,Greece,6,31/01/2007,906692
TR European Growth,Italy,10,31/01/2007,906692
TR European Growth,Netherlands,11,31/01/2007,906692
TR European Growth,Norway,5,31/01/2007,906692
TR European Growth,Portugal,1,31/01/2007,906692
TR European Growth,Spain,2,31/01/2007,906692
TR European Growth,Sweden,6,31/01/2007,906692
TR European Growth,Switzerland,6,31/01/2007,906692
TR European Growth,UK,6,31/01/2007,906692
TR Property,Austria,1,31/01/2007,906409
TR Property,Belgium,1,31/01/2007,906409
TR Property,Denmark,0,31/01/2007,906409
TR Property,Finland,1,31/01/2007,906409
TR Property,France,13,31/01/2007,906409
TR Property,Germany,2,31/01/2007,906409
TR Property,Greece,1,31/01/2007,906409
TR Property,Italy,2,31/01/2007,906409
TR Property,Luxembourg,1,31/01/2007,906409
TR Property,Netherlands,10,31/01/2007,906409
TR Property,Spain,1,31/01/2007,906409
TR Property,Sweden,4,31/01/2007,906409
TR Property,Switzerland,1,31/01/2007,906409
TR Property,UK,63,31/01/2007,906409
TR Property,Cash & Fixed Interest,-1,31/01/2007,906409
Tribune UK Tracker,UK,100,31/01/2007,B0S49V7
UK Select Trust,UK,104,31/01/2007,461823
UK Select Trust,Cash & Fixed Interest,-4,31/01/2007,461823
Ukraine Opportunity,Not reported,,,
Unicorn AIM VCT,UK,88,31/01/2007,3091830
Unicorn AIM VCT,USA,6,31/01/2007,3091830
Unicorn AIM VCT,Cash & Fixed Interest,6,31/01/2007,3091830
Unicorn AIM VCT II,UK,90,31/01/2007,B03GW19
Unicorn AIM VCT II,Cash & Fixed Interest,10,31/01/2007,B03GW19
Unicorn AIM VCT II C shares,UK,60,31/01/2007,B0M2L66
Unicorn AIM VCT II C shares,Cash & Fixed Interest,40,31/01/2007,B0M2L66
Unicorn AIM VCT Series 2,UK,96,31/01/2007,3420672
Unicorn AIM VCT Series 2,Cash & Fixed Interest,4,31/01/2007,3420672
US Special Opportunities,European Developed,1,31/01/2007,3031319
US Special Opportunities,UK,9,31/01/2007,3031319
US Special Opportunities,Hong Kong,2,31/01/2007,3031319
US Special Opportunities,Canada,3,31/01/2007,3031319
US Special Opportunities,USA,51,31/01/2007,3031319
US Special Opportunities,Cash & Fixed Interest,34,31/01/2007,3031319
US Special Opportunities Geared Unit,Not reported,,,
Utilico,New Zealand,24,31/01/2007,B00KTN5
Utilico,Austria,3,31/01/2007,B00KTN5
Utilico,Belgium,1,31/01/2007,B00KTN5
Utilico,Germany,3,31/01/2007,B00KTN5
Utilico,Greece,1,31/01/2007,B00KTN5
Utilico,Italy,1,31/01/2007,B00KTN5
Utilico,Luxembourg,1,31/01/2007,B00KTN5
Utilico,Norway,2,31/01/2007,B00KTN5
Utilico,Switzerland,7,31/01/2007,B00KTN5
Utilico,UK,41,31/01/2007,B00KTN5
Utilico,Australia,8,31/01/2007,B00KTN5
Utilico,Malaysia,1,31/01/2007,B00KTN5
Utilico,Bermuda,7,31/01/2007,B00KTN5
Utilico,USA,2,31/01/2007,B00KTN5
Utilico,Cash & Fixed Interest,-2,31/01/2007,B00KTN5
Utilico Emerging Markets,Czech Republic,1,31/01/2007,B0DQY35
Utilico Emerging Markets,Hungary,1,31/01/2007,B0DQY35
Utilico Emerging Markets,Romania,1,31/01/2007,B0DQY35
Utilico Emerging Markets,UK,9,31/01/2007,B0DQY35
Utilico Emerging Markets,China,9,31/01/2007,B0DQY35
Utilico Emerging Markets,Hong Kong,4,31/01/2007,B0DQY35
Utilico Emerging Markets,Malaysia,20,31/01/2007,B0DQY35
Utilico Emerging Markets,Philippines,4,31/01/2007,B0DQY35
Utilico Emerging Markets,South Korea,1,31/01/2007,B0DQY35
Utilico Emerging Markets,Thailand,10,31/01/2007,B0DQY35
Utilico Emerging Markets,Brazil,26,31/01/2007,B0DQY35
Utilico Emerging Markets,Mexico,4,31/01/2007,B0DQY35
Utilico Emerging Markets,Israel,1,31/01/2007,B0DQY35
Utilico Emerging Markets,USA,8,31/01/2007,B0DQY35
Utilico Emerging Markets,Cash & Fixed Interest,1,31/01/2007,B0DQY35
Value and Income,UK,99,31/01/2007,848471
Value and Income,Cash & Fixed Interest,1,31/01/2007,848471
Ventus 2 VCT,Not reported,,,
Ventus 3 VCT,Not reported,,,
Ventus VCT,Not reported,,,
Vietnam Opportunity,Not reported,,,
Vinaland,Not reported,,,
Witan,Belgium,1,31/01/2007,974406
Witan,France,5,31/01/2007,974406
Witan,Germany,2,31/01/2007,974406
Witan,Italy,1,31/01/2007,974406
Witan,Netherlands,3,31/01/2007,974406
Witan,Spain,1,31/01/2007,974406
Witan,Switzerland,2,31/01/2007,974406
Witan,UK,44,31/01/2007,974406
Witan,Australia,1,31/01/2007,974406
Witan,Hong Kong,2,31/01/2007,974406
Witan,Japan,8,31/01/2007,974406
Witan,Singapore,1,31/01/2007,974406
Witan,South Korea,1,31/01/2007,974406
Witan,Taiwan,1,31/01/2007,974406
Witan,Mexico,1,31/01/2007,974406
Witan,Canada,1,31/01/2007,974406
Witan,USA,20,31/01/2007,974406
Witan,Cash & Fixed Interest,5,31/01/2007,974406
Witan Pacific,India,6,31/01/2007,365602
Witan Pacific,Australia,10,31/01/2007,365602
Witan Pacific,China,6,31/01/2007,365602
Witan Pacific,Hong Kong,8,31/01/2007,365602
Witan Pacific,Japan,41,31/01/2007,365602
Witan Pacific,Malaysia,3,31/01/2007,365602
Witan Pacific,Philippines,1,31/01/2007,365602
Witan Pacific,Singapore,7,31/01/2007,365602
Witan Pacific,South Korea,9,31/01/2007,365602
Witan Pacific,Taiwan,6,31/01/2007,365602
Witan Pacific,Thailand,2,31/01/2007,365602
Witan Pacific,Cash & Fixed Interest,1,31/01/2007,365602
World Trust Fund,Not reported,,,
Zero Preference Growth,UK,91,31/01/2007,822196
Zero Preference Growth,Cash & Fixed Interest,9,31/01/2007,822196
Zero Preference Growth Pkg Unit,Not reported,,,
