AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,,,,,,, , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
UK Growth                                                                                           ,Schroder UK Growth,Ordinary Share,31/12/2006,791348,256913308,30000000,30000000,30000000,30000000,0,0,0,30000000,134.25,4735013,0,,159925900,0,3250000,3250000,No,-2,113,,,Y,226913308,141.89,,,,141.89,144.85,,,,144.85,141.89,,,,141.89,144.85,,,,144.85,3.09,-2,102,0,0,0,0,0,-2,93,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"3,250,000 SHARES WERE BOUGHT BAK ON THE 12-12-06 TO BE HELD IN TREASURY."
Global Growth                                                                                       ,Scottish Mortgage,Ordinary Share,31/10/2006,783884,1954656704,270983631,344775765,270983631,344775765,0,0,0,270983631,512,0,0,,283836176,0,0,510000,No,5,116,,,N,1683673073,593.18,,,,593.18,,,,,,567.19,,,,567.19,,,,,,2,5,35,12,25,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Debentures - fair value is calculated using closing mid market price from the London Stock Exchange.

Short term loans (within 1 year) - Par value.

Long term loans - Yield of government bond with a similar duration + appropriate spread.",
Global Growth                                                                                       ,Scottish Mortgage,Ordinary Share,31/12/2006,783884,1990349379,268637194,338546204,268637194,338546204,0,0,0,268637194,525,0,0,,282986176,0,650000,1360000,No,5,116,,,N,1721712185,608.41,,,,608.41,,,,,,583.7,,,,583.7,,,,,,2,5,35,13,25,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Debentures - fair value is calculated using closing mid market price from the London Stock Exchange.

Short term loans (within 1 year) - Par value.

Long term loans - Yield of government bond with a similar duration + appropriate spread.","There were 2 buy backs in the period.
27/12 200,000 @526.3561p ú1,053,766
28/12 450,000 @ 525p ú2,364,864
"
Split Capital Trust                                                                                 ,Smaller Companies Value Trust,Income,31/12/2006,3152845,0,8126824,8126824,8126824,8126824,0,0,0,0,64.25,572239,0,,20317060,0,0,0,N/A,0,0,,,,10161230,50.01,,,,,52.83,,,,,50.01,,,,,52.83,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Split Capital Trust                                                                                 ,Smaller Companies Value Trust,Capital,31/12/2006,3152856,59999734,18288054,18288054,8126824,8126824,10161230,0,0,18288054,162,0,0,,20317060,0,0,0,N/A,3,144,,,N,41711680,205.3,,,,,,,,,,205.3,,,,,,,,,,1.95,3,97,0,0,0,0,0,3,0,97,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,3,0,45,52,0,0,0,,Smaller Companies Value Units,0,255.32,255.31,116,,,,,,,"Par and Fair Value are not materially different
ç",
Private Equity                                                                                      ,Standard Life European Private Equity,Ordinary Share,30/09/2006,3047468,284918535,0,0,0,0,0,0,0,0,183.5,4848048,,,159150000,0,0,0,N/A,16,100,84,,N,284918535,179.03,,,,,182.07,,,,,179.03,,,,,182.07,,,,,0,16,33,42,9,0,0,0,16,0,33,0,42,0,9,65,19,16,0,0,0,65,19,16,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,,
UK Growth                                                                                           ,SVM UK Active,Ordinary Share,31/08/2006,911544,74719736,0,0,0,0,0,0,0,0,183.75,0,0,,37427324,0,4000000,4000000,Yes,-9,100,,,,74719736,199.64,,,,198.11,,,,,,199.64,,,,198.11,,,,,,0,-9,104,0,0,0,0,5,-9,52,24,28,0,0,5,95,0,0,0,2,3,95,0,0,0,2,3,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
UK Growth                                                                                           ,SVM UK Active,Ordinary Share,30/09/2006,911544,75574451,0,0,0,0,0,0,0,0,182.25,0,0,,37427324,0,0,4000000,Yes,-8,100,,,,75574451,201.92,,,,200.02,,,,,,201.92,,,,200.02,,,,,,0,-8,104,0,0,0,0,4,-8,56,20,28,0,0,4,96,0,0,0,2,2,96,0,0,0,2,2,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
UK Growth                                                                                           ,SVM UK Active,Ordinary Share,31/10/2006,911544,79107550,0,0,0,0,0,0,0,0,193.75,0,0,,37427324,0,0,4000000,Yes,-11,100,,,,79107550,211.36,,,,209.66,,,,,,211.36,,,,209.66,,,,,,0,-11,107,0,0,0,0,4,-11,57,19,31,0,0,4,96,0,0,0,1,3,96,0,0,0,1,3,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
UK Growth                                                                                           ,SVM UK Active,Ordinary Share,30/11/2006,911544,79902099,0,0,0,0,0,0,0,0,198.5,0,0,,37427324,0,0,4000000,Yes,-7,100,,,,79902099,213.49,,,,212.04,,,,,,213.49,,,,212.04,,,,,,0,-7,103,0,0,0,0,4,-7,54,20,29,0,0,4,96,0,0,0,1,3,96,0,0,0,1,3,,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,,
UK Growth                                                                                           ,SVM UK Active,Ordinary Share,31/12/2006,911544,84899184,0,0,0,0,0,0,0,0,209,0,0,,37427324,0,0,4000000,Yes,-4,100,,,,84899184,226.84,,,,225.12,,,,,,226.84,,,,225.12,,,,,,0,-4,98,0,0,0,0,6,-4,50,22,26,0,0,6,94,0,0,0,1,5,94,0,0,0,1,5,,0,0,0,0,0,0,0,,,,,,,,,,,,
Country Specialists: Europe                                                                         ,Ukraine Opportunity,Ordinary Share,31/12/2006,B0HW611,31909449,0,0,0,0,0,0,0,0,549.27,893078,0,,6180000,0,0,0,N/A,65,100,,,N,31909449,516.33,515.44,,,,530.79,527.48,,,,516.33,515.44,,,,530.79,527.48,,,,5.28,65,0,0,27,0,0,8,0,0,0,0,0,0,0,0,0,30,0,0,70,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied
