security_id,company_name,obs_month,nav_total_return,nav_tr_cagr_3y,nav_tr_cagr_5y,nav_tr_cagr_10y
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-05,0.03710011418397152,0.2602268445681821,0.24773746953411363,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-06,-0.06821489885795329,0.21927873797396397,0.24699466557250824,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-07,-0.005847894657788011,0.20792386197877563,0.25682998567220955,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-08,-0.08341978827771668,0.15196921877459035,0.22869478704051915,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-09,0.015340827921185962,0.11817765858438556,0.2572163428003229,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-10,0.021776070133665337,0.1383234786247755,0.3167274191891421,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-11,-0.04706218818519825,0.11373678842634445,0.2989928255411656,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2013-12,-0.014316837846249597,0.098007202082205,0.2547280007201822,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-01,-0.05733231088456858,0.09769717358918238,0.2472475782049762,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-02,0.01484591826969095,0.1197988450255963,0.263964937898965,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-03,0.027300696662855284,0.10689704735366912,0.26576840206363017,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-04,0.015387439901777489,0.11310596777485007,0.25268481322518754,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-05,0.030082495197197412,0.11380398425654446,0.22992632227988719,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-06,4.3882745304424375e-05,0.0993147724893159,0.23085057856262065,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-07,0.04487910834174391,0.11514104450240512,0.21743591701459933,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-08,0.03535019475679024,0.1417847307530334,0.21543810223690923,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-09,0.003904110978157238,0.17171526057089145,0.1975626372858991,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-10,0.008252608612208112,0.18085651886024146,0.19971189831762742,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-11,-0.015859180892842772,0.18106530149451008,0.18683096188593576,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2014-12,-0.022762208219233915,0.1658695684754576,0.1675005680338649,
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,2015-01,0.036584476598227056,0.15316813090484632,0.1782945164845245,
