file,publication_type,rows_parsed,rows_with_price,rows_with_nav
2010-05_mir_ErrataAdditional1005.csv,mir,30,30.0,30.0
2010-05_mir_MIR1005.csv,mir,426,209.0,207.0
2010-05_mir_PostMIRErrataAdditional1005.csv,mir,7,7.0,5.0
2010-06_mir_ErrataAdditional1006.csv,mir,18,18.0,18.0
2010-06_mir_MIR1006.csv,mir,430,207.0,204.0
2010-06_mir_PostMIRErrataAdditional1006.csv,mir,1,1.0,1.0
2010-07_mir_ErrataAdditional1007.csv,mir,23,23.0,23.0
2010-07_mir_MIR1007.csv,mir,433,209.0,207.0
2010-07_mir_PostMIRErrataAdditional1007.csv,mir,6,6.0,6.0
2010-08_mir_ErrataAdditional1008.csv,mir,30,30.0,30.0
2010-08_mir_MIR1008.csv,mir,434,217.0,215.0
2010-08_mir_PostMIRErrataAdditional1008.csv,mir,2,2.0,2.0
2010-09_mir_ErrataAdditional1009.csv,mir,6,6.0,6.0
2010-09_mir_MIR1009.csv,mir,426,210.0,207.0
2010-09_mir_PostMIRErrataAdditional1009.csv,mir,5,5.0,5.0
2010-10_mir_ErrataAdditional1010.csv,mir,12,12.0,12.0
2010-10_mir_MIR1010.csv,mir,423,209.0,207.0
2010-10_mir_PostMIRErrataAdditional1010.csv,mir,3,3.0,3.0
2010-11_mir_ErrataAdditional1011.csv,mir,28,28.0,28.0
2010-11_mir_MIR1011.csv,mir,423,211.0,208.0
2010-11_mir_PostMIRErrataAdditional1011.csv,mir,4,4.0,4.0
2010-12_mir_ErrataAdditional1012.csv,mir,12,12.0,12.0
2010-12_mir_MIR1012.csv,mir,426,206.0,204.0
2010-12_mir_PostMIRErrataAdditional1012.csv,mir,2,2.0,2.0
2011-01_mir_ErrataAdditional1101.csv,mir,9,9.0,9.0
2011-01_mir_MIR1101.CSV,mir,426,206.0,204.0
2011-01_mir_PostMIRErrataAdditional1101.csv,mir,5,5.0,5.0
2011-02_mir_ErrataAdditional1102.csv,mir,26,26.0,26.0
2011-02_mir_MIR1102.CSV,mir,426,214.0,211.0
2011-02_mir_PostMIRErrataAdditional1102.csv,mir,4,4.0,4.0
2011-03_mir_ErrataAdditional1103.csv,mir,12,12.0,12.0
2011-03_mir_MIR1103.CSV,mir,421,207.0,205.0
2011-03_mir_PostMIRErrataAdditional1103.csv,mir,2,2.0,2.0
2011-04_mir_ErrataAdditional1104.csv,mir,9,9.0,9.0
2011-04_mir_MIR1104.CSV,mir,431,206.0,204.0
2011-04_mir_PostMIRErrataAdditional1104.csv,mir,1,1.0,1.0
2011-05_mir_ErrataAdditional1105.csv,mir,30,30.0,30.0
2011-05_mir_MIR1105.CSV,mir,431,203.0,201.0
2011-05_mir_PostMIRErrataAdditional1105.csv,mir,1,1.0,1.0
2011-06_mir_ErrataAdditional1106.csv,mir,21,21.0,21.0
2011-06_mir_MIR1106.csv,mir,430,198.0,197.0
2011-06_mir_PostMIRErrataAdditional1106.csv,mir,3,3.0,3.0
2011-07_mir_ErrataAdditional1107.csv,mir,20,20.0,20.0
2011-07_mir_MIR1107.csv,mir,432,201.0,200.0
2011-07_mir_PostMIRErrataAdditional1107.csv,mir,6,6.0,6.0
2011-08_mir_ErrataAdditional1108.csv,mir,23,23.0,23.0
2011-08_mir_MIR1108.csv,mir,428,206.0,204.0
2011-08_mir_PostMIRErrataAdditional1108.csv,mir,19,19.0,19.0
2011-09_mir_ErrataAdditional1109.csv,mir,32,32.0,31.0
2011-09_mir_MIR1109.csv,mir,427,197.0,196.0
2011-09_mir_PostMIRErrataAdditional1109.csv,mir,2,2.0,2.0
2011-10_mir_ErrataAdditional1110.csv,mir,7,7.0,7.0
2011-10_mir_MIR1110.csv,mir,428,193.0,192.0
2011-10_mir_PostMIRErrataAdditional1110.csv,mir,16,16.0,16.0
2011-11_mir_ErrataAdditional1111.csv,mir,24,24.0,24.0
2011-11_mir_MIR1111.csv,mir,419,199.0,197.0
2011-11_mir_PostMIRErrataAdditional1111.csv,mir,8,8.0,8.0
2011-12_mir_ErrataAdditional1112.csv,mir,29,29.0,29.0
2011-12_mir_MIR1112.csv,mir,420,192.0,191.0
2011-12_mir_PostMIRErrataAdditional1112.csv,mir,8,8.0,8.0
2012-01_mir_ErrataAdditional1201.csv,mir,18,18.0,18.0
2012-01_mir_MIR1201.CSV,mir,424,192.0,191.0
2012-01_mir_PostMIRErrataAdditional1201.csv,mir,1,1.0,1.0
2012-02_mir_ErrataAdditional1202.csv,mir,1,1.0,1.0
2012-02_mir_MIR1202.CSV,mir,424,201.0,199.0
2012-02_mir_PostMIRErrataAdditional1202.csv,mir,3,3.0,3.0
2012-03_mir_ErrataAdditional1203.csv,mir,37,37.0,37.0
2012-03_mir_MIR1203.CSV,mir,429,193.0,192.0
2012-03_mir_PostMIRErrataAdditional1203.csv,mir,6,6.0,6.0
2012-04_mir_ErrataAdditional1204.CSV,mir,17,17.0,17.0
2012-04_mir_MIR1204.CSV,mir,427,188.0,187.0
2012-04_mir_PostMIRErrataAdditional1204.csv,mir,6,6.0,6.0
2012-05_mir_ErrataAdditional1205.CSV,mir,40,40.0,40.0
2012-05_mir_MIR1205.CSV,mir,425,193.0,191.0
2012-05_mir_PostMIRErrataAdditional1205.csv,mir,31,31.0,30.0
2012-06_mir_ErrataAdditional1206.CSV,mir,49,49.0,48.0
2012-06_mir_MIR1206.CSV,mir,424,188.0,186.0
2012-06_mir_PostMIRErrataAdditional1206.csv,mir,2,2.0,2.0
2012-07_mir_ErrataAdditional1207.CSV,mir,18,18.0,18.0
2012-07_mir_MIR1207.CSV,mir,421,188.0,187.0
2012-08_mir_ErrataAdditional1208.csv,mir,23,23.0,23.0
2012-08_mir_MIR1208.csv,mir,420,196.0,194.0
2012-08_mir_PostMIRErrataAdditional1208.csv,mir,4,4.0,4.0
2012-09_mir_ErrataAdditional1209.csv,mir,10,10.0,10.0
2012-09_mir_MIR1209.csv,mir,416,185.0,184.0
2012-09_mir_PostMIRErrataAdditional1209.csv,mir,26,26.0,25.0
2012-10_mir_ErrataAdditional1210.csv,mir,35,35.0,34.0
2012-10_mir_MIR1210.csv,mir,411,188.0,187.0
2012-10_mir_PostMIRErrataAdditional1210.csv,mir,24,24.0,23.0
2012-11_mir_ErrataAdditional1211.csv,mir,50,50.0,49.0
2012-11_mir_MIR1211.CSV,mir,408,197.0,195.0
2012-12_mir_ErrataAdditional1212.csv,mir,14,14.0,14.0
2012-12_mir_MIR1212.CSV,mir,412,412.0,189.0
2012-12_mir_PostMIRErrataAdditional1212.csv,mir,8,8.0,8.0
2013-01_mir_ErrataAdditional1301.csv,mir,10,10.0,10.0
2013-01_mir_MIR1301.CSV,mir,410,190.0,189.0
2013-01_mir_PostMIRErrataAdditional1301.csv,mir,15,15.0,15.0
2013-02_mir_ErrataAdditional1302.csv,mir,38,38.0,38.0
2013-02_mir_MIR1302.CSV,mir,409,195.0,193.0
2013-02_mir_PostMIRErrataAdditional1302.csv,mir,1,1.0,1.0
2013-03_mir_ErrataAdditional1303.csv,mir,64,64.0,64.0
2013-03_mir_MIR1303.CSV,mir,406,188.0,187.0
2013-04_mir_ErrataAdditional1304.csv,mir,10,10.0,10.0
2013-04_mir_MIR1304.CSV,mir,409,187.0,186.0
2013-04_mir_PostMIRErrataAdditional1304.csv,mir,2,2.0,2.0
2013-05_mir_ErrataAdditional1305.csv,mir,32,32.0,32.0
2013-05_mir_MIR1305.CSV,mir,410,197.0,197.0
2013-05_mir_PostMIRErrataAdditional1305.csv,mir,4,4.0,4.0
2013-06_mir_ErrataAdditional1306.csv,mir,9,9.0,9.0
2013-06_mir_MIR1306.csv,mir,413,188.0,187.0
2013-06_mir_PostMIRErrataAdditional1306.csv,mir,4,4.0,4.0
2013-07_mir_ErrataAdditional1307.csv,mir,17,17.0,17.0
2013-07_mir_MIR1307.CSV,mir,415,190.0,190.0
2013-07_mir_PostMIRErrataAdditional1307_0.csv,mir,1,1.0,1.0
2013-08_mir_ErrataAdditional1308.csv,mir,33,33.0,33.0
2013-08_mir_MIR1308.csv,mir,413,200.0,198.0
2013-08_mir_PostMIRErrataAdditional1308.csv,mir,3,3.0,3.0
2013-09_mir_ErrataAdditional1309.csv,mir,43,43.0,43.0
2013-09_mir_MIR1309.csv,mir,417,187.0,186.0
2013-09_mir_PostMIRErrataAdditional1309.csv,mir,3,3.0,3.0
2013-10_mir_ErrataAdditional1310.csv,mir,6,6.0,6.0
2013-10_mir_MIR1310.csv,mir,419,189.0,189.0
2013-10_mir_PostMIRErrataAdditional1310.csv,mir,3,3.0,3.0
2013-11_mir_ErrataAdditional1311.csv,mir,35,35.0,35.0
2013-11_mir_MIR1311.csv,mir,412,199.0,199.0
2013-11_mir_PostMIRErrataAdditional1311.csv,mir,1,1.0,1.0
2013-12_mir_ErrataAdditional1312.csv,mir,13,13.0,13.0
2013-12_mir_MIR1312.csv,mir,411,190.0,190.0
2014-01_mir_ErrataAdditional1401.csv,mir,5,5.0,5.0
2014-01_mir_MIR1401.csv,mir,410,194.0,194.0
2014-01_mir_PostMIRErrataAdditional1401.csv,mir,83,83.0,83.0
2014-02_mir_ErrataAdditional1402.csv,mir,22,22.0,21.0
2014-02_mir_MIR1402.csv,mir,411,204.0,204.0
2014-02_mir_PostMIRErrataAdditional1402.csv,mir,23,23.0,23.0
2014-03_mir_ErrataAdditional1403.csv,mir,41,41.0,41.0
2014-03_mir_MIR1403.csv,mir,417,198.0,198.0
2014-03_mir_PostMIRErrataAdditional1403.csv,mir,12,12.0,12.0
2014-04_mir_ErrataAdditional1404.csv,mir,21,20.0,20.0
2014-04_mir_MIR1404.csv,mir,424,199.0,199.0
2014-04_mir_PostMIRErrataAdditional1404_0.csv,mir,6,5.0,5.0
2014-05_mir_ErrataAdditional1405.csv,mir,21,21.0,21.0
2014-05_mir_MIR1405.csv,mir,421,203.0,203.0
2014-05_mir_PostMIRErrataAdditional1405.csv,mir,28,28.0,28.0
2014-06_mir_ErrataAdditional1406.csv,mir,30,30.0,30.0
2014-06_mir_MIR1406.csv,mir,426,199.0,199.0
