name,months,start,end,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,best_month,worst_month,pct_positive_months,t_stat_mean,alpha_annual_vs_benchmark,beta_vs_benchmark,alpha_t_stat,information_ratio,overlap_months,strategy,period,basis,avg_monthly_one_way_turnover,avg_holdings,median_holdings,avg_missing_return_weight
B_absolute_discount_quintile|development|gross,119,2007-02-28 00:00:00,2016-12-31 00:00:00,9.630040584646563,0.2691592712455855,0.6627981535643389,0.5252851630364864,3.210328562785825,-0.4510185610548646,0.5967809187632155,2.011255272569237,-0.1910202822789161,0.6554621848739496,1.6541618169092445,0.06894225309696599,2.8399040664641304,0.5450449405651504,0.47761591282437493,119.0,B_absolute_discount_quintile,development,gross,,,,
B_absolute_discount_quintile|development|net,119,2007-02-28 00:00:00,2016-12-31 00:00:00,5.825552363175263,0.21370945844239753,0.6625116382377553,0.4570613672754115,2.6628198493892707,-0.48828790809725187,0.43767100290313393,2.0068492764523724,-0.196370941508486,0.6050420168067226,1.4393200397301196,0.023830929923883335,2.837480949783133,0.18833731996489306,0.3910702750596039,119.0,B_absolute_discount_quintile,development,net_headline,,,,
B_absolute_discount_quintile|validation|gross,53,2017-02-28 00:00:00,2021-12-31 00:00:00,22.588092027358645,1.0454947674022455,6.0333179757228645,0.4986774874447565,27.822637466358685,-0.2832629569284002,3.6908983043148598,12.686900033935284,-0.1826326291615719,0.6792452830188679,1.0480139762770107,3.1061559954675015,-0.00021291002691550652,1.0522019102760671,-0.6612953611415713,53.0,B_absolute_discount_quintile,validation,gross,,,,
B_absolute_discount_quintile|validation|net,53,2017-02-28 00:00:00,2021-12-31 00:00:00,18.003078736210362,0.9478030848239656,6.033230727954774,0.4903538337543428,26.15303897442571,-0.2908315594890716,3.2589416584948743,12.682551648620707,-0.18635438528662251,0.6415094339622641,1.0305210963679101,3.055634915706319,-0.00021234420718164396,1.0351013906410915,-0.6613688155999896,53.0,B_absolute_discount_quintile,validation,net_headline,,,,
B_absolute_discount_quintile|holdout|gross,54,2022-02-28 00:00:00,2026-07-31 00:00:00,20.990330321558364,0.9873470884891575,5.036790390502552,0.501151036489176,38.12860797143977,-0.08953115852102622,11.027971767586152,10.694402576575648,-0.08252696403801536,0.6851851851851852,1.06310188890049,-0.13839327439604665,4.997874046802083,-0.5971491261246274,0.4930133209042054,54.0,B_absolute_discount_quintile,holdout,gross,,,,
B_absolute_discount_quintile|holdout|net,54,2022-02-28 00:00:00,2026-07-31 00:00:00,16.378220902709618,0.8860653493622888,5.0369146759944465,0.49047463639977534,34.19263042842499,-0.09743975927830717,9.093468168691913,10.690215895737605,-0.08539937992981284,0.6296296296296297,1.0404538241948622,-0.19214261767912127,4.997940706976386,-0.8280318085836915,0.4796992176946878,54.0,B_absolute_discount_quintile,holdout,net_headline,0.2787271338956197,34.05531914893617,36.0,0.058808972626453786
C_discount_zscore|full|gross,205,2009-01-31 00:00:00,2026-07-31 00:00:00,6672.313958480824,0.6744180463703373,5.432225374123667,0.3286444531076013,26.780721949462098,-0.1827603110313183,3.6901778212380436,22.1083344837239,-0.09984365751557489,0.7365853658536585,1.3583528994849747,1.7966917534334361,-9.631397900852168e-05,1.3572788908029756,-0.3317724553319315,205.0,C_discount_zscore,full,gross,,,,
C_discount_zscore|full|net,205,2009-01-31 00:00:00,2026-07-31 00:00:00,1314.2933443298955,0.5225688276153189,5.432360072569684,0.3106810247180883,21.592890350564527,-0.20221488713085034,2.5842253012616827,22.101470059704635,-0.1102896124756277,0.6048780487804878,1.2841064766202115,1.6991663797007421,-9.643347125093406e-05,1.283573311553459,-0.33204948642793847,205.0,C_discount_zscore,full,net_headline,,,,
C_discount_zscore|development|gross,96,2009-01-31 00:00:00,2016-12-31 00:00:00,33.91055425461593,0.5590842812447039,1.452919222508207,0.5275410473430587,12.370009742774505,-0.12879982731404238,4.340722289025536,4.110356402486546,-0.06915746845730507,0.75,1.4921114077221216,-0.3074132075595453,6.44443519685839,-0.9394411331710736,0.45569112481729884,96.0,C_discount_zscore,development,gross,,,,
C_discount_zscore|development|net,96,2009-01-31 00:00:00,2016-12-31 00:00:00,15.232347039305417,0.4167644958531236,1.451677411353828,0.4601213733283238,9.209725768619972,-0.16696518743852873,2.4961161200538466,4.099019678454885,-0.07710760957602804,0.6145833333333334,1.3014197729972992,-0.40422430451355085,6.434139661979457,-1.2348133183466616,0.38116595615081583,96.0,C_discount_zscore,development,net_headline,,,,
C_discount_zscore|validation|gross,53,2017-02-28 00:00:00,2021-12-31 00:00:00,65.80088127421828,1.5891560841535761,10.510887859248035,0.5006870558864852,71.38059746257548,-0.18276031103131818,8.695301924066298,22.1083344837239,-0.09984365751557489,0.7358490566037735,1.0522372585912145,5.439191643028444,-0.0003855731673695416,1.0576386276183347,-0.6578531039984588,53.0,C_discount_zscore,validation,gross,,,,
C_discount_zscore|validation|net,53,2017-02-28 00:00:00,2021-12-31 00:00:00,42.46491191530549,1.3490883541414735,10.511608861684756,0.49111231847198106,59.98813987583635,-0.20221488713085034,6.671558030584058,22.101470059704635,-0.1102896124756277,0.6037735849056604,1.0321151177642849,5.338857892069823,-0.0003854664615671735,1.0380575200254976,-0.6579989386857172,53.0,C_discount_zscore,validation,net_headline,,,,
C_discount_zscore|holdout|gross,54,2022-02-28 00:00:00,2026-07-31 00:00:00,1.8461739427352555,0.26167351448564324,0.17097318996987554,1.4521795603436702,3.6478582659917533,-0.10334667797671138,2.5319973472646113,0.22015503875969,-0.07059811698841238,0.7222222222222222,3.080538043858526,0.25479509018775165,-0.012222233943142289,3.1025179030946206,-0.2762666491112979,54.0,C_discount_zscore,holdout,gross,,,,
C_discount_zscore|holdout|net,54,2022-02-28 00:00:00,2026-07-31 00:00:00,0.8898999104195022,0.15194261646607243,0.16999339788188586,0.9165948616636613,1.9466674704001787,-0.12208737213871379,1.2445399864405107,0.21276099242005878,-0.0762742735567629,0.5925925925925926,1.9443913268493611,0.16303879500234453,-0.013559465367836337,1.997953471085542,-0.36566565763911163,54.0,C_discount_zscore,holdout,net_headline,0.542763768194296,16.40566037735849,17.0,0.049757176092497954
D_sector_neutral_zscore|full|gross,203,2009-01-31 00:00:00,2026-07-31 00:00:00,1681.1384888617954,0.5512840774067487,5.745979544765153,0.29388840652237674,25.14794536982044,-0.19514539288479438,2.8249915063698356,23.60774922381442,-0.10921386538896598,0.729064039408867,1.2087593599815867,1.6964845145323433,-6.520683085282802e-05,1.205576346252263,-0.3337070596017545,203.0,D_sector_neutral_zscore,full,gross,,,,
D_sector_neutral_zscore|full|net,203,2009-01-31 00:00:00,2026-07-31 00:00:00,348.8227628581606,0.41375858474573746,5.745336042556357,0.27739490415641654,20.432832668023636,-0.21886013815429584,1.8905159625460837,23.59737643508118,-0.11846934184948955,0.6059113300492611,1.1409217899336686,1.6016095849995797,-6.58323787394856e-05,1.138282833330596,-0.33397526879290246,203.0,D_sector_neutral_zscore,full,net_headline,,,,
D_sector_neutral_zscore|development|gross,96,2009-01-31 00:00:00,2016-12-31 00:00:00,16.383700687395894,0.4289524568030372,0.522017277862603,0.8380329188374527,8.084251457250009,-0.12430676761769355,3.4507570667615126,1.4453414727332485,-0.06836859022886406,0.75,2.3703150390700736,0.00793148638482833,2.5776605530313415,0.0871335597681077,0.7230693435580734,96.0,D_sector_neutral_zscore,development,gross,,,,
D_sector_neutral_zscore|development|net,96,2009-01-31 00:00:00,2016-12-31 00:00:00,7.058362186943214,0.2980183971715138,0.5210556624101715,0.6504355773632426,5.266632587903683,-0.14812476939656471,2.0119416785294613,1.4354279421609137,-0.0736004174121675,0.65625,1.8397096299141444,-0.08946489946496858,2.5707105377665793,-0.9817542694302375,0.46086747978970893,96.0,D_sector_neutral_zscore,development,net_headline,,,,
D_sector_neutral_zscore|validation|gross,51,2017-02-28 00:00:00,2021-12-31 00:00:00,47.50024945710309,1.4925601105859987,11.445281560408462,0.5002335517894151,66.93054817876353,-0.19514539288479427,7.648451692975115,23.60774922381442,-0.10921386538896598,0.7254901960784313,1.0312578857528205,5.915458371511525,-0.0003996840736043805,1.0350316045683983,-0.6704181795617147,51.0,D_sector_neutral_zscore,validation,gross,,,,
D_sector_neutral_zscore|validation|net,51,2017-02-28 00:00:00,2021-12-31 00:00:00,30.935401783326913,1.2591571568698074,11.444335805413136,0.4914100044156779,57.8098100850386,-0.21886013815429572,5.753250306285128,23.59737643508118,-0.11846934184948955,0.5686274509803921,1.0130676768455404,5.814055771542011,-0.0003997894628106578,1.0173734050724432,-0.6705628345003373,51.0,D_sector_neutral_zscore,validation,net_headline,,,,
D_sector_neutral_zscore|holdout|gross,54,2022-02-28 00:00:00,2026-07-31 00:00:00,0.9829578937915748,0.16431278135419403,0.1326199023257084,1.2186608325974138,2.369536377494266,-0.10525154408634718,1.5611436656871625,0.09259305524572349,-0.06963612069471188,0.7037037037037037,2.5851700160882265,0.16174828180454479,-0.00024327122602793469,2.5325809612636205,-0.36667139338668064,54.0,D_sector_neutral_zscore,holdout,gross,,,,
D_sector_neutral_zscore|holdout|net,54,2022-02-28 00:00:00,2026-07-31 00:00:00,0.37375140198963863,0.07311497474103712,0.13311483582716258,0.5965434657971276,1.0024256332166794,-0.12859979432042357,0.5685465915976614,0.08350495156645474,-0.07519332029174985,0.5555555555555556,1.2654597898130229,0.0802946526023556,-0.0016628391099565622,1.2526389033919518,-0.44724281591156384,54.0,D_sector_neutral_zscore,holdout,net_headline,0.525591403090262,21.830188679245282,21.0,0.05639048910847909
E_discount_overshoot|full|gross,202,2009-01-31 00:00:00,2026-07-31 00:00:00,10129.724169355806,0.7296524288326411,5.471930284984744,0.33577551299302394,27.39421062717648,-0.19321294443215464,3.7764158658057894,22.107468965761452,-0.1064793502759552,0.7574257425742574,1.3776347307189576,1.848330956639969,-9.132780035945097e-05,1.3758265783699748,-0.3341733828235602,202.0,E_discount_overshoot,full,gross,,,,
E_discount_overshoot|full|net,202,2009-01-31 00:00:00,2026-07-31 00:00:00,1714.748157216541,0.5564879216937693,5.471546557694364,0.3159749449074764,21.894306169578343,-0.213106727461004,2.6113109066235363,22.097065091955987,-0.11522860157432613,0.6485148514851485,1.296396078026668,1.7399295219857365,-9.188571508598212e-05,1.2952278245231865,-0.33447906901687285,202.0,E_discount_overshoot,full,net_headline,,,,
E_discount_overshoot|development|gross,96,2009-01-31 00:00:00,2016-12-31 00:00:00,42.49021576713635,0.602503347105247,1.4572642706870609,0.5466519806307046,12.60387119633186,-0.14538753475364863,4.144119701363371,4.123433397573468,-0.07270627284235318,0.7708333333333334,1.546165289812114,-0.28297080464718294,6.4786378932044615,-0.8655239787910404,0.4771504472868152,96.0,E_discount_overshoot,development,gross,,,,
E_discount_overshoot|development|net,96,2009-01-31 00:00:00,2016-12-31 00:00:00,17.56523519898161,0.4407464460014785,1.4569578101851584,0.47171019188290114,9.158926493736452,-0.18087376825766344,2.4367626673958265,4.113718824623611,-0.08229235993793216,0.65625,1.3341979017408276,-0.3915842857360511,6.474190704593341,-1.1970271271964674,0.39439350033538617,96.0,E_discount_overshoot,development,net_headline,,,,
E_discount_overshoot|validation|gross,50,2017-02-28 00:00:00,2021-12-31 00:00:00,70.10519033374295,1.7826354446590096,10.819853425749292,0.5169253163875647,73.44682483573122,-0.19321294443215453,9.226273373650544,22.107468965761452,-0.1064793502759552,0.78,1.055169383563574,5.789226042303557,-0.0004042197120269686,1.0603514862269445,-0.6776540659670418,50.0,E_discount_overshoot,validation,gross,,,,
E_discount_overshoot|validation|net,50,2017-02-28 00:00:00,2021-12-31 00:00:00,44.812156198217366,1.5040060616424817,10.819218057498501,0.5068004042847708,63.72521864246255,-0.2131067274610039,7.05752502307886,22.097065091955987,-0.11522860157432613,0.64,1.0345019932782615,5.679574482733419,-0.0004046740864359645,1.0403297179023325,-0.6778089758325219,50.0,E_discount_overshoot,validation,net_headline,,,,
E_discount_overshoot|holdout|gross,54,2022-02-28 00:00:00,2026-07-31 00:00:00,2.2412848042904456,0.2986517634643351,0.15435487380601698,1.7852841811743172,4.204405133706224,-0.06858298780652294,4.3546041520799745,0.14074074074074083,-0.056394820096654696,0.7222222222222222,3.7871596525602986,0.28834607189852857,-0.023986688132160525,3.927062078214196,-0.24764402677064853,54.0,E_discount_overshoot,holdout,gross,,,,
E_discount_overshoot|holdout|net,54,2022-02-28 00:00:00,2026-07-31 00:00:00,1.0378786805262163,0.17140289942838072,0.15324275805794949,1.1130734380545797,2.150923634279444,-0.09203194395542569,1.8624283271838438,0.1270299578607336,-0.06933318409568366,0.6481481481481481,2.3611853280210537,0.18443344895228053,-0.026021903082041224,2.5362136950507717,-0.3481437003541361,54.0,E_discount_overshoot,holdout,net_headline,0.5958312719685561,16.235849056603772,17.0,0.06480341168881679
BM_equal_weight_universe|full|gross,234,2007-02-28 00:00:00,2026-07-31 00:00:00,41506511.82156869,1.4585136736962339,329.5237570851552,0.3152133190974694,1058.5824772234298,-0.4472996261588088,3.2607084567032585,1218.4707171823288,-0.1729192054783511,0.5982905982905983,1.3919443280751713,,,,,,BM_equal_weight_universe,full,gross,,,,
BM_equal_weight_universe|full|net,234,2007-02-28 00:00:00,2026-07-31 00:00:00,30473636.209531568,1.4198641711647784,329.5240643974781,0.31516455284882766,1037.1593380664813,-0.45479172548724267,3.122009683979193,1218.4703478615206,-0.17367103555020502,0.5854700854700855,1.3917289821519956,,,,,,BM_equal_weight_universe,full,net_headline,,,,
