signal_month,holding_month,gross_return,buy_turnover,sell_turnover,n_holdings,missing_return_weight,n_missing_return,rebalanced,cost,net_return,strategy
2020-03,2020-04,0.172677759299075,0.7759694458782131,0.7759694458782133,22,0.0,0,True,0.011394676696605256,0.16128308260246974,D_sector_neutral_zscore
2020-04,2020-05,0.04538445861240081,0.7841377579128729,0.7841377579128725,23,0.0,0,True,0.011514623783808667,0.03386983482859215,D_sector_neutral_zscore
2020-05,2020-06,0.03405820336275936,0.6042496130113306,0.6042496130113304,23,0.0,0,True,0.008873067130266333,0.02518513623249303,D_sector_neutral_zscore
2020-06,2020-07,-0.009600425891999368,0.6335206452494717,0.6335206452494717,22,0.0,0,True,0.009302895844143136,-0.018903321736142502,D_sector_neutral_zscore
2020-07,2020-08,0.05072988201502824,0.6138587863840099,0.6138587863840099,22,0.0,0,True,0.009014172459200241,0.041715709555828,D_sector_neutral_zscore
2020-08,2020-09,-0.004332348525661797,0.5280276968901367,0.528027696890137,22,0.0,0,True,0.007753790983492532,-0.012086139509154329,D_sector_neutral_zscore
2020-09,2020-10,0.02148911339879435,0.4658725554834424,0.4658725554834425,23,0.0,0,True,0.006841077544679863,0.014648035854114486,D_sector_neutral_zscore
2020-10,2020-11,0.15515113888833038,0.6258115544435428,0.6258115544435426,23,0.0,0,True,0.00918969216347641,0.14596144672485398,D_sector_neutral_zscore
2020-11,2020-12,0.0748595859883084,0.630933014166704,0.6309330141667038,22,0.0,0,True,0.009264897931010286,0.06559468805729811,D_sector_neutral_zscore
2020-12,2021-01,0.019270328598812725,0.601401772837586,0.6014017728375861,22,0.0,0,True,0.008831248192374136,0.01043908040643859,D_sector_neutral_zscore
2021-01,2021-02,0.017304431796825448,0.6479634966633648,0.6479634966633648,23,0.0,0,True,0.009514981027796422,0.007789450769029026,D_sector_neutral_zscore
2021-02,2021-03,0.05274905307867356,0.5024040657361935,0.5024040657361936,24,0.0,0,True,0.0073775223116483695,0.04537153076702519,D_sector_neutral_zscore
2021-03,2021-04,0.06959224601579578,0.5758454777515105,0.5758454777515103,25,0.0,0,True,0.008455968312972057,0.06113627770282372,D_sector_neutral_zscore
2021-04,2021-05,0.009412644283019278,0.48350729614407856,0.4835072961440785,25,0.0,0,True,0.007100033834162382,0.0023126104488568958,D_sector_neutral_zscore
2021-05,2021-06,0.025424027689909215,0.4734120600136118,0.47341206001361197,25,0.0,0,True,0.006951790945871377,0.018472236744037838,D_sector_neutral_zscore
2021-06,2021-07,0.006299372363013775,0.6128653405634278,0.6128653405634277,25,0.0,0,True,0.008999584263748401,-0.002700211900734626,D_sector_neutral_zscore
2021-07,2021-08,0.03856913257934322,0.39655394194923854,0.39655394194923854,25,0.0,0,True,0.005823172529895111,0.03274596004944811,D_sector_neutral_zscore
2021-08,2021-09,-0.0020110826306970766,0.5344301965650354,0.5344301965650354,25,0.0,0,True,0.00784780810521441,-0.009858890735911487,D_sector_neutral_zscore
2021-09,2021-10,0.02996325184955702,0.5858230315808971,0.5858230315808971,25,0.07643312101910828,1,True,0.008602483102584895,0.021360768746972125,D_sector_neutral_zscore
2021-10,2021-11,-0.0075296775753854964,0.3999855062198208,0.39998550621982093,24,0.0,0,True,0.005873563129208791,-0.013403240704594288,D_sector_neutral_zscore
2021-11,2021-12,0.04087143903305572,0.6163627519739733,0.6163627519739733,25,0.0,0,True,0.00905094179143183,0.03182049724162389,D_sector_neutral_zscore
2021-12,2022-01,-0.025042581729600794,0.4550005924379405,0.4550005924379405,25,0.0,0,True,0.006681428856681937,-0.03172401058628273,D_sector_neutral_zscore
2022-01,2022-02,-0.016756918460310112,0.5696842162432422,0.5696842162432421,25,0.01875,1,True,0.008365493638611008,-0.025122412098921118,D_sector_neutral_zscore
2022-02,2022-03,0.02861627809447858,0.5590192969212407,0.5590192969212409,25,0.0,0,True,0.008208885271728665,0.020407392822749913,D_sector_neutral_zscore
2022-03,2022-04,-0.026871162075929204,0.4493376289950043,0.44933762899500407,25,0.0,0,True,0.006598271410316348,-0.03346943348624555,D_sector_neutral_zscore
2022-04,2022-05,-0.026155658302061638,0.46394280431164225,0.46394280431164225,25,0.0,0,True,0.006812740229564741,-0.03296839853162638,D_sector_neutral_zscore
2022-05,2022-06,-0.05345438439860308,0.3057356800509969,0.305735680050997,25,0.0,0,True,0.004489557220716425,-0.057943941619319504,D_sector_neutral_zscore
2022-06,2022-07,0.08531813761521523,0.4404437012924449,0.4404437012924448,25,0.0,0,True,0.0064676690634430795,0.07885046855177215,D_sector_neutral_zscore
2022-07,2022-08,0.02128520952156654,0.5866511588128986,0.5866511588128986,25,0.0,0,True,0.00861464368715744,0.012670565834409099,D_sector_neutral_zscore
2022-08,2022-09,-0.06701678058424401,0.7161580616185451,0.7161580616185451,25,0.0,0,True,0.010516380018771492,-0.0775331606030155,D_sector_neutral_zscore
2022-09,2022-10,0.005921520972980793,0.35447653024754955,0.3544765302475495,25,0.025477707006369428,1,True,0.005205289306377118,0.0007162316666036745,D_sector_neutral_zscore
2022-10,2022-11,0.0932406116162725,0.702431570665242,0.702431570665242,25,0.0,0,True,0.010314814187252509,0.08292579742902,D_sector_neutral_zscore
2022-11,2022-12,0.004044414056081404,0.6421934056543619,0.6421934056543619,24,0.025974025974025976,1,True,0.00943025047312469,-0.005385836417043286,D_sector_neutral_zscore
2022-12,2023-01,0.051601431820263194,0.5509579984054117,0.5509579984054119,24,0.0,0,True,0.008090509618111611,0.04351092220215158,D_sector_neutral_zscore
2023-01,2023-02,-0.004496830785563372,0.5586920824529173,0.5586920824529173,24,0.0,0,True,0.008204080310532316,-0.012700911096095687,D_sector_neutral_zscore
2023-02,2023-03,-0.03219295056044485,0.2526991541163897,0.2526991541163897,25,0.0,0,True,0.0037107455428261873,-0.035903696103271036,D_sector_neutral_zscore
2023-03,2023-04,0.004062816136105113,0.4061020370348769,0.4061020370348769,25,0.0,0,True,0.005963380958393429,-0.001900564822288316,D_sector_neutral_zscore
2023-04,2023-05,-0.015309396275786789,0.4601096215052423,0.4601096215052423,25,0.0,0,True,0.006756452086996859,-0.02206584836278365,D_sector_neutral_zscore
2023-05,2023-06,0.006624045307490328,0.4314806691737453,0.4314806691737453,25,0.0,0,True,0.006336051956923785,0.0002879933505665431,D_sector_neutral_zscore
2023-06,2023-07,0.03255471125889626,0.5224740128070906,0.5224740128070905,25,0.0,0,True,0.007672238243320174,0.024882473015576084,D_sector_neutral_zscore
2023-07,2023-08,-0.015307472880503083,0.5824277376653535,0.5824277376653535,25,0.11688311688311688,2,True,0.008552625113120138,-0.023860097993623222,D_sector_neutral_zscore
2023-08,2023-09,0.00468332499436576,0.7062249171517796,0.7062249171517796,24,0.0,0,True,0.010370517355775311,-0.005687192361409551,D_sector_neutral_zscore
2023-09,2023-10,-0.0572937068289269,0.2838823514841109,0.2838823514841108,23,0.0,0,True,0.004168653330637954,-0.061462360159564855,D_sector_neutral_zscore
2023-10,2023-11,0.06740061768981966,0.5293763999158396,0.5293763999158394,24,0.0,0,True,0.007773595932024008,0.05962702175779565,D_sector_neutral_zscore
2023-11,2023-12,0.062407928504086906,0.2989386067969502,0.2989386067969503,24,0.0,0,True,0.004389746006983198,0.05801818249710371,D_sector_neutral_zscore
2023-12,2024-01,0.005532157758899667,0.5060179757457905,0.5060179757457905,24,0.0,0,True,0.00743059055600866,-0.0018984327971089928,D_sector_neutral_zscore
2024-01,2024-02,0.005261242309267665,0.5226984572333904,0.5226984572333903,24,0.0,0,True,0.007675534084010327,-0.0024142917747426622,D_sector_neutral_zscore
2024-02,2024-03,0.017511865853129586,0.6469345660785273,0.6469345660785274,24,0.0,0,True,0.009499871758456308,0.008011994094673278,D_sector_neutral_zscore
2024-03,2024-04,0.0206197017298461,0.3766951429711499,0.37669514297115003,24,0.0,0,True,0.005531557189703341,0.01508814454014276,D_sector_neutral_zscore
2024-04,2024-05,0.021987895644933395,0.318393179994093,0.31839317999409295,24,0.02097902097902098,1,True,0.004675425517986361,0.017312470126947033,D_sector_neutral_zscore
2024-05,2024-06,0.007356906297733468,0.4181606112174979,0.41816061121749787,23,0.0,0,True,0.006140454366325734,0.0012164519314077343,D_sector_neutral_zscore
2024-06,2024-07,0.0581741747887369,0.5734943455910022,0.5734943455910024,23,0.0,0,True,0.008421443254050877,0.04975273153468602,D_sector_neutral_zscore
2024-07,2024-08,-0.01749813173639979,0.6758326444036132,0.6758326444036131,24,0.02127659574468085,1,True,0.00992422385300928,-0.02742235558940907,D_sector_neutral_zscore
2024-08,2024-09,0.0007467024841867221,0.43379334139113346,0.4337933413911335,23,0.0,0,True,0.006370012253121447,-0.005623309768934725,D_sector_neutral_zscore
2024-09,2024-10,-0.03151193990145513,0.3729654085311249,0.3729654085311249,23,0.0,0,True,0.005476788128454826,-0.036988728029909955,D_sector_neutral_zscore
