holding_month,A_absolute_discount_decile,B_absolute_discount_quintile,C_discount_zscore,D_sector_neutral_zscore,E_discount_overshoot,BM_equal_weight_universe,BM_cap_weight_universe
2008-10-31,-0.17983492901875014,-0.196370941508486,,,,-0.17367103555020502,-0.16456595812054287
2008-11-30,-0.059279703642710464,-0.04512402779048055,,,,-0.04161406445494412,-0.03734258943180185
2008-12-31,-0.004720112394599905,0.02659298359228035,,,,0.06450760134203791,0.07534231932555292
2009-01-31,0.07611507843203946,0.03397397742768936,0.00711169313391973,-0.011646919213174393,0.011154101750908767,-0.021402999159456454,-0.0295456580324439
2009-02-28,-0.02486207162523592,-0.036097970171163535,-0.07444448478487699,-0.03695628100287988,-0.06754354059134311,-0.06661367031305115,-0.0778892678460212
2009-03-31,0.03514187826901027,0.03772695777874448,0.12552343895288337,0.06199029644477558,0.0945879528988853,0.03834269095280891,0.06595363041341334
2009-04-30,0.19497304343129404,0.20881157036062054,0.14902661370380074,0.1963898527117131,0.18351789134788254,0.1380516666938025,0.12228941587465575
2009-05-31,0.04452981915503496,0.06145566591941751,0.022152458527790478,0.06914146410875008,0.020281891604467403,0.054416016852668836,0.037143845702811575
2009-06-30,4.112549256500989,2.0068492764523724,4.099019678454885,1.4354279421609137,4.113718824623611,0.37892575013796226,-0.025689658009410796
2009-07-31,0.0002945611760070393,0.016456811312040465,0.04008564111394064,0.026613846933982145,0.03886787337938825,0.04809777528826684,0.05873535265828239
2009-08-31,0.13089913438565864,0.11090208586777141,0.09154942518704806,0.0930657525009243,0.10805592758319721,0.06845529683059612,0.061598353710148816
2009-09-30,0.10384726604451962,0.09228263405724271,0.08754372455413054,0.08563709740380994,0.10196708574854409,0.06588368705240254,0.0523275412526293
2009-10-31,-0.013377015214739298,-0.02177561780771009,-0.005334679341037025,-0.012523753513706671,-0.0005453290573674968,-0.020901272002215816,-0.026865529912286433
2009-11-30,-0.0069636824458188425,-0.013121481496053331,-0.002206740302827956,0.0016645659594304862,-0.0026924268603967134,0.006514040190178864,0.01953218118151979
2009-12-31,0.04620796976038383,0.03755392393259888,0.06834924827279122,0.040940613682995855,0.05495768863457205,0.037047137764868156,0.047039927193850355
2010-01-31,0.007258745089813598,0.004504190007401699,-0.003879156776983148,-0.0060115163734623025,0.013023736486518122,-0.01661570806403652,-0.032957244351978374
2010-02-28,0.0005586526932848425,0.01165098442718034,0.009588120522504382,0.014904914733649481,0.014032169288989023,0.020806693230714234,0.030806033626440882
2010-03-31,0.06547788925341097,0.07271761280578827,0.08475105753548376,0.07416114911247651,0.07292078872385546,0.06912341288427991,0.07671528002667177
2010-04-30,0.027187110509281007,0.015765438907529086,0.006229982293123345,0.007668553912516886,0.009782482449037008,0.0027951190045248826,-0.003136680495094353
2010-05-31,-0.08133881035072361,-0.060772123774338646,-0.05730246266605046,-0.05972560720904237,-0.05247501211207731,-0.05631106858855376,-0.05482806080518154
2010-06-30,0.005431804236864524,-0.006802660896016452,-0.01687713118728422,-0.008948307258557296,-0.006539696436207181,-0.01611905877686579,-0.02325570709248325
2010-07-31,0.022489858136498647,0.02812278050329113,0.039450683319439295,0.038830458584838835,0.0311015233290576,0.035505298671582905,0.04243397208584813
2010-08-31,-0.001550123120084305,-0.005481601597079823,-0.013906584755346197,-0.014592433476176852,-0.018018708092974685,-0.011493792647152863,-0.01117264195000172
2010-09-30,0.06816592164249873,0.0631199391950705,0.08229380194431136,0.07030044095837398,0.06306972884615279,0.07176367978592094,0.07862406683932008
2010-10-31,0.09731391795050988,0.07474375523993901,0.05337476676422276,0.05572815439773682,0.08316441395021382,0.03775933106993405,0.036089715873523956
2010-11-30,-0.02340857665103792,-0.013534251382078314,0.0031556038187829484,-0.003557358487025977,-0.001056062266366585,-0.011111514580745413,-0.008068911816772016
2010-12-31,0.08251350661549,0.0737698771936907,0.06943468646192297,0.07251604533194872,0.08050520466504879,0.06588860035588653,0.07050114530568875
2011-01-31,0.025003544903228654,0.01670830089144581,0.020730996685340945,0.005312331865584885,0.02587259845015069,-0.002200289519870885,-0.011584698202140722
2011-02-28,-0.010342036452564282,-0.0038615811726512815,-0.000467464334278132,-0.014146975087518773,-0.016526902041053566,-0.009141674630613637,-0.01184629231437911
2011-03-31,-0.005431728631257563,0.0008788108784311905,0.013010579522946963,0.0045209791926833776,0.013013675660333478,0.008311191577407057,0.018822693337629655
