holding_month,F_quality_only,BM_5y_record_universe_gross,F_value_only,F_combined_z0.0,F_combined_z-0.5,F_combined_z-1.0,F_quality_only_TR,BM_5y_record_universe_gross_TR,F_value_only_TR,F_combined_z0.0_TR,F_combined_z-0.5_TR,F_combined_z-1.0_TR
2013-03-31,0.02542006965530199,0.0087007995586304,0.010742972644904692,0.03721375327457635,-0.04405682623665242,,0.02542006965530199,0.0103079234496916,0.01228564425756327,-0.04405682623665242,-0.04405682623665242,
2013-04-30,0.03475999392111085,0.02227776917528807,0.031654958924222015,0.03721375327457635,-0.04405682623665242,,0.03636674773374702,0.02405356148700726,0.03521620946210414,-0.04405682623665242,-0.04405682623665242,
2013-05-31,0.017442159903898413,0.017533592179811496,0.03290126924200705,0.03721375327457635,,,0.017442159903898413,0.01776169040043512,0.03318996245744891,-0.04405682623665242,,
2013-06-30,-0.06374742942672612,-0.05691214896790682,-0.04592397690308907,0.03721375327457635,-0.04405682623665242,,-0.06293639941861583,-0.05551741206231523,-0.04340262950489154,-0.04405682623665242,-0.04405682623665242,
2013-07-31,0.04558737686847562,0.050887208282220944,0.05334697968445136,0.03721375327457635,-0.04405682623665242,,0.04558737686847562,0.0515377601386108,0.05428041511299682,-0.04405682623665242,-0.04405682623665242,
2013-08-31,-0.033549058248447026,-0.03501286991281877,-0.03330539156671769,0.03721375327457635,-0.04405682623665242,,-0.033549058248447026,-0.0344213961648943,-0.03229445050394424,-0.04405682623665242,-0.04405682623665242,
2013-09-30,0.045506120430025665,0.026094728538919847,0.04068090891456397,0.05779606259977768,0.05634412270337634,,0.045506120430025665,0.02767721691876884,0.04428821873499201,0.05779606259977768,0.05634412270337634,
2013-10-31,0.0418864669856756,0.041528922493697835,0.04217744244411776,0.05779606259977768,,,0.0418864669856756,0.04170846646004833,0.04203528823068871,0.05779606259977768,,
2013-11-30,-0.021983412280385212,-0.018359341356309202,-0.02542626633606692,0.05779606259977768,0.05634412270337634,,-0.020219743850050115,-0.017578823040976646,-0.024621028002090338,0.05779606259977768,0.05634412270337634,
2013-12-31,0.03424428496757799,0.002589343082481442,-0.0022906710595120986,0.05779606259977768,0.05634412270337634,,0.03558297305325403,0.003887727164235467,-0.00203003469711092,0.05779606259977768,0.05634412270337634,
