ticker,date,headline,amount,unit,currency,amount_gbx,ex_date,pay_date,confidence,period,title
EDIN,2012-01-25,Dividend Declaration,,,,,,,,,Dividend Declaration
EDIN,2013-04-22,Dividend Declaration,,,,,,,,,Dividend Declaration
EDIN,2014-04-28,Dividend Declaration,,,,,,,,,Dividend Declaration
EDIN,2017-01-25,Dividend Declaration,5.4,pence,GBX,5.4,2017-02-02,2017-02-28,high,second interim,Dividend Declaration
EDIN,2018-01-24,Dividend Declaration,5.8,pence,GBX,5.8,2018-02-01,2018-02-28,high,second interim,Dividend Declaration
EDIN,2021-10-27,Dividend Declaration,6.0,pence,GBX,6.0,2021-11-04,2021-11-26,high,first interim,Dividend Declaration
EDIN,2022-01-26,Dividend Declaration,6.0,pence,GBX,6.0,2022-02-03,2022-02-25,high,second interim,Dividend Declaration
EDIN,2023-01-25,Declaration of second interim dividend,6.4,pence,GBX,6.4,2023-02-02,2023-02-24,high,second interim,Declaration of second interim dividend
EDIN,2026-01-21,Dividend Declaration,7.6,pence,GBX,7.6,2026-01-29,2026-02-20,high,second interim,Dividend Declaration
EDIN,2026-04-23,Declaration of third interim dividend,8.4,pence,GBX,8.4,2026-04-30,2026-05-22,high,third interim,Declaration of third interim dividend
EOT,2011-08-12,Dividend Declaration,,,,,,,,,Dividend Declaration
EOT,2013-08-15,Dividend Declaration,3.5,p,GBX,3.5,,2013-09-27,medium,interim,Dividend Declaration
EOT,2025-09-12,Dividend Declaration,2.0,pence,GBX,2.0,2025-10-02,2025-10-28,high,final,Dividend Declaration
FCIT,2021-03-10,Dividend Declaration,3.4,pence,GBX,3.4,2021-04-15,2021-05-13,high,final,Dividend Declaration
FCIT,2022-12-06,Dividend Declaration (Third Interim),3.2,pence,GBX,3.2,2023-01-05,2023-02-01,high,third interim,Dividend Declaration (Third Interim)
FCIT,2023-09-26,Dividend Declaration,3.4,pence,GBX,3.4,2023-10-05,2023-11-01,high,second interim,Dividend Declaration
FSV,2009-11-04,Dividend Declaration,,,,,,,,,Dividend Declaration
FSV,2026-04-29,Dividend Declaration,3.49,pence,GBX,3.49,2026-05-14,2026-06-22,high,interim,Dividend Declaration
GSCT,2025-12-16,Half-Year Report and Dividend Announcement,0.7,p,GBX,0.7,2025-12-29,2026-01-29,high,interim,Half-Year Report and Dividend Announcement
GSCT,2026-06-26,Annual Financial Report and Dividend Announcement,3.15,p,GBX,3.15,2026-08-06,2026-09-18,high,final,Annual Financial Report and Dividend Announcement
HAN,2018-10-17,Dividend Declaration,8.0,p,GBX,8.0,2018-10-25,2018-11-30,high,interim,Dividend Declaration
HAN,2023-04-11,Dividend Declaration,0.8,p,GBX,0.8,,,low,interim,Dividend Declaration
HAN,2023-07-11,Dividend Declaration,0.8,p,GBX,0.8,2023-07-20,2023-08-25,high,first interim,Dividend Declaration
HAN,2024-10-08,Dividend Declaration,0.8,p,GBX,0.8,2024-10-24,2024-11-29,high,second interim,Dividend Declaration
IAD,2021-10-06,First Interim Dividend,7.7,p,GBX,7.7,2021-11-04,2021-11-25,high,first interim,First Interim Dividend
IAD,2022-10-04,Dividend Declaration,7.2,p,GBX,7.2,2022-11-03,2022-11-24,high,first interim,Dividend Declaration
IAD,2025-01-09,Dividend Declaration,3.9,p,GBX,3.9,2025-01-16,2024-11-29,high,quarterly,Dividend Declaration
IBT,2018-12-12,Dividend Declaration,14.0,p,GBX,14.0,2018-12-20,2019-01-31,high,first interim,Dividend Declaration
IBT,2019-07-10,Dividend Declaration,14.0,p,GBX,14.0,2019-07-18,2019-08-30,high,first interim,Dividend Declaration
IBT,2022-12-06,Dividend Declaration,14.0,p,GBX,14.0,2022-12-29,2023-01-27,high,first interim,Dividend Declaration
IBT,2023-07-05,Dividend Declaration,14.2,p,GBX,14.2,2023-07-27,2023-08-25,high,first interim,Dividend Declaration
IBT,2024-07-03,Dividend Declaration,14.5,pence,GBX,14.5,2024-07-25,2024-08-23,high,second interim,Dividend Declaration
IBT,2024-12-10,Dividend Declaration,15.56,pence,GBX,15.56,2024-12-19,2025-01-24,high,first interim,Dividend Declaration
IEM,2021-12-29,Dividend Declaration,1.5,pence,GBX,1.5,2022-01-06,2022-01-28,high,second interim,Dividend Declaration
IEM,2023-02-01,Dividend Declaration,2.5,pence,GBX,2.5,2023-02-09,2023-03-10,high,interim,Dividend Declaration
JAGI,2014-12-24,Dividend Declaration,2.2,p,GBX,2.2,,2015-02-03,medium,,Dividend Declaration
JAGI,2017-07-03,Dividend Declaration,3.6,pence,GBX,3.6,2017-07-13,2017-08-08,high,quarterly,Dividend Declaration
JAGI,2019-10-01,Dividend Declaration,4.0,pence,GBX,4.0,2019-10-10,2019-11-07,high,quarterly,Dividend Declaration
JAGI,2021-07-01,Dividend Declaration,5.0,pence,GBX,5.0,2021-07-08,2021-08-17,high,quarterly,Dividend Declaration
JAGI,2025-07-01,Dividend Declaration,6.3,pence,GBX,6.3,2025-07-10,2025-07-31,high,quarterly,Dividend Declaration
JAGI,2026-07-01,Dividend Declaration,9.4,pence,GBX,9.4,2026-07-16,2026-07-31,high,quarterly,Dividend Declaration
JCGI,2021-01-04,Dividend Declaration,5.7,pence,GBX,5.7,2021-01-21,2021-03-01,high,quarterly,Dividend Declaration
JCGI,2023-04-03,Dividend Declaration,3.42,pence,GBX,3.42,2023-04-20,2023-06-01,high,quarterly,Dividend Declaration
JCGI,2023-10-02,Dividend Declaration,2.76,pence,GBX,2.76,2023-10-19,2023-11-10,high,quarterly,Dividend Declaration
JCGI,2024-07-01,Dividend Declaration,2.76,pence,GBX,2.76,2024-07-18,2024-08-09,high,quarterly,Dividend Declaration
JCGI,2025-01-03,Dividend Declaration - Replacement,2.73,pence,GBX,2.73,2025-01-16,2025-02-10,high,quarterly,Dividend Declaration - Replacement
JCGI,2025-07-01,Dividend Declaration,2.73,pence,GBX,2.73,2025-07-17,2025-08-11,high,quarterly,Dividend Declaration
JCH,2007-10-17,Dividend Declaration,,,,,,,,,Dividend Declaration
JCH,2008-07-10,Dividend Declaration,,,,,,,,,Dividend Declaration
JCH,2012-07-31,Dividend Declaration,3.5,pence,GBX,3.5,,2012-09-03,medium,quarterly,Dividend Declaration
JCH,2013-07-30,Dividend Declaration,4.5,pence,GBX,4.5,,2013-09-02,medium,quarterly,Dividend Declaration
JCH,2015-07-29,Dividend Declaration,5.0,pence,GBX,5.0,2015-08-06,2015-09-01,high,quarterly,Dividend Declaration
JCH,2018-04-18,Dividend Declaration,6.0,pence,GBX,6.0,2018-04-26,2018-06-01,high,quarterly,Dividend Declaration
JCH,2019-04-25,Dividend Declaration,6.25,pence,GBX,6.25,2019-05-02,2019-05-31,high,quarterly,Dividend Declaration
JCH,2022-04-27,Dividend Declaration,7.5,pence,GBX,7.5,,,low,quarterly,Dividend Declaration
JCH,2024-04-17,Dividend Declaration,8.25,pence,GBX,8.25,2024-04-25,,high,quarterly,Dividend Declaration
JCH,2025-07-15,Dividend Declaration,8.4,pence,GBX,8.4,2025-07-24,2025-09-01,high,quarterly,Dividend Declaration
JCH,2025-10-10,Dividend Declaration,8.4,pence,GBX,8.4,2025-10-30,2025-12-01,high,quarterly,Dividend Declaration
JEDT,2017-12-12,Dividend Declaration,1.2,pence,GBX,1.2,2017-12-21,2018-01-19,high,interim,Dividend Declaration
JEDT,2020-06-12,Dividend Declaration,5.5,pence,GBX,5.5,2020-06-26,2020-07-31,high,final,Dividend Declaration
JEMA,2018-01-23,Dividend Declaration,6.0,pence,GBX,6.0,2018-02-08,2018-03-09,high,,Dividend Declaration
JEMA,2019-01-21,Dividend Declaration,6.0,pence,GBX,6.0,2019-02-07,2019-03-15,high,,Dividend Declaration
JFJ,2012-11-14,Dividend Declaration,3.65,pence,GBX,3.65,,,low,,Dividend Declaration
JFJ,2016-11-09,Dividend Declaration,3.65,pence,GBX,3.65,,,low,,Dividend Declaration
JIGI,2025-10-01,Dividend Declaration & Company Name Change,11.08,pence,GBX,11.08,2025-11-06,2025-12-01,high,quarterly,Dividend Declaration & Company Name Change
JMGI,2016-10-05,Dividend Declaration,9.0,pence,GBX,9.0,,2016-11-23,medium,,Dividend Declaration
JUSC,2020-04-08,Dividend Declaration,2.5,pence,GBX,2.5,2020-06-04,2020-06-17,high,,Dividend Declaration
LWDB,2020-09-16,Dividend Declaration,26.0,p,GBX,26.0,2020-09-24,2010-01-01,high,second interim,Dividend Declaration
LWDB,2021-05-27,Amendment: Dividend Declaration,6.875,pence,GBX,6.875,2021-06-03,2021-07-07,high,first interim,Amendment: Dividend Declaration
LWDB,2022-05-25,Dividend Declaration,7.25,pence,GBX,7.25,2022-06-01,2022-07-07,high,first interim,Dividend Declaration
LWDB,2022-09-29,Dividend Declaration,7.25,pence,GBX,7.25,2022-10-06,2022-10-27,high,second interim,Dividend Declaration
LWDB,2022-12-15,Dividend Declaration,7.25,pence,GBX,7.25,2022-12-22,2023-01-26,high,third interim,Dividend Declaration
LWDB,2023-05-24,Dividend Declaration,7.625,pence,GBX,7.625,2023-06-01,2023-07-06,high,first interim,Dividend Declaration
LWI,2013-09-25,Dividend Declaration,8.5,p,GBX,8.5,2013-10-09,2013-10-31,high,third interim,Dividend Declaration
LWI,2015-09-29,Dividend Resolution,10.0,p,GBX,10.0,2015-10-08,2015-10-30,high,third interim,Dividend Resolution
LWI,2016-03-23,Dividend Declaration,11.0,p,GBX,11.0,2016-04-07,2016-04-29,high,first interim,Dividend Declaration
LWI,2018-09-11,Dividend Declaration,14.0,p,GBX,14.0,2018-10-04,2018-10-31,high,third interim,Dividend Declaration
LWI,2022-09-06,Dividend Declaration,1.525,p,GBX,1.525,2022-09-29,2022-10-31,high,third interim,Dividend Declaration
LWI,2024-03-27,Dividend Declaration,1.6,p,GBX,1.6,2024-04-11,2024-04-30,high,first interim,Dividend Declaration
MRC,2006-12-13,Dividend Declaration,,,,,,,,,Dividend Declaration
MRC,2008-03-20,Dividend Declaration,,,,,,,,,Dividend Declaration
MRC,2014-12-03,Dividend Declaration,8.0,p,GBX,8.0,,,low,quarterly,Dividend Declaration
MRC,2015-03-25,Dividend Declaration,17.0,p,GBX,17.0,,,low,quarterly,Dividend Declaration
MRC,2016-09-20,Dividend Declaration,10.25,p,GBX,10.25,,,low,quarterly,Dividend Declaration
MRC,2016-11-30,Dividend Declaration,10.25,p,GBX,10.25,,,low,quarterly,Dividend Declaration
MRC,2018-03-29,Dividend Declaration,21.5,pence,GBX,21.5,2018-04-12,2018-05-09,high,quarterly,Dividend Declaration
MRC,2018-09-14,Dividend Declaration,1.25,pence,GBX,1.25,2018-09-27,2018-11-01,high,quarterly,Dividend Declaration
MRC,2019-09-17,Dividend Declaration,1.35,pence,GBX,1.35,2019-09-26,2019-11-01,high,quarterly,Dividend Declaration
MRC,2023-12-14,Dividend Declaration,1.45,pence,GBX,1.45,2023-12-21,2024-02-01,high,quarterly,Dividend Declaration
