strategy,holding_month,security_id,side,weight_change
A_absolute_discount_decile,2007-08,SEDOL:152417,buy,0.05555555555555555
A_absolute_discount_decile,2007-08,SEDOL:890632,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:610841,buy,0.05555555555555555
A_absolute_discount_decile,2007-08,SEDOL:149000,sell,-0.05263157894736843
A_absolute_discount_decile,2007-08,SEDOL:532309,sell,-0.05263157894736843
A_absolute_discount_decile,2007-08,SEDOL:B11V7W9,buy,0.0029239766081871205
A_absolute_discount_decile,2007-08,SEDOL:3038332,buy,0.05555555555555555
A_absolute_discount_decile,2007-08,SEDOL:596286,sell,-0.05263157894736843
A_absolute_discount_decile,2007-09,SEDOL:371922,sell,-0.05555555555555555
A_absolute_discount_decile,2007-09,SEDOL:532309,buy,0.05555555555555555
A_absolute_discount_decile,2007-10,SEDOL:B1GCL25,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,NAME:asset management|ordinary share,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:B1FL3C7,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:235761,buy,0.05263157894736843
A_absolute_discount_decile,2007-10,SEDOL:600756,sell,-0.05555555555555555
A_absolute_discount_decile,2007-10,SEDOL:B1B9C40,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:493990,buy,0.05263157894736843
A_absolute_discount_decile,2007-10,SEDOL:589383,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,NAME:aberforth smaller companies|ordinary share,buy,0.05263157894736843
A_absolute_discount_decile,2007-10,SEDOL:B05KL90,buy,0.05263157894736843
A_absolute_discount_decile,2007-10,SEDOL:741600,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:532707,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:295958,sell,-0.05555555555555555
A_absolute_discount_decile,2007-10,SEDOL:643610,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:906506,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:278175,buy,0.05263157894736843
A_absolute_discount_decile,2007-10,SEDOL:891055,sell,-0.05555555555555555
A_absolute_discount_decile,2007-10,SEDOL:152417,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:890632,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:610841,sell,-0.05555555555555555
A_absolute_discount_decile,2007-10,SEDOL:532309,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:B11V7W9,sell,-0.0029239766081871205
A_absolute_discount_decile,2007-10,SEDOL:3038332,sell,-0.05555555555555555
A_absolute_discount_decile,2007-10,SEDOL:596286,buy,0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:B1GCL25,sell,-0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:600756,buy,0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:589383,sell,-0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:B05KL90,sell,-0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:596286,sell,-0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:848471,buy,0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:493990,sell,-0.05263157894736843
A_absolute_discount_decile,2007-11,NAME:aberforth smaller companies|ordinary share,sell,-0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:278175,sell,-0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:295958,buy,0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:891055,buy,0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:610841,buy,0.05263157894736843
A_absolute_discount_decile,2007-11,SEDOL:3038332,buy,0.05263157894736843
A_absolute_discount_decile,2007-11,NAME:aurora uk alpha|ordinary share,buy,0.05263157894736843
A_absolute_discount_decile,2007-12,NAME:asset management|ordinary share,buy,0.0029239766081871205
A_absolute_discount_decile,2007-12,SEDOL:B1FL3C7,buy,0.0029239766081871205
A_absolute_discount_decile,2007-12,SEDOL:235761,sell,-0.05263157894736843
A_absolute_discount_decile,2007-12,SEDOL:600756,buy,0.0029239766081871205
A_absolute_discount_decile,2007-12,SEDOL:B1B9C40,buy,0.0029239766081871205
A_absolute_discount_decile,2007-12,SEDOL:3098314,buy,0.05555555555555555
A_absolute_discount_decile,2007-12,SEDOL:741600,buy,0.0029239766081871205
A_absolute_discount_decile,2007-12,SEDOL:532707,buy,0.0029239766081871205
A_absolute_discount_decile,2007-12,SEDOL:643610,buy,0.0029239766081871205
A_absolute_discount_decile,2007-12,SEDOL:906506,buy,0.0029239766081871205
A_absolute_discount_decile,2007-12,SEDOL:295958,sell,-0.05263157894736843
A_absolute_discount_decile,2007-12,SEDOL:B17MXW8,buy,0.05555555555555555
A_absolute_discount_decile,2007-12,SEDOL:806372,buy,0.05555555555555555
A_absolute_discount_decile,2007-12,SEDOL:891055,buy,0.0029239766081871205
