security_id,company_name,entry_month,exit_month,months_held,entry_discount,entry_z,entry_nav_cagr_5y,spell_compound_return,n_missing_returns,contribution
SEDOL:338530,Worldwide Healthcare,2015-04,2016-11,20,-0.053587540700639424,-0.36254233714305284,0.22238823633552282,0.1699922729830332,0,0.012022426438689952
SEDOL:BF50VS4,Ashoka India Equity,2023-05,2023-06,2,-0.05215808075398953,-1.8055267936438706,0.17790172428493356,0.1807909604519773,0,0.012013096247175992
SEDOL:332855,Fidelity Japan,2018-09,2018-09,1,-0.14748983116955483,-0.411981518506444,0.18342299425313513,0.07189542483660127,0,0.011982570806100214
SEDOL:295958,Standard Life UK Smaller Companies,2017-01,2017-02,2,-0.07687805374592827,-0.35562863202318323,0.15053116863541074,0.09717436250861478,0,0.011887893406845845
SEDOL:332855,Fidelity Japanese Values,2017-06,2017-06,1,-0.15740672602840522,-0.6322492875285463,0.17817596071915406,0.08296943231441056,0,0.011852776044915796
SEDOL:846505,JPMorgan American,2024-09,2024-11,3,-0.03802603335893351,-0.7782886561214636,0.16457909749222158,0.16683725690890494,0,0.011812760654711579
SEDOL:BYSRMH1,CC Japan Income & Growth Trust,2024-07,2024-08,2,-0.07658093212144657,-0.04839523863340786,0.09690112623428865,0.09646117156876177,0,0.011780104712041883
SEDOL:B0N8MF9,BlackRock Energy and Resources Income,2022-07,2022-08,2,-0.08586074327210591,-0.09075164382596712,0.16106266617637593,0.18925233644859807,0,0.011625625102475808
SEDOL:783884,Scottish Mortgage Investment Trust,2024-02,2024-03,2,-0.0958379098408545,-0.17486009728619492,0.12876088477771208,0.15533729645903338,0,0.011224109877596445
SEDOL:343501,JPMorgan China Growth & Income,2022-09,2023-01,5,-0.10179640718562877,-1.0357288107615819,0.1882596713481703,0.13135593220338992,0,0.011133009292207063
NAME:cqs natural resources growth and income|ordinary share,CQS Natural Resources Growth & Income,2022-10,2022-10,1,-0.18247973470891676,-0.4337093361259977,0.15629882521525856,0.15492957746478875,0,0.011066398390342055
SEDOL:B6832P1,Polar Capital Global Healthcare Growth & Income,2016-06,2016-09,4,-0.048409405255878335,-0.08579963719995849,0.13784186000453735,0.13081395348837233,0,0.011024637262141873
SEDOL:802284,Schroder Japan Trust,2026-04,2026-04,1,-0.11616161616161624,-0.4073620480798406,0.12016019223928856,0.12012987012987009,0,0.010920897284533644
SEDOL:806372,Aberdeen Smaller Companies High Income,2014-06,2014-06,1,-0.15384944946660384,-0.5202226549110329,0.2885660420826922,0.06329113924050622,0,0.010548523206751039
SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,2025-05,2025-05,1,-0.12237824386775686,-0.6837564248542,0.12010471549905656,0.07341772151898729,0,0.0104882459312839
NAME:biotech growth|ordinary share,Biotech Growth,2016-09,2016-11,3,-0.06469475958941107,-0.540801479045432,0.32640108648999755,0.0700361010830326,0,0.010456619671634094
SEDOL:339072,Allianz Technology Trust,2024-09,2024-11,3,-0.1137654099953962,-0.5282945776284118,0.17669192508523762,0.1471861471861471,0,0.010417162202876485
SEDOL:BF50VS4,Ashoka India Equity,2025-05,2025-06,2,-0.011917332931060565,-0.7452345262833333,0.2195999864231791,0.07442748091603058,0,0.010297841334348013
NAME:bankers|ordinary share,Bankers Investment Trust,2025-01,2025-01,1,-0.11647203441917642,-0.6693116581556834,0.08082151769050276,0.09043478260869575,0,0.010048309178743971
SEDOL:914327,JPMorgan Global Growth & Income,2022-06,2023-12,19,0.007006266330612521,-1.2442772070457695,0.11623394513520219,0.1549942594718714,0,0.009958821276565496
SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,2022-03,2022-03,1,-0.05966118340289717,-0.35160490490172536,0.12394816058732955,0.15926892950391647,0,0.00995430809399478
SEDOL:BDFGHW4,Baillie Gifford US Growth,2022-10,2024-03,18,-0.12572649148080073,-1.73911556102512,0.17425226862504395,0.14772727272727226,0,0.009867973601060677
SEDOL:783884,Scottish Mortgage Investment Trust,2024-09,2024-11,3,-0.10053772201401334,-0.09477767933114674,0.11746775044863167,0.1386473429951689,0,0.009838070814159942
SEDOL:781606,Finsbury Growth & Income,2020-05,2020-07,3,0.0023706452277880707,-0.3216678053615275,0.0814097276302536,0.0629820051413883,0,0.009112855361671437
SEDOL:3142921,Law Debenture Corporation,2026-04,2026-04,1,-0.023370665976120697,-1.2051152980777629,0.1152390442517511,0.09659090909090917,0,0.008780991735537197
NAME:aberforth smaller companies|ordinary share,Aberforth Smaller Companies,2017-01,2017-02,2,-0.14201938773141876,-1.021734541286355,0.16224792688545867,0.07033363390441827,0,0.008644179847221517
SEDOL:342218,JPMorgan Claverhouse,2025-11,2026-01,3,-0.06343797251246874,-0.7473729592956918,0.14318493416831574,0.07311335603697455,0,0.008571673868872188
SEDOL:B0CRWN5,Schroder Oriental Income,2015-02,2015-02,1,-0.02839685481043719,-2.010638267961067,0.15754961255370095,0.05025773195876293,0,0.008376288659793823
SEDOL:455934,International Biotechnology,2016-09,2016-09,1,-0.12481308822235915,-0.10237030940000005,0.2833699196131788,0.10050251256281406,0,0.008375209380234505
SEDOL:806372,Aberdeen Smaller Companies Income,2021-08,2021-09,2,-0.17166225196338114,-0.896567235043532,0.14588791625325626,0.08134642356241217,0,0.00830045192457534
SEDOL:791586,Schroder Income Growth,2015-07,2015-07,1,-0.03661911858633171,-0.9777320434838801,0.1445387253224452,0.06125230202578269,0,0.007656537753222836
NAME:cqs natural resources growth and income|ordinary share,CQS Natural Resources Growth & Income,2022-08,2022-08,1,-0.19482453690775392,-0.5295283658692552,0.15305953787560542,0.12138728323699421,0,0.007586705202312138
SEDOL:802284,Schroder Japan Growth,2019-04,2019-05,2,-0.12335780525502316,-1.2958864974686055,0.11664879652511752,0.044562833443374306,0,0.007346189164370983
SEDOL:BF50VS4,Ashoka India Equity,2024-11,2024-11,1,-0.042500177973944564,-2.046799829556061,0.21070396447288064,0.1003717472118959,0,0.007169410515135422
SEDOL:787369,Scottish American,2024-01,2024-08,8,-0.008046872102940639,-0.10847325541330691,0.11559533298513973,0.03898999836038719,0,0.007040675536322104
SEDOL:783884,Scottish Mortgage,2021-07,2021-09,3,-0.02661986251279802,-1.1586744741938648,0.38190934004395466,0.07287753568745314,0,0.006960741483483855
SEDOL:846505,JPMorgan American,2018-06,2018-10,5,-0.04621731874652324,-0.4058172459312412,0.15488613409116772,0.040549436867362676,0,0.006958535575184647
NAME:bankers|ordinary share,Bankers Investment Trust,2024-01,2024-03,3,-0.1356461551447623,-1.548560322373605,0.10374703772284839,0.08984375,0,0.006822792416456767
SEDOL:346607,F&C Investment Trust,2025-05,2025-05,1,-0.09022854374917433,-0.49187358516628016,0.1246032755581488,0.047434656340755055,0,0.006776379477250723
SEDOL:611190,Murray International Trust,2024-11,2025-04,6,-0.10914727577236927,-1.5423030125427462,0.08883600785496557,0.06000000000000005,0,0.006683508189866854
SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,2021-12,2022-01,2,-0.057999605444860824,-0.1927265168800003,0.14033770649729907,0.0680628272251309,0,0.006631104913748501
SEDOL:958057,Henderson High Income Trust,2025-08,2026-01,6,-0.07578084997439838,-0.5419249273504422,0.13136752138987737,0.04155865317670715,0,0.006581082305000922
SEDOL:914327,JPMorgan Global Growth & Income,2024-06,2024-06,1,-0.01711357188615359,-1.5700767497883337,0.17870374897238436,0.07821229050279332,0,0.0065176908752327765
SEDOL:341969,JPMorgan European Discovery,2021-08,2021-08,1,-0.14867488673891038,-0.4529611199065481,0.13928112645901142,0.06432748538011701,0,0.0064327485380117014
SEDOL:341969,JPMorgan European Discovery,2021-10,2021-10,1,-0.14361996876731642,-0.21317976582064427,0.12352504854435807,0.07058823529411762,0,0.006417112299465238
SEDOL:B11V7W9,Alliance Trust,2023-11,2023-12,2,-0.06252938410907383,-0.5262713861098312,0.07954894308280891,0.11534603811434319,0,0.006374466912186948
SEDOL:BF50VS4,Ashoka India Equity,2025-03,2025-03,1,0.00043497172683770735,-0.24189000509725708,0.18000117357677597,0.06324110671936767,0,0.0063241106719367675
SEDOL:643900,North Atlantic Smaller Companies,2015-07,2015-10,4,-0.21468558566729057,-0.26406749946120733,0.15887614882360243,0.0484298860586625,1,0.006240629612928317
SEDOL:346607,F&C Investment Trust,2026-04,2026-04,1,-0.09467188440698371,-0.5723720945330075,0.1022716407518583,0.06733167082294256,0,0.006121060983903869
SEDOL:BKLGLS1,Nippon Active Value Fund,2025-11,2025-11,1,-0.06555026136836739,-0.4914393166053123,0.17225906716945297,0.05940594059405946,0,0.005940594059405946
SEDOL:346607,F&C Investment Trust,2023-07,2023-12,6,-0.09546484789253706,-1.0446848614530393,0.07981004952978488,0.10574712643678152,0,0.0058190150772579625
SEDOL:132077,JPMorgan Asian,2019-09,2019-10,2,-0.10800020215292871,-0.41784283634113684,0.12721244157559522,0.04583938559815093,0,0.005665722379603388
SEDOL:455934,International Biotechnology,2022-11,2022-12,2,-0.06253605630552672,-1.0192172673496358,0.062333439239775246,0.08615384615384603,0,0.005497763711976564
NAME:aberforth smaller companies|ordinary share,Aberforth Smaller Companies,2015-08,2015-10,3,-0.10610976246114745,-0.18038339050905658,0.16395326531169016,0.048534798534798584,0,0.005392755392755398
NAME:aberforth smaller companies|ordinary share,Aberforth Smaller Companies,2015-12,2015-12,1,-0.0978492663088717,-0.10793443781722493,0.1351559598858075,0.048330404217926226,0,0.005370044913102914
NAME:cqs natural resources growth and income|ordinary share,CQS Natural Resources Growth & Income,2026-04,2026-04,1,-0.1049575274751644,-0.21324403941782438,0.28119050468974516,0.05898123324396787,0,0.00536193029490617
SEDOL:332855,Fidelity Japanese Values,2017-02,2017-03,2,-0.1615213239974539,-0.9112420260422709,0.14684284801104935,0.04858606946289634,0,0.005335743990836854
SEDOL:3142921,Law Debenture Corporation,2025-08,2025-09,2,0.003667626296486315,-0.040332467429853164,0.1988854634067178,0.04911591355599221,0,0.005264332916592256
SEDOL:B44ZTP6,abrdn Latin American Income,2022-09,2023-01,5,-0.17155541461867763,-1.5495979100904875,0.08543812347674393,0.07655502392344471,0,0.005261017635337399
SEDOL:906692,TR European Growth,2021-08,2021-08,1,-0.13307194596651906,-0.07844262106992562,0.1556241233333876,0.05226480836236935,0,0.005226480836236936
SEDOL:906692,European Smaller Companies,2023-12,2023-12,1,-0.14053161819113213,-0.10204268844196772,0.08769450838170754,0.08278145695364247,0,0.005173841059602655
SEDOL:846505,JPMorgan American,2023-06,2023-07,2,-0.04190827622561932,-0.12029477691066866,0.13246154504939212,0.0852819807427787,0,0.005099382104847798
SEDOL:914327,JPMorgan Global Growth & Income,2021-11,2021-12,2,-0.0008421148462571804,-1.6522101624899423,0.13405626074904062,0.06150341685649208,0,0.005049526770971612
SEDOL:846505,JPMorgan American,2024-06,2024-06,1,-0.03277862862194081,-0.3198703775197606,0.17496455169722683,0.05951115834218923,0,0.0049592631951824355
SEDOL:370866,Troy Income & Growth,2016-06,2016-07,2,0.006804610470767969,-0.10639495220303566,0.10039641293205218,0.05862068965517242,0,0.004907781165457131
SEDOL:B6832P1,Polar Capital Global Healthcare Growth & Income,2015-01,2015-11,11,-0.03537572254335264,-0.6569103585097295,0.17254724098473753,0.015531025068678872,0,0.004884964825280286
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2016-07,2016-07,1,-0.15657063358645873,-0.25276135655626925,0.10625697802117308,0.05841924398625431,0,0.004868270332187859
SEDOL:958057,Henderson High Income Trust,2026-04,2026-04,1,-0.06892926865895788,-0.08245837972080293,0.10311235784797282,0.051075268817204256,0,0.004643206256109478
SEDOL:346607,F&C Investment Trust,2025-10,2025-11,2,-0.08033147819705211,-0.14052152841349488,0.12524422990112813,0.027431421446383997,0,0.0046296053632200055
SEDOL:B09G3N2,Securities Trust of Scotland,2022-07,2022-08,2,-0.013762496077464492,-0.18158760210478037,0.0690373560854437,0.06818181818181812,0,0.004343102073365232
SEDOL:974406,Witan,2017-07,2017-07,1,-0.02722979145206117,-0.0016961001969361543,0.16319739703316039,0.029970029970030065,0,0.0042814328528614385
SEDOL:455934,International Biotechnology,2016-04,2016-04,1,-0.13161064041074189,-0.2336169236020112,0.22288515148201718,0.04622871046228716,0,0.0042026100420261055
NAME:aberforth smaller companies|ordinary share,Aberforth Smaller Companies,2025-04,2025-04,1,-0.1224960706283651,-0.09378158781383875,0.14439748920845968,0.041158536585365946,0,0.004115853658536595
SEDOL:B6832P1,Polar Capital Global Healthcare Growth & Income,2017-03,2017-03,1,-0.05923509667659432,-0.11509101989514307,0.16816806790191752,0.03643216080402012,0,0.0040480178671133465
NAME:bankers|ordinary share,Bankers,2019-09,2019-10,2,-0.03013329184170943,-0.038917350660710906,0.11710615175747768,0.032342932311476114,0,0.004010695187165791
NAME:cqs natural resources growth and income|ordinary share,CQS Natural Resources Growth & Income,2023-07,2023-08,2,-0.1697688087774295,-0.6464720760124039,0.1318808365630919,0.06784660766961648,1,0.0039909769217421455
