month,action,security_id,company_name,weight_change_pct,price_gbx_at_signal,entry_discount,entry_z,dividend_gbx_per_share,income_per_100_invested
2025-05,SELL,SEDOL:B11V7W9,Alliance Witan,-10.0,,,,,
2025-05,BUY,SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,14.29,197.5,-0.12237824386775686,-0.6837564248542,,
2025-05,BUY,SEDOL:BF50VS4,Ashoka India Equity,14.29,262.0,-0.011917332931060565,-0.7452345262833333,,
2025-05,BUY,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,4.29,182.5,-0.08365133560956017,-0.45511571205476625,,
2025-05,DIVIDEND,SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,,,,,2.125,0.1537
2025-05,DIVIDEND,SEDOL:914327,JPMorgan Global Growth & Income,,,,,5.7,0.1603
2025-06,BUY,SEDOL:199049,City of London Investment Trust,12.5,478.0,0.002916430624619659,-0.03288706536729586,,
2025-06,BUY,SEDOL:2894108,Hansa Investment Company,12.5,230.0,-0.4153830511921103,-0.20076889896226632,,
2025-06,BUY,SEDOL:332231,Fidelity Asian Values,12.5,512.0,-0.08339002470550327,-0.07349586480918006,,
2025-06,SELL,SEDOL:346607,F&C Investment Trust,-14.29,,,,,
2025-06,SELL,SEDOL:580007,Merchants Trust,-1.79,567.0,-0.04174412709143149,-1.7349654268835553,,
2025-06,SELL,SEDOL:914327,JPMorgan Global Growth & Income,-1.79,524.0,-0.018983787022128995,-1.5144083333218639,,
2025-06,SELL,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,-1.79,111.0,-0.08911866075824715,-0.11078678251867885,,
2025-06,SELL,SEDOL:BD3V464,Ecofin Global Utilities and Infrastructure,-14.29,,,,,
2025-06,SELL,SEDOL:BF50VS4,Ashoka India Equity,-1.79,278.0,-0.044147985146472224,-2.3730872640881833,,
2025-06,SELL,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,-1.79,191.0,-0.09538694704935113,-0.9766807353773889,,
2025-06,DIVIDEND,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,,,,,1.125,0.1267
2025-07,SELL,SEDOL:199049,City of London Investment Trust,-12.5,,,,,
2025-07,SELL,SEDOL:2894108,Hansa Investment Company,-12.5,,,,,
2025-07,SELL,SEDOL:332231,Fidelity Asian Values,-12.5,,,,,
2025-07,BUY,SEDOL:346607,F&C Investment Trust,20.0,1108.0,-0.08791570628910106,-0.43918175126671155,,
2025-07,BUY,SEDOL:580007,Merchants Trust,7.5,571.0,-0.03928661563052083,-1.5099324115068467,,
2025-07,BUY,SEDOL:914327,JPMorgan Global Growth & Income,7.5,547.0,-0.006899055918663688,-0.7575440801262693,,
2025-07,BUY,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,7.5,114.0,-0.09945493324907184,-0.41655300241265786,,
2025-07,SELL,SEDOL:BF50VS4,Ashoka India Equity,-12.5,,,,,
2025-07,BUY,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,7.5,194.5,-0.09907823428597895,-1.204079872821274,,
2025-07,DIVIDEND,SEDOL:580007,Merchants Trust,,,,,7.3,0.2557
2025-07,DIVIDEND,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,,,,,1.65,0.1697
2025-08,BUY,SEDOL:3142921,Law Debenture Corporation,16.67,1018.0,0.003667626296486315,-0.040332467429853164,,
2025-08,SELL,SEDOL:346607,F&C Investment Trust,-20.0,,,,,
2025-08,SELL,SEDOL:580007,Merchants Trust,-3.33,550.0,-0.07149489322191271,-2.635400249160229,,
2025-08,BUY,SEDOL:802284,Schroder Japan Trust,16.67,260.0,-0.12575655682582376,-0.7321459023443518,,
2025-08,SELL,SEDOL:914327,JPMorgan Global Growth & Income,-3.33,577.0,-0.009782049081860422,-0.894496785913326,,
2025-08,BUY,SEDOL:958057,Henderson High Income Trust,16.67,180.5,-0.07578084997439838,-0.5419249273504422,,
2025-08,SELL,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,-20.0,,,,,
2025-08,SELL,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,-3.33,196.0,-0.10657306955966817,-1.545785662809842,,
2025-08,DIVIDEND,SEDOL:914327,JPMorgan Global Growth & Income,,,,,22.8,0.6586
2025-09,SELL,SEDOL:3142921,Law Debenture Corporation,-4.17,990.0,-0.0286213291207551,-1.6212716816733639,,
2025-09,SELL,SEDOL:580007,Merchants Trust,-4.17,552.0,-0.0730167260025526,-2.392864644684758,,
2025-09,SELL,SEDOL:802284,Schroder Japan Trust,-16.67,,,,,
2025-09,SELL,SEDOL:914327,JPMorgan Global Growth & Income,-4.17,564.0,-0.01779805649402677,-1.3582620643987966,,
2025-09,SELL,SEDOL:958057,Henderson High Income Trust,-4.17,182.0,-0.07369706840390877,-0.44985599340850463,,
2025-09,BUY,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,12.5,123.5,-0.09251230803144983,-0.16879181073183647,,
2025-09,BUY,SEDOL:B15FW33,Geiger Counter,12.5,50.1,-0.16929199137788098,-0.2522176276045226,,
2025-09,BUY,SEDOL:BF50VS4,Ashoka India Equity,12.5,261.0,-0.021739130434782705,-1.2942640399135796,,
2025-09,SELL,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,-4.17,202.0,-0.10496699011919008,-1.4843083016234209,,
2025-09,DIVIDEND,SEDOL:958057,Henderson High Income Trust,,,,,2.775,0.1906
2025-09,DIVIDEND,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,,,,,1.25,0.1265
2025-10,SELL,SEDOL:3142921,Law Debenture Corporation,-12.5,,,,,
2025-10,BUY,SEDOL:346607,F&C Investment Trust,16.67,1203.0,-0.08033147819705211,-0.14052152841349488,,
2025-10,BUY,SEDOL:580007,Merchants Trust,4.17,560.0,-0.07378309984948972,-2.1798037502595964,,
2025-10,BUY,SEDOL:914327,JPMorgan Global Growth & Income,4.17,573.0,-0.023899971040662327,-1.7334653997621454,,
2025-10,BUY,SEDOL:958057,Henderson High Income Trust,4.17,180.0,-0.07984868622840202,-0.5847214866393743,,
2025-10,SELL,SEDOL:B0N8MF9,BlackRock Energy and Resources Income,-12.5,,,,,
2025-10,BUY,SEDOL:B15FW33,Geiger Counter,4.17,60.1,-0.17046238785369217,-0.22659688466066605,,
2025-10,BUY,SEDOL:BF50VS4,Ashoka India Equity,4.17,255.0,-0.040379332405072854,-2.0075731414289955,,
2025-10,SELL,SEDOL:BYSRMH1,CC Japan Income & Growth Trust,-12.5,,,,,
2025-10,DIVIDEND,SEDOL:346607,F&C Investment Trust,,,,,3.8,0.0526
2025-10,DIVIDEND,SEDOL:BF50VS4,Ashoka India Equity,,,,,0.5,0.0327
2025-11,BUY,SEDOL:3142921,Law Debenture Corporation,10.0,1040.0,-0.02320819753735759,-1.4494526559989538,,
2025-11,BUY,SEDOL:342218,JPMorgan Claverhouse,10.0,830.0,-0.06343797251246874,-0.7473729592956918,,
2025-11,SELL,SEDOL:346607,F&C Investment Trust,-6.67,1237.0,-0.09052142458018397,-0.47479148808194255,,
2025-11,SELL,SEDOL:580007,Merchants Trust,-6.67,571.0,-0.062289589936445844,-1.6440585524049067,,
2025-11,BUY,SEDOL:791586,Schroder Income Growth Fund,10.0,327.0,-0.09184325270086369,-0.406897460777897,,
