security_id,name,market,basis,staleness_days,z_adj,z_status,z_source,g_used,irr_central,nav_ok,z_ok,growth_ok,irr_ok,signal_complete,blockers
SEDOL:906506,Henderson Smaller Companies,UK,0.0,2.0,0.6188,computed,aggregator_panel,-0.0244,-0.0279,True,True,True,True,True,
SEDOL:422864,Herald Investment Trust,UK,0.0,2.0,-0.6718,computed,aggregator_panel,0.0015,0.0224,True,True,True,True,True,
SEDOL:392105,HgCapital Trust,UK,3.0,60.0,-0.8626,computed,own_daily_panel,0.0458,0.1055,True,True,True,True,True,
SEDOL:BJP5HK1,Home REIT,UK,0.0,276.0,-1.5727,computed,own_daily_panel,0.0476,0.2037,False,True,True,True,False,nav
SEDOL:329200,ICG Enterprise Trust,UK,3.0,166.0,-0.762,within_error_band,own_daily_panel,0.0458,0.083,True,True,True,True,True,
SEDOL:B8C23S8,ICG-Longbow Senior Secured UK Property Debt Invest,UK,0.0,166.0,,no_discount_history,,0.0476,0.1035,True,False,True,True,False,z:no_discount_history
SEDOL:3123249,Impax Environmental Markets,UK,0.0,2.0,-0.2738,within_error_band,aggregator_panel,0.0088,0.0282,True,True,True,True,True,
SEDOL:B0P8RJ6,India Capital Growth Fund,UK,0.0,1.0,-0.5134,computed,own_daily_panel,0.1117,0.1142,True,True,True,True,True,
SEDOL:455934,International Biotechnology,UK,0.0,1.0,2.328,computed,aggregator_panel,0.0632,0.2262,True,True,True,True,True,
SEDOL:B188SR5,International Public Partnerships,UK,0.0,189.0,0.865,within_error_band,own_daily_panel,0.0476,0.052,True,True,True,True,True,
SEDOL:453530,Invesco Asia Dragon Trust,UK,0.0,2.0,1.2989,computed,aggregator_panel,0.1058,0.1192,True,True,True,True,True,
SEDOL:B0LNG76,Invesco Bond Income Plus,UK,0.0,1.0,-0.3679,within_error_band,aggregator_panel,0.0378,0.098,True,True,True,True,True,
SEDOL:B1DQ647,Invesco Global Equity Income Trust,UK,0.0,2.0,0.9572,computed,aggregator_panel,0.1057,0.1019,True,True,True,True,True,
SEDOL:846505,JPMorgan American,UK,0.0,1.0,-0.7797,computed,aggregator_panel,0.1296,0.1502,True,True,True,True,True,
SEDOL:132077,JPMorgan Asia Growth & Income,UK,0.0,1.0,1.9593,computed,aggregator_panel,0.1009,0.0982,True,True,True,True,True,
SEDOL:343501,JPMorgan China Growth & Income,UK,0.0,1.0,-0.2165,within_error_band,aggregator_panel,-0.05,0.3856,True,True,True,True,True,
SEDOL:342218,JPMorgan Claverhouse,UK,0.0,1.0,1.9703,computed,aggregator_panel,0.0913,0.1155,True,True,True,True,True,
SEDOL:3216473,"JPMorgan Emerging Europe, Middle East & Africa",UK,0.0,1.0,-0.0202,within_error_band,aggregator_panel,0.1196,0.1064,True,True,True,True,True,
SEDOL:B5ZZY91,JPMorgan Emerging Markets Dividend Income,UK,0.0,1.0,0.135,within_error_band,aggregator_panel,0.0399,0.0667,True,True,True,True,True,
SEDOL:341895,JPMorgan Emerging Markets Growth & Income,UK,0.0,1.0,0.7999,computed,aggregator_panel,0.0574,0.0746,True,True,True,True,True,
SEDOL:341969,JPMorgan European Discovery,UK,0.0,1.0,0.5061,computed,aggregator_panel,0.0409,0.0543,True,True,True,True,True,
SEDOL:B18JK16,JPMorgan European Growth & Income,UK,0.0,1.0,0.6934,computed,aggregator_panel,0.0578,0.0653,True,True,True,True,True,
SEDOL:914327,JPMorgan Global Growth & Income,UK,0.0,1.0,-1.512,computed,aggregator_panel,0.0781,0.1004,True,True,True,True,True,
SEDOL:174002,JPMorgan Japanese,UK,0.0,1.0,0.4152,within_error_band,aggregator_panel,0.058,0.0702,True,True,True,True,True,
SEDOL:741600,JPMorgan UK Small Cap Growth & Income,UK,0.0,1.0,0.1919,within_error_band,aggregator_panel,-0.0237,-0.0037,True,True,True,True,True,
SEDOL:341710,JPMorgan US Smaller Companies,UK,0.0,1.0,0.1071,within_error_band,aggregator_panel,0.0551,0.4804,True,True,True,True,True,
SEDOL:B12MHD2,LMS Capital,UK,0.0,60.0,0.7706,computed,own_daily_panel,0.0458,0.0473,True,True,True,True,True,
SEDOL:3142921,Law Debenture Corporation,UK,0.0,2.0,0.1787,within_error_band,aggregator_panel,0.1061,0.1337,True,True,True,True,True,
SEDOL:3197794,Lindsell Train Investment Trust,UK,0.0,3.0,-20.4458,computed,aggregator_panel,0.0905,1.807,True,True,True,True,True,
SEDOL:BMF1L08,Literacy Capital,UK,0.0,60.0,-1.2479,computed,own_daily_panel,0.0458,0.122,True,True,True,True,True,
SEDOL:BF0P7H5,Living REIT,UK,3.0,189.0,-0.6869,computed,own_daily_panel,0.0476,0.0929,True,True,True,True,True,
SEDOL:536806,Lowland Investment Company,UK,0.0,2.0,1.2471,computed,aggregator_panel,0.1,0.1293,True,True,True,True,True,
SEDOL:BFYYL32,M&G Credit Income,UK,1.0,37.0,-0.2374,computed,aggregator_panel,0.0105,0.2724,True,True,True,True,True,
SEDOL:3436594,MIGO Opportunities Trust,UK,0.0,2.0,-0.0504,within_error_band,aggregator_panel,0.0525,0.0935,True,True,True,True,True,
SEDOL:B1436N6,Macau Property Opportunities,UK,3.0,2930.0,,no_discount_history,,0.0476,1.1299,False,False,True,True,False,nav+z:no_discount_history
SEDOL:0555522,Majedie Investments,UK,1.0,16.0,1.6616,computed,aggregator_panel,0.1359,0.4076,True,True,True,True,True,
SEDOL:B1DSZV3,Marwyn Value Investors,UK,3.0,16.0,0.9333,within_error_band,own_daily_panel,0.0567,0.0433,True,True,True,True,True,
SEDOL:579403,Mercantile Investment Trust,UK,0.0,1.0,0.1825,within_error_band,aggregator_panel,0.0397,0.0616,True,True,True,True,True,
SEDOL:580007,Merchants Trust,UK,0.0,1.0,-0.6677,computed,aggregator_panel,0.0899,0.1388,True,True,True,True,True,
SEDOL:589383,Mid Wynd International,UK,0.0,2.0,2.0251,computed,aggregator_panel,0.0454,0.4729,True,True,True,True,True,
SEDOL:BFZ7R98,Mobius Investment Trust,UK,0.0,2.0,-0.8288,computed,aggregator_panel,0.0477,0.0583,True,True,True,True,True,
SEDOL:BY7QYJ5,Molten Ventures,UK,3.0,75.0,2.1448,computed,own_daily_panel,-0.05,-0.1757,True,True,True,True,True,
SEDOL:3051726,Monks Investment Trust,UK,0.0,1.0,1.2652,computed,aggregator_panel,0.0873,0.0882,True,True,True,True,True,
SEDOL:454351,Montanaro European Smaller Companies,UK,0.0,2.0,0.3064,within_error_band,aggregator_panel,0.0727,0.0878,True,True,True,True,True,
SEDOL:600756,Montanaro UK Smaller Companies,UK,0.0,2.0,0.624,computed,aggregator_panel,-0.017,0.0055,True,True,True,True,True,
SEDOL:611112,Murray Income Trust,UK,0.0,1.0,1.4181,computed,aggregator_panel,0.0585,0.0876,True,True,True,True,True,
SEDOL:611190,Murray International Trust,UK,0.0,2.0,1.4029,computed,aggregator_panel,0.1051,0.1265,True,True,True,True,True,
SEDOL:B1ZBD49,Neuberger Private Equity Partners,UK,3.0,60.0,,no_discount_history,,-0.0172,,True,False,True,False,False,z:no_discount_history
SEDOL:BJ0JVY0,NextEnergy Solar Fund,UK,3.0,80.0,-0.4302,within_error_band,own_daily_panel,0.0476,0.0881,True,True,True,True,True,
SEDOL:BKLGLS1,Nippon Active Value Fund,UK,0.0,2.0,-0.7709,computed,aggregator_panel,0.15,0.4294,True,True,True,True,True,
NAME:north american income|ordinary share,North American Income Trust,UK,0.0,2.0,1.7022,computed,aggregator_panel,0.0897,0.0741,True,True,True,True,True,
SEDOL:643900,North Atlantic Smaller Companies,UK,0.0,16.0,-1.3629,computed,own_daily_panel,0.1284,0.1841,True,True,True,True,True,
SEDOL:7013105,Oakley Capital Investments,UK,0.0,60.0,-0.8436,within_error_band,own_daily_panel,0.0458,0.0532,True,True,True,True,True,
SEDOL:BJM0293,Octopus Renewables Infrastructure Trust,UK,0.0,60.0,0.0891,within_error_band,own_daily_panel,0.0476,0.074,True,True,True,True,True,
SEDOL:BFFK7H5,Odyssean Investment Trust,UK,0.0,2.0,0.8505,computed,aggregator_panel,0.0377,0.036,True,True,True,True,True,
SEDOL:BMZR151,Onward Opportunities,UK,0.0,4.0,-0.7535,computed_growing_6m,own_daily_panel,0.0061,0.0092,True,True,True,True,True,
SEDOL:667438,Pacific Assets Trust,UK,0.0,2.0,1.2681,computed,aggregator_panel,0.0118,0.0238,True,True,True,True,True,
SEDOL:666747,Pacific Horizon Investment Trust,UK,0.0,1.0,0.1391,within_error_band,aggregator_panel,0.0104,0.0231,True,True,True,True,True,
SEDOL:BLNNFL8,Pantheon Infrastructure,UK,3.0,125.0,1.3468,computed,own_daily_panel,0.0476,0.0265,True,True,True,True,True,
SEDOL:414850,Pantheon International,UK,0.0,81.0,0.4327,within_error_band,own_daily_panel,0.0458,0.0472,True,True,True,True,True,
SEDOL:B28C2R2,Partners Group Private Equity,UK,,,,no_discount_history,,0.0458,,False,False,True,False,False,nav+z:no_discount_history
