ticker,name,sector,date,usable,close_raw,price_pence,price_ccy,nav_pence,nav_pence_adj,split_factor,nav_date,published_at,nav_age_days,nav_stale,discount,discount_fresh,disc_z,quality,is_vct,security_id
UEM,Utilico Emerging Markets Trust,Global Emerging Markets,2026-09-22,True,281.0,281.0,GBp,310.51,310.51,1.0,2026-09-18,2026-09-22,4.0,False,-0.095037,-0.095037,0.940328,ok,False,SEDOL:B0DQY35
BUT,Brunner Investment Trust,Global,2026-09-22,True,1566.0,1566.0,GBp,1728.98,1728.98,1.0,2026-09-21,2026-09-22,1.0,False,-0.094264,-0.094264,-0.423821,ok,False,SEDOL:149000
SEC,Strategic Equity Capital,UK Smaller Companies,2026-09-22,True,397.0,397.0,GBp,438.29,438.29,1.0,2026-09-18,2026-09-22,4.0,False,-0.094207,-0.094207,-0.957627,ok,False,SEDOL:B0BDCB2
MIG1,Maven Income and Growth VCT,VCT,2026-09-21,True,32.200001,32.200001,GBp,35.48,35.48,1.0,2026-05-31,2026-09-02,113.0,False,-0.092446,-0.092446,,ok,True,SEDOL:412285
IGC,India Capital Growth Fund,India / Indian Subcontinent,2026-09-22,True,180.5,180.5,GBp,198.75,198.75,1.0,2026-09-21,2026-09-22,1.0,False,-0.091824,-0.091824,-0.178381,ok,False,SEDOL:B0P8RJ6
TRY,TR Property Investment Trust,Property Securities,2026-09-22,True,288.5,288.5,GBp,317.5,317.5,1.0,2026-09-21,2026-09-22,1.0,False,-0.091339,-0.091339,-0.628706,ok,False,SEDOL:906409
BRIG,BlackRock Income & Growth,UK Equity Income,2026-09-22,True,233.0,233.0,GBp,256.37,256.37,1.0,2026-09-18,2026-09-22,4.0,False,-0.091157,-0.091157,1.273318,ok,False,SEDOL:3096169
JUSC,JPMorgan US Smaller Companies,North American Smaller Companies,2026-09-22,True,419.5,419.5,GBp,459.73,459.73,1.0,2026-09-21,2026-09-22,1.0,False,-0.087508,-0.087508,-0.031234,ok,False,SEDOL:341710
IEM,Impax Environmental Markets,Environmental,2026-09-22,True,443.5,443.5,GBp,485.83,485.83,1.0,2026-09-18,2026-09-22,4.0,False,-0.087129,-0.087129,0.571591,ok,False,SEDOL:3123249
JCGI,JPMorgan China Growth & Income,China / Greater China,2026-09-22,True,268.0,268.0,GBp,293.23,293.23,1.0,2026-09-21,2026-09-22,1.0,False,-0.086042,-0.086042,0.886823,ok,False,SEDOL:343501
AAS,Aberdeen Asia Focus,Asia Pacific Smaller Companies,2026-09-22,True,463.0,463.0,GBp,506.51,506.51,1.0,2026-09-18,2026-09-22,4.0,False,-0.085902,-0.085902,1.475959,ok,False,NAME:aberdeen asia focus|ordinary share
MMIT,Mobius Investment Trust,Global Emerging Markets,2026-09-22,True,182.0,182.0,GBp,199.05,199.05,1.0,2026-09-18,2026-09-22,4.0,False,-0.085657,-0.085657,-0.049254,ok,False,SEDOL:BFZ7R98
GPM,Golden Prospect Precious Metals,Commodities & Natural Resources,2026-09-22,True,114.5,114.5,GBp,125.19,125.19,1.0,2026-09-18,2026-09-22,4.0,False,-0.08539,-0.08539,1.374636,ok,False,SEDOL:B1G9T99
BRSC,BlackRock Smaller Companies,UK Smaller Companies,2026-09-22,True,266.0,266.0,GBp,290.18,290.18,1.0,2026-09-18,2026-09-22,4.0,False,-0.083328,-0.083328,0.007389,ok,False,SEDOL:643610
MRC,Mercantile Investment Trust,UK All Companies,2026-09-22,True,281.5,281.5,GBp,307.08,307.08,1.0,2026-09-21,2026-09-22,1.0,False,-0.083301,-0.083301,1.31525,ok,False,SEDOL:579403
JIGI,JPMorgan Income & Growth,Split Capital Trust,2026-09-22,True,864.0,864.0,GBp,942.05,942.05,1.0,2026-09-21,2026-09-21,1.0,False,-0.082851,-0.082851,1.046919,ok,False,SEDOL:B1G3N11
CCJI,CC Japan Income & Growth Trust,Japan,2026-09-22,True,275.5,275.5,GBp,299.42,299.42,1.0,2026-09-18,2026-09-22,4.0,False,-0.079888,-0.079888,-0.311697,ok,False,SEDOL:BYSRMH1
MIG3,Maven Income and Growth VCT 3,VCT,2026-09-21,True,41.0,41.0,GBp,44.55,44.55,1.0,2026-05-31,2026-09-02,113.0,False,-0.079686,-0.079686,-0.103684,ok,True,SEDOL:3115376
CHIB,CT UK High Income Trust,UK Equity Income,2026-09-22,True,109.0,109.0,GBp,118.36,118.36,1.0,2026-09-21,2026-09-22,1.0,False,-0.079081,-0.079081,,ok,False,SEDOL:B1N4H59
