ticker,name,sector,is_vct,nav_route,currency,price_days,price_first,price_last,nav_first,nav_last,discount_days,fresh_days,median_nav_age,median_discount,last_discount,price_ccy,price_unit_status,nav_history_source,nav_frequency,median_gap_days,nav_obs
CHI,CT UK High Income Trust,UK Equity Income,False,registry,GBX,4943,2007-03-01,2026-09-23,2008-06-30,2026-09-22,4606,4605,0.0,-0.06494943917545631,-0.08306816278680285,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4588.0
CHIB,CT UK High Income Trust,UK Equity Income,False,registry,GBX,4943,2007-03-01,2026-09-23,2026-08-26,2026-09-22,20,20,1.0,-0.09419524458468326,-0.08725506615307321,GBp,ok,committed+s3_snapshot,daily,1.0,20.0
CHRY,Chrysalis Investments,Growth Capital,False,registry,GBX,1990,2018-11-06,2026-09-23,2018-12-31,2026-06-30,1908,1908,89.0,-0.3234259407875695,-0.4835609356301611,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,92.0,34.0
CIP,Channel Islands Property,Property - UK Commercial,False,announcements_only,,0,,,,,0,0,,,,,,,,,
CIVSHP-OR,Civitas Social Housing,Property - UK Residential,False,announcements_only,GBP,1,2026-07-17,2026-07-17,,,0,0,,,,GBP,assumed_from_currency,,,,
CLC,Calculus VCT,VCT,True,announcements_only,GBP,2661,2016-03-10,2026-09-22,2024-06-30,2026-06-30,553,553,116.0,-0.0620957309184994,-0.9911000355998576,GBp,ok,committed+s3_snapshot,semiannual,175.5,6.0
CLCC,Calculus VCT C shares,VCT Generalist,True,announcements_only,,0,,,,,0,0,,,,,,,,,
CLDN,Caledonia Investments,Flexible Investment,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-12-31,2026-08-31,4729,4556,22.0,-0.1879194374852533,63.44556621235067,GBp,rescaled_x100,committed+s3_archive+s3_snapshot,monthly,29.5,208.0
CMPG,CT Global Managed Portfolio Growth,Flexible Investment,False,registry,GBX,4659,2008-04-16,2026-09-23,2008-07-01,2026-09-22,4606,4606,0.0,-0.002930330587126162,-0.03544588437185636,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4593.0
CMPI,CT Global Managed Portfolio Income,Flexible Investment,False,registry,GBX,4659,2008-04-16,2026-09-23,2008-06-30,2026-09-22,4607,4607,0.0,0.0070221467705842144,-0.005736137667303964,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4585.0
CORD,Cordiant Digital Infrastructure,Infrastructure,False,announcements_only,,1414,2021-02-16,2026-09-23,2021-09-30,2026-03-31,1218,992,175.0,-0.22722363778384136,-0.14383561643835618,GBp,ok,committed,semiannual,182.0,12.0
CREI,Custodian Property Income REIT,Property - UK Commercial,False,announcements_only,GBX,3157,2014-03-26,2026-09-23,2014-12-31,2022-03-31,2956,1836,111.0,0.02156132668836852,-0.32330827067669177,GBp,ok,committed+s3_archive,quarterly,91.0,34.0
CRS,Crystal Amber Fund,Flexible Investment,False,announcements_only,GBX,4618,2008-06-16,2026-09-23,2008-06-30,2026-06-30,4604,3994,35.0,-0.09882543539894695,-0.5584181807954098,GBp,ok,committed+s3_archive+s3_snapshot,monthly,30.0,163.0
CRWC,Albion Crown VCT C shares,VCT,True,registry,GBX,442,2024-12-20,2026-09-22,,,0,0,,,,GBp,assumed_from_currency,,,,
CRWN,Albion Crown VCT,VCT,True,registry,GBX,4984,2007-01-02,2026-09-22,,,0,0,,,,GBp,assumed_from_currency,,,,
