ticker,obs,median_abs_change,p99_abs_change,big_moves,jump_reversals,cum_assumed_share,median_abs_change_all,reliable,suspect_rate
AGT,4174,0.004598772067321344,0.9088039021500119,106,11,0.9990416866315285,0.0045907636031092824,True,0.002635361763296598
MINI,2516,0.0028662493640330133,0.03541632314242784,12,6,0.040937996820349765,0.002863511611287728,True,0.0023847376788553257
VOF,1686,0.006334160836530489,0.5535898036629766,25,4,0.017793594306049824,0.006711409395973145,True,0.002372479240806643
PMGR,2212,0.008422803381867405,0.1236432202848564,13,5,0.0004520795660036166,0.009293767986035761,True,0.0022603978300180833
IEM,4915,0.005683202078428318,0.0501731276475558,33,11,0.3698880976602238,0.005671714871121392,True,0.0022380467955239063
PCT,4660,0.007603985714878303,0.7608685098157884,105,10,0.9987124463519313,0.007589521510406039,True,0.002145922746781116
LWDB,1575,0.004786562812758355,0.3045273774706045,18,3,0.03111111111111111,0.006187628515912369,True,0.0019047619047619048
HRI,4815,0.004497861672319803,0.7310818896944077,100,9,0.9989615784008308,0.004491092428017596,True,0.001869158878504673
MAVT,2197,0.0033453422542459865,0.9289549549218032,51,4,0.033682294037323625,0.0033751962323391727,True,0.0018206645425580337
BUT,4164,0.004944793378303003,0.04827201642402349,23,7,0.002161383285302594,0.004979643476991313,True,0.0016810758885686839
ARR,2680,0.005655793961168054,0.9341604598118783,61,4,0.65,0.006052309244181875,True,0.0014925373134328358
SAIN,4936,0.004715276278313585,0.5790268637975303,78,7,0.6549837925445705,0.004706445437141049,True,0.0014181523500810373
MNKS,4944,0.00577416867155045,0.5469641433338156,79,7,0.655542071197411,0.005765420799817844,True,0.0014158576051779936
SMT,4946,0.007975851038124038,0.5253894131062925,78,7,0.6556813586736757,0.007952862386502613,True,0.0014152850788515972
CGT,2971,0.0017753299326820349,0.015829772325069946,7,4,0.43823628407943455,0.0018294551388370328,True,0.0013463480309660047
FEML,3012,0.005787254898168337,0.5672526781463805,53,4,0.5348605577689243,0.006104924191600691,True,0.0013280212483399733
ALAI,3028,0.00715079187015949,0.050865974342464176,9,4,0.00033025099075297226,0.007160946642214672,True,0.001321003963011889
BNKR,4578,0.004634994897745992,0.3342532388016489,55,6,0.572083879423329,0.0046493669943580285,True,0.001310615989515072
AAIF,3967,0.004958362469010158,0.03754470717271998,13,5,0.0017645576002016637,0.00499260707949134,True,0.0012603982858583312
EWI,4946,0.00805654193002825,0.5680344447630988,78,6,0.6556813586736757,0.008036219321165494,True,0.001213101496158512
BGFD,4946,0.008517295210814402,0.5389242406338723,77,6,0.6556813586736757,0.008508752492798699,True,0.001213101496158512
CGI,2550,0.0070341306633830425,0.9960628348960111,61,3,0.02588235294117647,0.007913581817748039,True,0.001176470588235294
VNH,1745,0.007135826771653475,0.6781447148860018,38,2,0.02464183381088825,0.007245439376042828,True,0.001146131805157593
PAC,4506,0.004959509745658952,0.0361341453051414,8,5,0.022414558366622282,0.004952561756080609,True,0.0011096316023080338
HET,904,0.005543936707781971,0.620966002250983,14,1,0.9900442477876106,0.005537098560354392,True,0.0011061946902654867
MWY,4930,0.0041274324098447,0.32084080537210513,58,5,0.6202839756592292,0.004132871205877797,True,0.0010141987829614604
ANII,3962,0.006522471715977474,0.0422165096958816,9,4,0.0017667844522968198,0.006569675868357772,True,0.0010095911155981827
ADIG,4049,0.0023250406882120433,0.09531981786664583,29,4,0.0079031859718449,0.002337131171486928,True,0.0009878982464806125
HINT,3503,0.0043407487791644606,0.027056920212399076,5,3,0.0005709391949757351,0.004334365325077361,True,0.0008564087924636027
GSCT,4924,0.00460084459335347,0.03456687507061774,13,4,0.001421608448415922,0.004608713073830484,True,0.0008123476848090983
BGS,4946,0.008590458619798014,0.5358659392035476,76,4,0.6556813586736757,0.008589236850106374,True,0.0008087343307723412
AAS,3735,0.004863526498850579,0.03550564849136251,10,3,0.0024096385542168677,0.00491993655342704,True,0.0008032128514056225
MUT,3982,0.004955117887093241,0.03599579128983791,9,3,0.01607232546459066,0.004973679382758833,True,0.0007533902561526871
RMMC,2894,0.0033993219388107065,0.9758218369831281,73,2,0.02902557014512785,0.0033997733484433246,True,0.000691085003455425
JEDT,2899,0.006211180124223503,0.23708942734544847,27,2,0.019317005864091064,0.006221132829451914,True,0.0006898930665746809
UTL,1458,0.008618481138124245,0.3220349660170644,18,1,0.9650205761316872,0.011242917242773431,True,0.0006858710562414266
BERI,4600,0.007694266983836684,0.0555069970564109,6,3,0.0,0.007735477021083015,True,0.0006521739130434783
BGUK,4794,0.006349285706350016,0.05733603181474187,15,3,0.12640801001251564,0.006358803294068682,True,0.0006257822277847309
KPC,3214,0.0049548266276076,0.03887023188999848,5,2,0.00031113876789047915,0.005004135365001938,True,0.0006222775357809583
PHI,4869,0.0073234024502831785,0.4308497259239116,67,3,0.6502361881289792,0.007317744154057948,True,0.0006161429451632779
BRAI,3307,0.005246373829852935,0.03457241851119142,4,2,0.0,0.005260293850897879,True,0.0006047777441790142
ASIT,1731,0.005892255892255949,0.05907562899940018,2,1,0.0,0.005880591591383932,True,0.0005777007510109763
HDIV,3707,0.0011507479861910808,0.028542881618398155,20,2,0.1777717831130294,0.0011520737327188613,True,0.0005395198273536552
UEM,3944,0.004545348324719423,0.3156262725978846,45,2,0.5390466531440162,0.004689764142041697,True,0.0005070993914807302
AJOT,1988,0.006863808505491176,0.8953772799271924,42,1,0.9974849094567404,0.0068523674469383455,True,0.0005030181086519115
FCIT,2043,0.004529731510459545,0.03620594208863475,3,1,0.0,0.004550108799785679,True,0.0004894762604013706
MRCH,4128,0.005737505172098256,0.041292128422410916,6,2,0.00048449612403100775,0.0057760429593194385,True,0.00048449612403100775
USA,2132,0.0089415331069721,0.1992287927120574,18,1,0.20168855534709193,0.008881941237076862,True,0.00046904315196998124
JMF,2247,0.006314903171484643,0.2961947051018594,25,1,0.024922118380062305,0.0063294355522806045,True,0.0004450378282153983
HSL,4565,0.005785210897233606,0.04213400902832278,7,2,0.1901423877327492,0.005814461054685249,True,0.0004381161007667032
SCF,4668,0.005381983765821385,0.039088160828507995,4,2,0.022707797772065125,0.005370764145635698,True,0.0004284490145672665
VEIL,2362,0.007507524433272017,0.7267162726730113,48,1,0.024555461473327687,0.00746268656716409,True,0.0004233700254022015
JSGI,2411,0.007543611504007508,0.27974351152788407,25,1,0.022397345499792616,0.0075596895160344735,True,0.00041476565740356696
BGEU,4898,0.007055515083169761,0.04508549615968847,6,2,0.4971416904859126,0.007072253469564305,True,0.0004083299305839118
FEV,4927,0.006284627470437343,0.042218276031269736,5,2,0.0,0.006265794301935079,True,0.00040592652729855896
CCJI,2696,0.006638394065474118,0.041892866813653076,2,1,0.000370919881305638,0.0066462500814492564,True,0.000370919881305638
JEMI,2875,0.005822416302765587,0.14034379332257246,17,1,0.011478260869565217,0.005823872683577758,True,0.00034782608695652176
JUGI,2894,0.004770027986892633,0.23341983183608153,26,1,0.019350380096751902,0.004765019153508465,True,0.0003455425017277125
JIGI,2895,0.006221432199085775,0.2252567836941366,25,1,0.01934369602763385,0.006285419385333113,True,0.0003454231433506045
JEMA,2898,0.0056455146559616365,0.2834326583092261,30,1,0.01932367149758454,0.005658029822698418,True,0.0003450655624568668
MRC,2899,0.0060163300386762986,0.23344782418951782,26,1,0.019317005864091064,0.0060163300386762986,True,0.00034494653328734045
JUSC,2899,0.007475173297985638,0.22539649680835305,25,1,0.019317005864091064,0.007516106904111863,True,0.00034494653328734045
JFJ,2901,0.008413967185527893,0.22517935663040967,25,1,0.01999310582557739,0.008459423722347814,True,0.0003447087211306446
PCFT,3165,0.004802436357957296,0.03709784554660641,5,1,0.04454976303317536,0.004808488682556955,True,0.000315955766192733
ABD,3292,0.0054884511781768675,0.03857033589766279,8,1,0.003948967193195626,0.005524111496476358,True,0.00030376670716889426
BIPS,3390,0.0009790856435210604,0.014986287715547136,2,1,0.0008849557522123894,0.0009876544711048263,True,0.0002949852507374631
EOT,3456,0.0064585098284748454,0.043966345374415995,8,1,0.1953125,0.006693694219214619,True,0.00028935185185185184
IAD,3578,0.006170328022896021,0.03638128042298645,2,1,0.0,0.006203502830854801,True,0.00027948574622694243
DGN,3629,0.005898911288653386,0.03481224874160456,7,1,0.002480022044640397,0.005932961056469732,True,0.0002755580049600441
AEI,3960,0.0053168610275978745,0.038789215250281436,5,1,0.00202020202020202,0.005345530695470169,True,0.0002525252525252525
MYI,3974,0.004597948812989028,0.030792907721817295,7,1,0.0020130850528434826,0.004623519643403573,True,0.0002516356316054353
DIG,3989,0.005298451858597675,0.03725037624426597,6,1,0.00250689395838556,0.005324131131377863,True,0.000250689395838556
NAIT,4001,0.005504957343786199,0.043748152527342654,8,1,0.11722069482629342,0.005525566054603248,True,0.00024993751562109475
BRLA,4308,0.009633911417076868,0.06814979662714805,2,1,0.0,0.00962166850632884,True,0.00023212627669452182
IBT,4556,0.008330427105931959,0.0467815352540308,2,1,0.002414398595258999,0.008322136014910386,True,0.00021949078138718174
ATR,4568,0.005894330297410988,0.0441387370206085,6,1,0.08866024518388792,0.005951529371369668,True,0.00021891418563922942
HHI,4573,0.004765687053216894,0.0415664714405994,10,1,0.206866389678548,0.00480480480480483,True,0.00021867483052700635
BRGE,4598,0.00714969336199639,0.04259216525040685,2,1,0.0,0.0071744453090893945,True,0.00021748586341887777
SCP,4657,0.0057065301212253505,0.03912918054310707,2,1,0.02297616491303414,0.005712304304662852,True,0.00021473051320592657
MTU,4766,0.004525319166753361,0.033503312347576815,6,1,0.054553084347461187,0.004505816776398941,True,0.000209819555182543
SDP,4820,0.0061559840572364966,0.040030462181623955,2,1,0.05269709543568465,0.006196794889234802,True,0.0002074688796680498
GCP,1,0.0201645264847512,0.0201645264847512,0,0,1.0,0.007475410562164109,True,0.0
