ticker,symbol,mode,status,rows,first,last,price_ccy
ANII,ANII.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ANW,ANW.L,full,no_history,0,,,
APAX,APAX.L,full,ok,1,2025-09-18,2025-09-18,GBp
APEF,APEF.L,full,ok,32,2018-05-16,2018-06-29,
API,API.L,full,ok,5221,2006-01-03,2026-09-01,GBp
ARR,ARR.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ASCI,ASCI.L,full,ok,4541,2006-01-03,2023-12-20,GBp
ASIT,ASIT.L,full,no_history,0,,,
ASIZ,ASIZ.L,full,no_history,0,,,
ASL,ASL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ASLI,ASLI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ATI,ATI.L,full,no_history,0,,,
ATR,ATR.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ATS,ATS.L,full,ok,4779,2006-01-03,2024-11-28,GBp
ATT,ATT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ATY,ATY.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AUGM,AUGM.L,full,no_history,0,,,
AUSC,AUSC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AWEM,AWEM.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AXI,AXI.L,full,no_history,0,,,
BABU,BABU.L,full,no_history,0,,,
BAF,BAF.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BAIL,BAIL.L,full,no_history,0,,,
BASC,BASC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BAV,BAV.L,full,ok,2699,2006-03-13,2016-12-01,
BBGI,BBGI.L,full,no_history,0,,,
BBOX,BBOX.L,tail,ok,25,2026-07-28,2026-09-01,GBp
BC12,BC12.L,full,no_history,0,,,
BCAI,BCAI.L,full,ok,50,2018-05-16,2018-07-26,
BCAP,BCAP.L,full,no_history,0,,,
BCPT,BCPT.L,full,ok,4768,2006-01-03,2024-11-18,GBp
BDV,BDV.L,full,no_history,0,,,
BEEP,BEEP.L,full,ok,132,2018-05-16,2018-11-27,
BEMO,BEMO.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BERI,BERI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BFSP,BFSP.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BGCG,BGCG.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BGEU,BGEU.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BGFD,BGFD.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BGHL,BGHL.L,full,ok,4548,2006-11-01,2024-10-31,EUR
BGLC,BGLC.L,full,no_history,0,,,
BGLF,BGLF.L,full,ok,2650,2014-07-23,2025-01-16,EUR
BGS,BGS.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BGUK,BGUK.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BHGG,BHGG.L,full,no_history,0,,,
BHGU,BHGU.L,full,no_history,0,,,
BHME,BHME.L,full,no_history,0,,,
BHMG,BHMG.L,full,ok,4921,2007-03-09,2026-09-01,GBp
BHMU,BHMU.L,tail,ok,21,2026-08-03,2026-09-01,USD
BIOG,BIOG.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BIPS,BIPS.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BLP,BLP.L,full,no_history,0,,,
BMD,BMD.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BNKR,BNKR.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BNS,BNS.L,full,no_history,0,,,
BOOK,BOOK.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BOXE,BOXE.L,full,ok,1628,2018-07-05,2024-12-11,EUR
BPC1,BPC1.L,full,no_history,0,,,
BPCR,BPCR.L,tail,ok,21,2026-08-03,2026-09-01,USD
BRAI,BRAI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BRFC,BRFC.L,full,no_history,0,,,
BRFI,BRFI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BRGE,BRGE.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BRIG,BRIG.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BRLA,BRLA.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BRSC,BRSC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BRWM,BRWM.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BSC,BSC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BSIF,BSIF.L,tail,ok,12,2026-07-17,2026-08-03,GBp
BSRT,BSRT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BSV,BSV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BUT,BUT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
BVT,BVT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CAT,CAT.L,full,ok,3537,2010-12-20,2024-12-19,USD
CATC,CATC.L,full,ok,2304,2015-11-09,2024-12-19,USD
CBA,CBA.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CCJI,CCJI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CCRD,CCRD.L,full,no_history,0,,,
CDI,CDI.L,full,ok,3007,2006-01-03,2018-05-30,
CGI,CGI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CGL,CGL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CGT,CGT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CGW,CGW.L,full,ok,4526,2006-01-03,2023-11-29,GBp
CHI,CHI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CHIB,CHIB.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CHRY,CHRY.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CIP,CIP.L,full,no_history,0,,,
CIVSHP-OR,CIVSHP-OR.L,full,ok,1,2026-07-17,2026-07-17,GBP
CLC,CLC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CLCC,CLCC.L,full,no_history,0,,,
CLDN,CLDN.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CMPG,CMPG.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CMPI,CMPI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CORD,CORD.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CREI,CREI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CRS,CRS.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CRT,CRT.L,full,no_history,0,,,
CRWC,CRWC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CRWN,CRWN.L,tail,ok,25,2026-07-28,2026-09-01,GBp
CSHC,CSHC.L,full,no_history,0,,,
CTHT,CTHT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CTPE,CTPE.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CTPT,CTPT.L,full,no_history,0,,,
CTUK,CTUK.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CTY,CTY.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CVCE,CVCE.L,tail,ok,21,2026-08-03,2026-09-01,EUR
CVCG,CVCG.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CYN,CYN.L,tail,ok,21,2026-08-03,2026-09-01,GBp
CYS,CYS.L,full,no_history,0,,,
D467,D467.L,full,ok,4445,2007-04-17,2024-11-15,GBp
D4LC,D4LC.L,full,no_history,0,,,
D4OO,D4OO.L,full,no_history,0,,,
D4SO,D4SO.L,full,no_history,0,,,
DAB,DAB.L,full,no_history,0,,,
DABE,DABE.L,full,no_history,0,,,
DABU,DABU.L,full,no_history,0,,,
DGI9,DGI9.L,tail,ok,21,2026-08-03,2026-09-01,GBp
DGN,DGN.L,full,no_history,0,,,
DIG,DIG.L,tail,ok,21,2026-08-03,2026-09-01,GBp
DIGS,DIGS.L,full,no_history,0,,,
DIVI,DIVI.L,full,no_history,0,,,
DNA3,DNA3.L,full,no_history,0,,,
DNDL,DNDL.L,full,ok,102,2018-05-16,2018-10-10,
DNE,DNE.L,full,ok,4813,2006-01-03,2025-01-20,GBp
DO1B,DO1B.L,full,no_history,0,,,
DO1D,DO1D.L,full,no_history,0,,,
DO1O,DO1O.L,full,no_history,0,,,
DORE,DORE.L,full,no_history,0,,,
DP2C,DP2C.L,full,ok,2884,2008-11-28,2020-05-15,
DP2D,DP2D.L,full,no_history,0,,,
DP2F,DP2F.L,full,no_history,0,,,
DP2G,DP2G.L,full,no_history,0,,,
DP2K,DP2K.L,full,no_history,0,,,
DP3C,DP3C.L,full,no_history,0,,,
DP3D,DP3D.L,full,no_history,0,,,
DP3F,DP3F.L,full,no_history,0,,,
DP3H,DP3H.L,full,no_history,0,,,
DP3J,DP3J.L,full,no_history,0,,,
DPA,DPA.L,tail,ok,25,2026-07-28,2026-09-01,USD
DPV6,DPV6.L,full,ok,981,2007-04-09,2019-03-12,
DREF,DREF.L,full,no_history,0,,,
DRIP,DRIP.L,full,no_history,0,,,
DSM,DSM.L,tail,ok,21,2025-01-27,2025-02-24,GBp
DVNO,DVNO.L,tail,ok,21,2026-08-03,2026-09-01,GBp
DWCG,DWCG.L,full,no_history,0,,,
DWCU,DWCU.L,full,no_history,0,,,
EAT,EAT.L,full,ok,1,2025-10-16,2025-10-16,GBp
ECWO,ECWO.L,full,no_history,0,,,
ECWZ,ECWZ.L,full,no_history,0,,,
EDGC,EDGC.L,full,no_history,0,,,
EDGD,EDGD.L,full,no_history,0,,,
EDGE,EDGE.L,full,no_history,0,,,
EDGF,EDGF.L,full,no_history,0,,,
EDGG,EDGG.L,full,no_history,0,,,
EDGH,EDGH.L,full,no_history,0,,,
EDGI,EDGI.L,full,no_history,0,,,
EDIN,EDIN.L,tail,ok,21,2026-08-03,2026-09-01,GBp
EFR,EFR.L,full,no_history,0,,,
EGL,EGL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
EJFI,EJFI.L,tail,ok,25,2026-07-28,2026-09-01,GBp
EJFZ,EJFZ.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ELTA,ELTA.L,full,no_history,0,,,
ELTZ,ELTZ.L,full,no_history,0,,,
ELX,ELX.L,full,no_history,0,,,
ENRG,ENRG.L,tail,ok,21,2026-08-03,2026-09-01,GBp
EOT,EOT.L,tail,ok,23,2026-07-08,2026-08-07,GBp
EPIC,EPIC.L,full,no_history,0,,,
ESCT,ESCT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ESP,ESP.L,full,no_history,0,,,
ET.,ET..L,full,no_history,0,,,
EWI,EWI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
