market,segment,first_month,last_month,months,avg_funds,max_funds,avg_discount,median_of_monthly_means,widest_month_discount,narrowest_month_discount,volatility_of_discount,widest_month,narrowest_month,latest_month,latest_discount,latest_n_funds,market_latest_month,is_current,latest_vs_own_average_pp,avg_discount_pct,median_of_monthly_means_pct,widest_month_discount_pct,narrowest_month_discount_pct,latest_discount_pct,volatility_of_discount_pct
UK,Specialist - Commodities,2007-01,2026-08,200,4.38,6,-0.10456970483738083,-0.1036819378576686,-0.25806954663776854,0.04613844509257847,0.04959380624700802,2015-08,2022-04,2026-08,-0.03865297485302577,5,2026-08,True,6.591672998435507,-10.456970483738083,-10.368193785766861,-25.806954663776853,4.613844509257847,-3.8652974853025768,4.9593806247008025
UK,Hedge & Multi-Asset,2007-08,2026-08,187,9.171122994652407,16,-0.09606741496514257,-0.07796786726642953,-0.2044014690853607,0.06947069732821998,0.053018948800966276,2024-11,2008-01,2026-08,-0.1403549569270446,12,2026-08,True,-4.428754196190204,-9.606741496514257,-7.796786726642953,-20.440146908536068,6.947069732821998,-14.035495692704462,5.3018948800966275
UK,Asia Pacific Equity,2007-01,2026-08,236,8.127118644067796,16,-0.09510264760939352,-0.09292782981742552,-0.17702703391331284,-0.009954563457412547,0.030142809097643775,2012-03,2010-10,2026-08,-0.05099697708449095,12,2026-08,True,4.410567052490257,-9.510264760939352,-9.292782981742551,-17.702703391331283,-0.9954563457412546,-5.099697708449095,3.0142809097643775
UK,Specialist - Technology & Media,2007-01,2019-04,145,3.013793103448276,4,-0.09453656864238776,-0.08933162953759899,-0.20081801631187243,-0.028188904945484206,0.03320084086207134,2008-12,2017-11,2019-04,-0.05817198634303278,3,2026-08,False,3.636458229935498,-9.453656864238775,-8.933162953759899,-20.081801631187243,-2.8188904945484206,-5.817198634303278,3.320084086207134
UK,China & India Equity,2021-03,2026-08,66,6.424242424242424,7,-0.09320097427033132,-0.09273944643668426,-0.14190987687987575,-0.033252002142124926,0.025743264491236924,2023-10,2021-04,2026-08,-0.07311331062004715,6,2026-08,True,2.0087663650284164,-9.320097427033131,-9.273944643668425,-14.190987687987574,-3.325200214212493,-7.311331062004715,2.5743264491236926
UK,Latin America Equity,2010-08,2020-10,123,3.016260162601626,4,-0.09196939423595475,-0.10233664425110822,-0.17613484769483964,0.053311367547634735,0.05195223975324008,2018-11,2011-01,2020-10,-0.07067157602767711,3,2026-08,False,2.1297818208277643,-9.196939423595476,-10.233664425110822,-17.613484769483964,5.331136754763474,-7.067157602767711,5.195223975324008
UK,Japan Equity,2007-01,2026-08,236,18.96186440677966,25,-0.08249709884991321,-0.08323723375207775,-0.15275120621536695,-0.018537950987259716,0.022520406074993903,2008-12,2025-10,2026-08,-0.06910446391541071,7,2026-08,True,1.3392634934502503,-8.249709884991322,-8.323723375207775,-15.275120621536695,-1.8537950987259717,-6.910446391541071,2.2520406074993904
UK,North America Equity,2007-01,2026-08,236,6.165254237288136,7,-0.07982936445750777,-0.07684288114073148,-0.18465212565249653,-0.014364839836976133,0.03498124268109735,2008-12,2020-01,2026-08,-0.03477370260100685,5,2026-08,True,4.505566185650092,-7.982936445750777,-7.684288114073149,-18.465212565249654,-1.4364839836976133,-3.477370260100685,3.4981242681097346
UK,Global Equity,2007-01,2026-08,236,32.682203389830505,44,-0.058150804225573144,-0.058877537483260585,-0.10907613591925346,0.0060027051183236,0.0223349810261388,2023-10,2019-04,2026-08,-0.05819430915902018,17,2026-08,True,-0.004350493344703471,-5.8150804225573145,-5.887753748326059,-10.907613591925346,0.60027051183236,-5.819430915902018,2.23349810261388
UK,Specialist - Healthcare,2007-01,2026-08,236,4.241525423728813,5,-0.05714136276795043,-0.05710998144116515,-0.13244095536769399,0.015308371042029728,0.029225477477137548,2008-12,2017-12,2026-08,-0.03275731343688373,5,2026-08,True,2.43840493310667,-5.714136276795043,-5.710998144116515,-13.244095536769398,1.530837104202973,-3.275731343688373,2.9225477477137547
UK,Infrastructure & Renewables,2017-09,2025-09,22,3.1363636363636362,4,-0.04169071041565959,-0.03859050483835233,-0.1562108618433338,0.10156903256747407,0.061536502806996615,2024-03,2017-09,2025-09,-0.13673424115578078,3,2026-08,False,-9.504353074012121,-4.169071041565959,-3.859050483835233,-15.62108618433338,10.156903256747407,-13.673424115578078,6.153650280699662
UK,Emerging & Frontier Equity,2007-01,2026-08,236,8.966101694915254,12,-0.03784305660031189,-0.07453478491608884,-0.1250056319160264,0.34268751505152856,0.10003929748645436,2022-10,2025-08,2026-08,0.19945473821891907,9,2026-08,True,23.729779481923096,-3.784305660031189,-7.453478491608884,-12.50056319160264,34.268751505152856,19.945473821891905,10.003929748645437
UK,Debt & Fixed Income,2015-07,2026-07,104,3.7884615384615383,6,-0.010813157925654439,-0.012708307347499139,-0.11051534138138272,0.27150755904354074,0.043408634782024294,2016-02,2022-04,2026-07,0.034236692178901386,3,2026-08,False,4.504985010455583,-1.081315792565444,-1.270830734749914,-11.051534138138273,27.150755904354074,3.4236692178901387,4.340863478202429
UK,Europe Equity,2007-01,2026-08,236,13.415254237288135,18,1.6605283878173236,-0.09600008035689372,-0.17027241546593455,414.86858473539263,27.01202898730578,2012-06,2021-04,2026-08,-0.053241535188318645,7,2026-08,True,-171.3769923005642,166.05283878173236,-9.600008035689372,-17.027241546593455,41486.858473539265,-5.3241535188318645,2701.202898730578
UK,UK Equity,2007-01,2026-08,236,51.28813559322034,61,10.99118257280448,-0.07438141588764982,-0.16582760234828733,2604.5846842492547,169.5476002303216,2008-11,2021-04,2026-08,-0.05684942388708132,35,2026-08,True,-1104.8031996691561,1099.118257280448,-7.438141588764982,-16.582760234828733,260458.46842492546,-5.684942388708132,16954.76002303216
